participant,sex,age (years)
1,female,20
2,male,21
3,female,19
4,male,21
5,female,26
6,female,20
7,male,20
8,female,21
9,female,22
10,male,22
11,female,20
12,male,23
13,male,22
14,male,22
15,female,20
16,male,22
17,female,20
18,female,20
19,male,22
20,male,19
21,female,19
22,male,22
23,male,20
24,female,22
25,male,19
26,female,21
27,female,22
28,male,22
29,female,21
30,male,20
31,male,20
32,female,20
33,female,19
34,female,19
35,female,19
36,male,22
37,female,20
38,female,19
39,male,23
40,male,21
