participant,Matching,rt,corr
10,Matching,760.83453,1
10,Matching,676.6708884,1
10,Matching,904.9282409,0
10,Matching,1873.535829,1
10,Matching,1310.859721,1
10,Matching,869.1871315,0
10,Matching,1061.542422,1
10,Matching,877.4593417,1
10,Matching,1234.578207,1
10,Matching,606.0256213,1
10,Matching,682.2535452,1
10,Matching,542.5307415,1
10,Matching,527.2504091,1
10,Matching,1297.783311,1
10,Matching,666.7779069,1
10,Matching,706.4000387,1
10,Matching,712.9339259,1
10,Matching,927.2944797,1
10,Matching,614.4117694,1
10,Matching,568.0899005,1
10,Nonmatching,1731.373254,1
10,Nonmatching,590.8083282,1
10,Nonmatching,1036.551621,1
10,Nonmatching,1611.511704,1
10,Nonmatching,829.0811293,1
10,Nonmatching,603.5309043,1
10,Nonmatching,666.206779,1
10,Nonmatching,637.9056908,1
10,Nonmatching,577.1484468,1
10,Nonmatching,665.7776739,0
10,Nonmatching,770.019399,1
10,Nonmatching,355.7847105,1
10,Nonmatching,570.3709703,1
10,Nonmatching,543.5858034,1
10,Nonmatching,455.4412048,1
10,Nonmatching,600.3401279,1
10,Nonmatching,556.7346681,1
10,Nonmatching,559.3178514,1
10,Nonmatching,519.7682772,0
10,Nonmatching,773.0495464,1
11,Matching,680.811272,1
11,Matching,612.6936381,1
11,Matching,509.09609,1
11,Matching,618.475195,1
11,Matching,612.4411339,1
11,Matching,511.4025688,0
11,Matching,589.8101891,1
11,Matching,648.6204751,1
11,Matching,701.6070201,1
11,Matching,528.2509269,1
11,Matching,551.2899728,1
11,Matching,601.5494252,1
11,Matching,590.318681,1
11,Matching,522.050329,1
11,Matching,411.4233169,1
11,Matching,571.1867081,1
11,Matching,516.6760881,1
11,Matching,637.222372,1
11,Matching,550.728987,1
11,Matching,467.622478,1
11,Nonmatching,1322.654063,1
11,Nonmatching,1744.779871,1
11,Nonmatching,872.681302,1
11,Nonmatching,1054.89893,1
11,Nonmatching,532.6309921,1
11,Nonmatching,458.6480102,1
11,Nonmatching,596.9350068,0
11,Nonmatching,855.141436,1
11,Nonmatching,739.0453329,1
11,Nonmatching,467.3602809,1
11,Nonmatching,673.7823931,1
11,Nonmatching,1699.501102,1
11,Nonmatching,722.7121291,1
11,Nonmatching,741.6815662,1
11,Nonmatching,1829.208816,1
11,Nonmatching,719.5282651,1
11,Nonmatching,668.1043189,1
11,Nonmatching,759.4875621,1
11,Nonmatching,779.7213311,1
11,Nonmatching,626.8083591,1
12,Matching,938.424811,1
12,Matching,712.3041658,1
12,Matching,2102.241089,1
12,Matching,701.4907631,1
12,Matching,647.6195161,1
12,Matching,747.0058461,1
12,Matching,632.6883209,1
12,Matching,646.3492538,1
12,Matching,738.390757,1
12,Matching,630.3825059,1
12,Matching,644.020797,1
12,Matching,839.6437471,1
12,Matching,707.116073,1
12,Matching,682.584788,1
12,Matching,743.8146321,1
12,Matching,627.6570349,1
12,Matching,632.9695031,1
12,Matching,661.00291,1
12,Matching,678.311558,1
12,Matching,761.0197102,1
12,Nonmatching,1021.497727,1
12,Nonmatching,692.2929371,1
12,Nonmatching,1118.827513,1
12,Nonmatching,859.9384991,1
12,Nonmatching,778.533469,1
12,Nonmatching,681.6448451,1
12,Nonmatching,871.2383858,0
12,Nonmatching,1360.608817,1
12,Nonmatching,901.1544799,1
12,Nonmatching,996.0342022,1
12,Nonmatching,768.2826489,1
12,Nonmatching,819.7972341,1
12,Nonmatching,840.8673832,1
12,Nonmatching,755.281952,1
12,Nonmatching,712.6816551,1
12,Nonmatching,760.788338,1
12,Nonmatching,738.5289741,1
12,Nonmatching,691.031778,1
12,Nonmatching,742.1320202,1
12,Nonmatching,664.0271069,1
13,Nonmatching,819.4743935,1
13,Nonmatching,579.278117,1
13,Nonmatching,603.7643235,1
13,Nonmatching,1470.776718,1
13,Nonmatching,838.4269532,1
13,Nonmatching,548.8904491,1
13,Nonmatching,538.8906896,1
13,Nonmatching,581.0627192,1
13,Nonmatching,572.3771807,1
13,Nonmatching,534.6136857,1
13,Nonmatching,569.2862645,1
13,Nonmatching,553.6735505,1
13,Nonmatching,614.5940572,1
13,Nonmatching,518.6889935,1
13,Nonmatching,547.3605301,1
13,Nonmatching,531.5380841,1
13,Nonmatching,494.7512615,1
13,Nonmatching,510.8698383,1
13,Nonmatching,527.7669597,1
13,Nonmatching,594.3676177,1
13,Matching,1044.267043,1
13,Matching,440.738393,1
13,Matching,597.1631873,1
13,Matching,500.094723,1
13,Matching,444.3862811,1
13,Matching,495.3307249,1
13,Matching,537.6016796,1
13,Matching,513.4062581,1
13,Matching,472.5344609,1
13,Matching,524.6243365,1
13,Matching,519.4029696,1
13,Matching,436.67241,0
13,Matching,583.2309071,1
13,Matching,649.2921151,1
13,Matching,453.9630134,1
13,Matching,424.5499708,1
13,Matching,487.324072,1
13,Matching,570.1652486,1
13,Matching,582.4677274,1
13,Matching,470.5475904,1
14,Nonmatching,1328.344796,1
14,Nonmatching,1424.352309,1
14,Nonmatching,910.4465228,0
14,Nonmatching,3556.362122,0
14,Nonmatching,1112.971336,1
14,Nonmatching,1613.834169,1
14,Nonmatching,1375.601923,1
14,Nonmatching,1495.619066,1
14,Nonmatching,1104.903549,1
14,Nonmatching,1417.696457,1
14,Nonmatching,2009.57071,1
14,Nonmatching,1220.283017,1
14,Nonmatching,1186.419979,1
14,Nonmatching,971.0305836,1
14,Nonmatching,676.6623519,1
14,Nonmatching,795.936754,1
14,Nonmatching,770.3594752,1
14,Nonmatching,674.0232166,1
14,Nonmatching,1511.252953,1
14,Nonmatching,862.8146835,1
14,Matching,956.4696401,1
14,Matching,633.893488,1
14,Matching,1578.998525,1
14,Matching,938.5506529,1
14,Matching,917.2492754,1
14,Matching,827.3841217,1
14,Matching,891.6174453,1
14,Matching,1174.344696,1
14,Matching,1709.958717,1
14,Matching,744.1362478,1
14,Matching,1344.794655,1
14,Matching,1232.152274,1
14,Matching,2358.687572,1
14,Matching,1106.225941,1
14,Matching,794.5003826,1
14,Matching,960.6292136,1
14,Matching,924.7415457,1
14,Matching,865.2552217,1
14,Matching,729.405256,1
14,Matching,1232.078014,0
15,Nonmatching,885.9556075,1
15,Nonmatching,806.2219676,1
15,Nonmatching,907.4697588,1
15,Nonmatching,585.378116,1
15,Nonmatching,867.2624715,1
15,Nonmatching,645.7244046,1
15,Nonmatching,845.7394894,1
15,Nonmatching,836.7427811,1
15,Nonmatching,641.1917359,1
15,Nonmatching,645.38626,1
15,Nonmatching,645.9623296,1
15,Nonmatching,846.6891143,1
15,Nonmatching,801.6113359,1
15,Nonmatching,846.6311339,1
15,Nonmatching,1086.691519,1
15,Nonmatching,781.0405977,1
15,Nonmatching,806.2371463,1
15,Nonmatching,766.0249602,1
15,Nonmatching,746.7976362,1
15,Nonmatching,561.5221038,1
15,Matching,807.0450444,1
15,Matching,686.6184548,1
15,Matching,766.6786555,1
15,Matching,584.8873034,1
15,Matching,666.9793203,1
15,Matching,687.1140543,1
15,Matching,756.2677134,1
15,Matching,705.7852801,1
15,Matching,866.8569848,1
15,Matching,691.5249266,1
15,Matching,766.562622,1
15,Matching,706.0023192,1
15,Matching,746.6366719,1
15,Matching,826.905394,1
15,Matching,827.0699047,1
15,Matching,636.7395874,1
15,Matching,606.3111443,1
15,Matching,565.5942746,1
15,Matching,712.0731939,1
15,Matching,705.6327295,1
16,Nonmatching,1229.319323,1
16,Nonmatching,843.109969,1
16,Nonmatching,989.5440675,1
16,Nonmatching,1477.912297,1
16,Nonmatching,811.4827722,1
16,Nonmatching,965.7646921,1
16,Nonmatching,850.1793165,1
16,Nonmatching,766.2143428,1
16,Nonmatching,1896.927128,1
16,Nonmatching,664.3804517,1
16,Nonmatching,806.784939,1
16,Nonmatching,673.187485,1
16,Nonmatching,919.7299369,1
16,Nonmatching,586.7534373,1
16,Nonmatching,826.8377464,1
16,Nonmatching,747.0378634,1
16,Nonmatching,985.3133205,1
16,Nonmatching,809.423171,1
16,Nonmatching,604.5506448,1
16,Nonmatching,872.2507246,1
16,Matching,1091.693597,1
16,Matching,1829.271317,0
16,Matching,890.686499,1
16,Matching,1173.128737,1
16,Matching,655.3501934,1
16,Matching,695.5982205,0
16,Matching,778.4544937,1
16,Matching,1170.716327,1
16,Matching,726.9963529,1
16,Matching,660.0601748,1
16,Matching,861.7172725,1
16,Matching,717.9293856,0
16,Matching,998.7623654,1
16,Matching,754.5187715,1
16,Matching,1679.066461,0
16,Matching,1554.523669,1
16,Matching,982.7389568,0
16,Matching,2199.090082,1
16,Matching,1860.314243,1
16,Matching,1340.243779,1
17,Matching,582.6129671,1
17,Matching,564.7996441,1
17,Matching,815.2169865,1
17,Matching,537.6705136,1
17,Matching,646.0264903,1
17,Matching,588.5124207,1
17,Matching,474.7733995,1
17,Matching,586.1683153,1
17,Matching,680.2413967,1
17,Matching,667.1154443,1
17,Matching,515.7888308,1
17,Matching,615.5617088,1
17,Matching,471.4472592,1
17,Matching,561.4654403,1
17,Matching,424.0343124,1
17,Matching,463.7579042,1
17,Matching,550.5173001,1
17,Matching,493.8051347,1
17,Matching,558.473764,1
17,Matching,649.0062885,1
17,Nonmatching,640.1697285,1
17,Nonmatching,846.1690061,1
17,Nonmatching,648.5691145,1
17,Nonmatching,819.0554492,1
17,Nonmatching,547.3743528,1
17,Nonmatching,578.3007964,1
17,Nonmatching,504.3250192,1
17,Nonmatching,451.7082311,1
17,Nonmatching,476.4462877,1
17,Nonmatching,892.2298141,1
17,Nonmatching,526.5867524,1
17,Nonmatching,499.2092699,1
17,Nonmatching,474.848887,1
17,Nonmatching,464.9573956,1
17,Nonmatching,479.7202703,1
17,Nonmatching,483.4352154,1
17,Nonmatching,502.6314352,1
17,Nonmatching,614.8934253,1
17,Nonmatching,682.1148843,1
17,Nonmatching,582.1803138,1
18,Matching,2227.354273,1
18,Matching,1306.190837,1
18,Matching,4829.084508,1
18,Matching,1586.264495,1
18,Matching,1286.153197,1
18,Matching,705.1981427,1
18,Matching,1055.632675,1
18,Matching,846.525209,1
18,Matching,1076.645797,1
18,Matching,655.0518721,1
18,Matching,596.1885434,1
18,Matching,746.2682556,1
18,Matching,601.734763,1
18,Matching,540.5128691,1
18,Matching,675.6560802,1
18,Matching,1196.221748,1
18,Matching,815.7715555,1
18,Matching,615.0941867,1
18,Matching,825.9671405,1
18,Matching,925.540166,1
18,Nonmatching,1316.529797,1
18,Nonmatching,545.5545262,1
18,Nonmatching,795.3539304,1
18,Nonmatching,921.6890559,1
18,Nonmatching,1084.966833,1
18,Nonmatching,865.3525859,0
18,Nonmatching,2813.409504,1
18,Nonmatching,905.7053197,1
18,Nonmatching,681.639364,1
18,Nonmatching,1515.83649,1
18,Nonmatching,831.4368315,1
18,Nonmatching,921.7113778,1
18,Nonmatching,675.1946211,1
18,Nonmatching,992.4772624,1
18,Nonmatching,2146.413976,1
18,Nonmatching,1021.665858,1
18,Nonmatching,1416.751448,1
18,Nonmatching,1476.846552,0
18,Nonmatching,1442.388397,1
18,Nonmatching,1345.989197,1
19,Matching,716.6687213,1
19,Matching,1251.455462,1
19,Matching,603.2992546,1
19,Matching,526.4896676,1
19,Matching,554.5616858,1
19,Matching,441.0370197,1
19,Matching,579.643229,1
