participant,sex,age (years)
1,male,20
2,female,21
3,male,25
4,female,21
5,male,21
6,male,21
7,female,22
8,male,26
9,female,21
10,female,21
11,female,25
12,female,22
13,male,23
14,female,25
15,female,21
16,female,23
17,female,35
18,female,22
19,female,21
20,female,22
21,female,21
22,male,21
23,female,22
24,female,21
25,male,25
26,female,25
27,female,22
28,male,24
29,male,25
30,female,25
31,female,23
32,female,24
33,male,24
34,male,24
35,male,25
36,female,25
37,male,24
38,male,25
39,female,24
40,male,22
