participant,file_stim,race,match,condition,rt,acc,self_other
1,white/w_m.jpg,white,no,white,NA,2,self
1,white/w_m.jpg,white,no,white,NA,2,self
1,white/w_m.jpg,white,no,white,NA,2,self
1,asian/a_m.jpg,asian,yes,white,408.3144,0,other
1,white/w_m.jpg,white,yes,white,787.5681,1,self
1,asian/a_m.jpg,asian,no,white,799.4701001,1,other
1,white/w_m.jpg,white,no,white,811.5130001,1,self
1,asian/a_m.jpg,asian,no,white,1046.9331,1,other
1,asian/a_m.jpg,asian,no,white,713.0307,1,other
1,asian/a_m.jpg,asian,yes,white,1024.3064,0,other
1,white/w_m.jpg,white,yes,white,890.9303,1,self
1,asian/a_m.jpg,asian,no,white,931.0391999,1,other
1,white/w_m.jpg,white,no,white,1089.6188,0,self
1,white/w_m.jpg,white,yes,white,929.3935,1,self
1,asian/a_m.jpg,asian,no,white,NA,2,other
1,asian/a_m.jpg,asian,no,white,788.9376,1,other
1,asian/a_m.jpg,asian,no,white,776.9718,1,other
1,asian/a_m.jpg,asian,yes,white,909.6011999,0,other
1,asian/a_m.jpg,asian,yes,white,1124.7021,0,other
1,white/w_m.jpg,white,yes,white,819.3852999,1,self
1,asian/a_m.jpg,asian,no,white,1134.2124,1,other
1,white/w_m.jpg,white,yes,white,868.8452,1,self
1,white/w_m.jpg,white,no,white,NA,2,self
1,white/w_m.jpg,white,no,white,690.2411,1,self
1,white/w_m.jpg,white,yes,white,994.3582,1,self
1,white/w_m.jpg,white,no,white,870.3086,1,self
1,white/w_m.jpg,white,yes,white,718.8603,1,self
1,white/w_m.jpg,white,yes,white,725.4884,1,self
1,white/w_m.jpg,white,yes,white,756.2523,1,self
1,asian/a_m.jpg,asian,no,white,953.467,1,other
1,white/w_m.jpg,white,no,white,1022.7316,1,self
1,asian/a_m.jpg,asian,yes,white,969.5683001,0,other
1,white/w_m.jpg,white,yes,white,750.1891999,1,self
1,asian/a_m.jpg,asian,no,white,1036.2182,1,other
1,asian/a_m.jpg,asian,yes,white,942.2376,1,other
1,white/w_m.jpg,white,yes,white,852.0190001,1,self
1,asian/a_m.jpg,asian,yes,white,821.5458,0,other
1,asian/a_m.jpg,asian,yes,white,912.2511999,0,other
1,white/w_m.jpg,white,no,white,1119.4377,1,self
1,white/w_m.jpg,white,yes,white,774.2501,1,self
1,asian/a_m.jpg,asian,yes,white,738.8457,0,other
1,asian/a_m.jpg,asian,yes,white,800.8449001,1,other
1,asian/a_m.jpg,asian,no,white,780.9833999,0,other
1,white/w_m.jpg,white,no,white,NA,2,self
1,white/w_m.jpg,white,no,white,NA,2,self
1,white/w_m.jpg,white,no,white,730.9777,1,self
1,asian/a_m.jpg,asian,no,white,865.4510999,1,other
1,white/w_m.jpg,white,no,white,786.8381999,1,self
1,white/w_m.jpg,white,yes,white,806.8952,1,self
1,white/w_m.jpg,white,yes,white,690.3099001,1,self
1,white/w_m.jpg,white,yes,white,594.2762999,1,self
1,asian/a_m.jpg,asian,no,white,734.2048,1,other
1,white/w_m.jpg,white,yes,white,716.6587,1,self
1,asian/a_m.jpg,asian,yes,white,740.1552,0,other
1,white/w_m.jpg,white,no,white,850.0335,0,self
1,white/w_m.jpg,white,no,white,1099.8989,1,self
1,white/w_m.jpg,white,no,white,772.1794,1,self
1,white/w_m.jpg,white,yes,white,816.6412,1,self
1,white/w_m.jpg,white,no,white,732.1005,1,self
