participant,Matching,rt,corr
10,Matching,675.4186,1
10,Matching,620.008,1
10,Matching,1006.5883,1
10,Matching,842.194,1
10,Matching,611.6534,1
10,Matching,733.984,1
10,Matching,820.5806,1
10,Matching,719.3681,0
10,Matching,518.058,1
10,Matching,676.7921,1
10,Matching,485.6303,1
10,Matching,421.3362,1
10,Matching,584.1614,1
10,Matching,660.8445,1
10,Matching,597.9271,1
10,Matching,482.1073,1
10,Matching,474.7909,1
10,Matching,1115.3882,1
10,Matching,889.8202,1
10,Matching,962.143,1
10,Nonmatching,720.1865,1
10,Nonmatching,998.644,0
10,Nonmatching,858.7459,1
10,Nonmatching,540.2893,1
10,Nonmatching,1136.9223,1
10,Nonmatching,695.4486,1
10,Nonmatching,543.3155,1
10,Nonmatching,861.1789,1
10,Nonmatching,654.6714,1
10,Nonmatching,536.0088,1
10,Nonmatching,558.1418,1
10,Nonmatching,1299.1134,0
10,Nonmatching,899.3387,1
10,Nonmatching,587.2222,1
10,Nonmatching,511.4346,0
10,Nonmatching,894.6949,1
10,Nonmatching,702.5596,1
10,Nonmatching,542.1053,1
10,Nonmatching,483.9433,1
10,Nonmatching,860.7431,1
11,Matching,866.8887,1
11,Matching,891.4448,1
11,Matching,763.6144,1
11,Matching,736.677,1
11,Matching,1086.5917,1
11,Matching,670.6005,1
11,Matching,767.2884,1
11,Matching,500.5885,1
11,Matching,620.7252,1
11,Matching,543.3332,1
11,Matching,564.6401,1
11,Matching,562.0906,1
11,Matching,679.4182,1
11,Matching,919.974,1
11,Matching,630.6603,1
11,Matching,601.2757,1
11,Matching,756.7192,1
11,Matching,593.9763,1
11,Matching,717.9275,1
11,Matching,525.2592,1
11,Nonmatching,634.8999,0
11,Nonmatching,837.2061,1
11,Nonmatching,983.2526,1
11,Nonmatching,708.0287,1
11,Nonmatching,1219.3381,1
11,Nonmatching,845.8664,1
11,Nonmatching,927.9431,1
11,Nonmatching,598.6551,1
11,Nonmatching,778.6129,0
11,Nonmatching,1279.2541,1
11,Nonmatching,792.046,1
11,Nonmatching,867.8135,1
11,Nonmatching,845.2881,1
11,Nonmatching,1447.0698,1
11,Nonmatching,864.5107,1
11,Nonmatching,913.6152,1
11,Nonmatching,785.3079,1
11,Nonmatching,861.2895,1
11,Nonmatching,734.5506,1
11,Nonmatching,1181.1218,1
12,Matching,646.4851,1
12,Matching,616.191,1
12,Matching,635.3969,1
12,Matching,605.4614,1
12,Matching,616.1404,1
12,Matching,515.7055,1
12,Matching,482.8842,1
12,Matching,523.4373,1
12,Matching,578.2427,1
12,Matching,511.1528,1
12,Matching,574.0983,1
12,Matching,434.8525,1
12,Matching,500.9279,1
12,Matching,572.9396,1
12,Matching,537.409,1
12,Matching,575.4366,1
12,Matching,548.1015,1
12,Matching,505.9839,1
12,Matching,521.4507,1
12,Matching,488.2712,1
12,Nonmatching,980.7909,1
12,Nonmatching,1056.5802,1
12,Nonmatching,553.9548,1
12,Nonmatching,535.4938,1
12,Nonmatching,557.3979,1
12,Nonmatching,682.7911,1
12,Nonmatching,507.5213,1
12,Nonmatching,482.6279,1
12,Nonmatching,483.4504,1
12,Nonmatching,516.1892,1
12,Nonmatching,586.5508,1
12,Nonmatching,470.5897,1
12,Nonmatching,535.4956,1
12,Nonmatching,933.4479,1
12,Nonmatching,532.1395,1
12,Nonmatching,514.5794,1
12,Nonmatching,505.9334,1
12,Nonmatching,561.4745,1
12,Nonmatching,534.6973,1
12,Nonmatching,669.5485,1
13,Nonmatching,1254.2501,1
13,Nonmatching,551.7509,1
13,Nonmatching,541.1157,1
13,Nonmatching,554.9505,1
13,Nonmatching,424.3902,1
13,Nonmatching,483.1747,1
13,Nonmatching,379.134,1
13,Nonmatching,391.7762,1
13,Nonmatching,411.7027,1
13,Nonmatching,486.9727,1
13,Nonmatching,591.189,0
13,Nonmatching,539.1344,1
13,Nonmatching,513.2187,1
13,Nonmatching,264.2127,1
13,Nonmatching,265.6949,0
13,Nonmatching,579.1098,1
13,Nonmatching,503.4513,1
13,Nonmatching,495.0147,1
13,Nonmatching,623.0935,1
13,Nonmatching,480.9237,0
13,Matching,928.5135,1
13,Matching,1318.878,1
13,Matching,645.6811,1
13,Matching,519.4825,1
13,Matching,966.2024,1
13,Matching,739.9995,0
13,Matching,601.6469,1
13,Matching,676.9872,1
13,Matching,477.7483,1
13,Matching,574.3321,1
13,Matching,418.7382,1
13,Matching,509.8989,1
13,Matching,540.8878,1
13,Matching,562.9661,1
13,Matching,504.1137,1
13,Matching,543.7014,1
13,Matching,557.8767,1
13,Matching,595.1197,1
13,Matching,446.9221,1
13,Matching,520.8599,1
14,Nonmatching,3067.1379,1
14,Nonmatching,556.4693,1
14,Nonmatching,1489.6331,1
14,Nonmatching,673.8078,1
14,Nonmatching,714.4293,1
14,Nonmatching,665.8668,1
14,Nonmatching,723.5143,1
14,Nonmatching,905.6996,1
14,Nonmatching,633.3131,1
14,Nonmatching,555.7805,1
14,Nonmatching,553.2388,1
14,Nonmatching,886.3953,1
14,Nonmatching,742.6692,1
14,Nonmatching,580.3909,1
14,Nonmatching,536.994,1
14,Nonmatching,463.3644,1
14,Nonmatching,576.5234,1
14,Nonmatching,541.3024,1
14,Nonmatching,874.9682,1
14,Nonmatching,635.9204,1
14,Matching,716.4517,1
14,Matching,531.7685,1
14,Matching,610.6779,1
14,Matching,549.8921,1
14,Matching,580.0135,1
14,Matching,672.2931,1
14,Matching,1265.0911,1
14,Matching,658.5389,1
14,Matching,692.0391,0
14,Matching,803.7502,1
14,Matching,654.3577,1
14,Matching,743.8047,1
14,Matching,709.6857,1
14,Matching,620.8995,1
14,Matching,655.6026,1
14,Matching,633.0915,1
14,Matching,723.504,1
14,Matching,762.5481,1
14,Matching,599.7834,1
14,Matching,419.6507,1
15,Nonmatching,607.6911,1
15,Nonmatching,506.95,1
15,Nonmatching,634.2379,1
15,Nonmatching,580.7844,1
15,Nonmatching,433.7326,0
15,Nonmatching,1227.5213,1
15,Nonmatching,598.1859,1
15,Nonmatching,706.1135,1
15,Nonmatching,649.4029,1
15,Nonmatching,563.7808,1
15,Nonmatching,600.8566,1
15,Nonmatching,613.0342,1
15,Nonmatching,592.1358,1
15,Nonmatching,556.0709,1
15,Nonmatching,585.6247,1
15,Nonmatching,605.4069,1
15,Nonmatching,552.7493,1
15,Nonmatching,646.403,1
15,Nonmatching,496.2802,1
15,Nonmatching,464.0945,1
15,Matching,951.5424,0
15,Matching,1061.6788,1
15,Matching,894.8957,0
15,Matching,1222.7083,0
15,Matching,681.5219,1
15,Matching,778.2707,1
