PairNumber,PartnerMatch,SelfMatch,StrangerMatch,StrangerTeamMatch,TeamMatch,PartnerMismatch,SelfMismatch,StrangerMismatch,StrangerTeamMismatch,TeamMismatch
1,0.687110453,0.557518243,0.597021969,0.67629594,0.673375892,0.735937333,0.697920801,0.692133385,0.706822773,0.667792381
2,0.73419483,0.640175859,0.76409179,0.881090841,0.648331935,0.669432046,0.767240676,0.713998831,0.706271451,0.692126889
3,0.593188988,0.605339921,0.608548244,0.551917013,0.627796094,0.833082474,0.812443357,0.819707679,0.781381204,0.814330884
4,0.665138283,0.627368553,0.75819933,0.660769832,0.75682353,0.864769047,0.886988596,0.885776612,0.837283527,0.834791058
5,0.664424212,0.629937486,0.683455413,0.639948852,0.621996445,0.842726797,0.817958952,0.83816662,0.783550198,0.806865705
6,0.650244638,0.605093065,0.63212854,0.757609417,0.590544778,0.836801576,0.879493034,0.892657178,0.799521285,0.873822707
7,0.67472082,0.834473663,0.782574129,0.937618103,0.941225113,0.804531474,0.827208918,0.820052109,0.869599265,0.82467427
8,0.807043646,0.908914125,0.67899772,0.881157198,0.78066504,0.974058759,0.847881774,0.905305134,0.916206743,0.989988284
9,0.632263191,0.507214436,0.621639685,0.581797539,0.541393582,0.697380444,0.783990379,0.665067099,0.769041859,0.692813691
10,0.840309632,0.677061518,0.931849707,1.097282502,0.959486075,1.094045609,1.018367895,1.034144258,1.084839101,1.024139431
11,0.588594624,0.525245375,0.617487063,0.613773689,0.567481708,0.897918954,0.848352909,0.850221999,0.828985251,0.859032857
12,0.649120298,0.649656192,0.589128052,0.689653463,0.657868426,0.691730683,0.664644833,0.641210843,0.734334419,0.705059745
13,0.874099587,0.693423974,0.765912266,0.818444581,0.799230853,0.86312856,0.811614251,0.853274327,0.81085136,0.866257441
14,0.893699124,0.782737204,0.748618852,0.864714766,0.771346226,0.847221292,0.872842873,0.871734863,0.86227729,0.804046489
15,0.914945252,0.821536277,0.869676516,0.80657292,0.867823602,0.846310023,0.954366868,0.875714663,0.894955762,0.85367723
16,0.693958124,0.582730169,0.670268442,0.716519936,0.642198912,0.907290325,0.962321354,0.989195113,0.962020897,0.895962393
17,1.107904677,0.816419831,1.016371817,1.446057746,1.277732185,0.822688746,0.925076323,0.901659622,0.910742225,0.873548976
18,0.896608813,0.70082971,0.861721863,0.805857878,0.838839313,1.015264195,0.889128479,1.02462179,0.968848086,0.977287992
19,0.580937582,0.557867774,0.628563027,0.633581212,0.593831048,0.869496898,0.865624953,0.818923036,0.807578618,0.847482717
20,0.736061454,0.679103923,0.739813906,0.775898062,0.646912711,1.043167648,1.035799614,0.939338723,0.9962576,0.94118833
