Pair,MatchParticipant,TrialType,Partner,Self,Stranger,StrangerTeam,Team,SelfAcc,PartnerAcc,StrangerAcc,StrangerTeamAcc,TeamAcc,SelfMu,SelfSig,SelfTau,SelfLogLik,SelfAIC,SelfLen,PartnerMu,PartnerSig,PartnerTau,PartnerLogLik,PartnerAIC,PartnerLen,StrangerMu,StrangerSig,StrangerTau,StrangerLogLik,StrangerAIC,StrangerLen,StrangerTeamMu,StrangerTeamSig,StrangerTeamTau,StrangerTeamLogLik,StrangerTeamAIC,StrangerTeamLen,TeamMu,TeamSig,TeamTau,TeamLogLik,TeamAIC,TeamLen
1,Person1,Match,0.71030263,0.571423671,0.597021969,0.691107916,0.688935023,0.984375,0.806451613,0.838709677,0.819672131,0.796875,0.471581845,0.040054553,0.100301937,60.33736624,-114.6747325,63,0.55940472,0.05283872,0.151530443,29.05673507,-52.11347014,50,0.509640013,0.05393121,0.087204871,49.48044186,-92.96088372,52,0.566488564,0.048452899,0.124182602,38.66109745,-71.32219491,50,0.546722828,0.0546187,0.142383994,31.82672264,-57.65344529,51
10,Person1,Match,0.840309632,0.677061518,0.931849707,1.126916153,0.973105839,1,0.953125,0.983333333,0.923076923,0.983050847,0.575366699,0.044354784,0.100921538,59.06335452,-112.126709,62,0.601527793,0.020992223,0.238875737,21.04975281,-36.09950563,61,0.739036894,0.091817304,0.193429504,14.27747143,-22.55494286,59,0.921258047,0.241588153,0.20050324,-10.36812041,26.73624081,48,0.71466877,0.09547821,0.257720465,3.465692202,-0.931384403,58
11,Person2,Match,0.619571902,0.525245375,0.632323212,0.613773689,0.595332825,0.9375,0.875,0.873015873,0.790322581,0.90625,0.463157874,0.058235681,0.062801903,63.93287201,-121.865744,60,0.48041639,0.053258907,0.139763511,35.77146545,-65.5429309,56,0.501918415,0.021322764,0.130407633,49.37814371,-92.75628742,55,0.519356621,0.055271333,0.095490293,42.69181058,-79.38362117,49,0.452285083,0.049731798,0.142822879,38.04687284,-70.09374567,58
12,Person2,Match,0.661251174,0.657165198,0.589128052,0.689653463,0.665809877,0.9375,0.96875,0.984375,0.765625,0.96875,0.595615885,0.081523503,0.059965584,53.67606271,-101.3521254,60,0.517549203,0.059720896,0.143934025,36.3168343,-66.6336686,62,0.526811672,0.032249629,0.06238764,84.72786447,-163.4557289,63,0.684488398,0.111751635,0.005144201,37.67328432,-69.34656864,49,0.58424992,0.067982863,0.081326921,54.39398842,-102.7879768,62
13,Person1,Match,0.912377021,0.693423974,0.7832499,0.838404638,0.832305208,0.80952381,0.80952381,0.80952381,0.64516129,0.890625,0.533145217,0.039026392,0.160469448,31.43326488,-56.86652975,51,0.608158664,0.115573321,0.304507952,-6.711800458,19.42360092,51,0.556674769,0.070517749,0.226017926,11.52455354,-17.04910707,51,0.630522513,0.054038894,0.207670843,14.02813432,-22.05626864,40,0.594530484,0.010850152,0.237843481,22.16305119,-38.32610239,57
14,Person1,Match,0.92287724,0.799134633,0.748618852,0.899292777,0.806415928,0.921875,0.953125,1,0.919354839,0.984126984,0.550242089,0.006780869,0.248796741,22.32963084,-38.65926168,59,0.565905173,0.016939564,0.356994185,-0.972999524,7.945999047,61,0.541614243,0.060283481,0.207157203,19.44900784,-32.89801568,62,0.570764131,0.042067871,0.328417148,0.244588248,5.510823505,57,0.585575893,0.077528761,0.222620558,11.11585344,-16.23170687,62
15,Person2,Match,0.914945252,0.821536277,0.898617408,0.80657292,0.880772373,0.90625,0.952380952,0.96875,0.9375,0.915254237,0.686621914,0.070859086,0.134246399,34.3456555,-62.69131099,58,0.72102133,0.071102073,0.194315718,19.19046357,-32.38092715,60,0.67414316,0.035038921,0.224479939,22.17682644,-38.35365288,62,0.670849014,0.052012168,0.136546182,39.38872929,-72.77745858,60,0.645015359,0.053025455,0.236054337,12.98567774,-19.97135548,54
16,Person2,Match,0.714828175,0.582730169,0.686279299,0.753114433,0.642198912,0.890625,0.890625,0.875,0.571428571,0.920634921,0.515538374,0.095698149,0.067686538,41.44896523,-76.89793047,57,0.552386099,0.106256699,0.163052453,16.52288234,-27.04576468,57,0.548519422,0.05808383,0.138643828,34.37319228,-62.74638457,56,0.583658383,0.123324128,0.170439496,7.237093771,-8.474187542,36,0.515977481,0.046526063,0.125920574,44.51629741,-83.03259483,58
17,Person1,Match,1.107904677,0.816419831,1.016371817,1.446057746,1.277732185,0.919354839,0.862068966,0.901639344,0.775,0.787234043,0.572690796,0.007536063,0.243759275,21.69580476,-37.39160952,57,0.951639284,0.236862291,0.157554364,-8.118377548,22.2367551,50,0.721536573,0.121517868,0.29673052,-7.951295858,21.90259172,55,1.43505531,0.32544225,0.01118092,-9.562236161,25.12447232,31,1.246611564,0.388842815,0.013755477,-18.08893852,42.17787704,37
18,Person1,Match,0.896608813,0.70082971,0.861721863,0.86540636,0.855989855,0.983870968,0.859375,0.887096774,0.918032787,0.935483871,0.617543315,0.080988762,0.082813379,47.35262341,-88.70524683,61,0.756622799,0.141343234,0.142245304,10.95817222,-15.91634443,55,0.577240724,0.03697558,0.284747724,7.378440623,-8.756881245,55,0.591001191,0.062300166,0.275010203,4.67473843,-3.349476859,56,0.597920191,0.060132245,0.258434858,8.659107503,-11.31821501,58
