Participant,Association,Scale,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
1,Happy,58,1,0.872340426,0.833333333,0.826086957,0.936170213,0.936170213,0.958333333,0.958333333,,,,,,,0.166666667,0.046253469,-0.022163121,-0.022163121
2,Happy,93,1,0.958333333,0.872340426,0.782608696,0.936170213,0.97826087,0.979166667,0.895833333,,,,,,,0.127659574,0.175724638,-0.042996454,0.082427536
5,Happy,20,0.916666667,0.531914894,0.608695652,0.543478261,0.638297872,0.638297872,0.638297872,0.553191489,,,,,,,0.27359491,0.189028026,0.106565657,-0.007928118
6,Happy,30,0.9375,0.854166667,0.893617021,0.854166667,0.916666667,0.914893617,0.957446809,0.833333333,,,,,,,0.077439024,0.031385281,-0.021151586,0.054761905
9,Happy,48,0.958333333,0.958333333,0.957446809,0.891304348,0.829787234,0.958333333,0.958333333,0.957446809,,,,,,,0.307971014,-0.011563367,0,0.085106383
10,Happy,86,1,0.958333333,0.895833333,0.916666667,0.875,0.829787234,0.916666667,0.979166667,,,,,,,0.043882979,0,-0.040780142,0.081560284
13,Happy,70,1,0.916666667,0.893617021,0.777777778,0.808510638,0.956521739,0.979166667,0.9375,,,,,,,0.080673759,0.127659574,-0.166666667,0.042553191
17,Happy,85,0.739130435,0.638297872,0.804347826,0.70212766,0.791666667,0.755555556,0.826086957,0.787234043,,,,,,,0.1875,0.348751156,0.016666667,0.046542553
18,Happy,82,1,0.934782609,0.893617021,0.833333333,0.75,0.787234043,0.893617021,0.765957447,,,,,,,0.000886525,0.067028986,-0.128546099,0.000886525
21,Happy,84,1,0.9375,0.914893617,0.85106383,1,0.916666667,0.934782609,0.978723404,,,,,,,0.104166667,0.041666667,-0.041666667,-0.149379433
22,Happy,39,1,0.913043478,0.891304348,0.76744186,0.9375,0.75,0.954545455,0.891304348,,,,,,,0.267210145,0.176861702,-0.09057971,-0.229166667
25,Happy,95,0.936170213,0.854166667,0.85106383,0.770833333,0.916666667,0.808510638,0.854166667,0.875,,,,,,,0.285846438,0.227895981,0.083333333,0.0625
26,Happy,99,0.97826087,0.869565217,0.866666667,0.609756098,0.818181818,0.755555556,0.930232558,0.787234043,,,,,,,0.106382979,0.138888889,-0.170656028,0.019021739
29,Happy,90,1,0.875,0.956521739,0.936170213,0.847826087,0.744680851,0.958333333,0.978723404,,,,,,,0.166666667,0.145833333,-0.087765957,-0.070652174
30,Happy,65,0.97826087,0.934782609,0.634146341,0.619047619,0.595744681,0.642857143,0.75,0.860465116,,,,,,,-0.020833333,-0.020833333,-0.125,0.333333333
33,Happy,84,0.958333333,0.957446809,0.916666667,0.829787234,0.895833333,0.804347826,0.936170213,0.914893617,,,,,,,-0.065217391,-0.063829787,-0.03442029,-0.031678487
37,Happy,70,0.9375,0.666666667,0.847826087,0.787234043,0.958333333,0.553191489,0.893617021,0.711111111,,,,,,,0.106382979,0.101449275,-0.143617021,0.021276596
38,Happy,90,0.979166667,0.854166667,0.958333333,0.85106383,0.8125,0.717391304,0.872340426,0.85106383,,,,,,,0.063829787,0.276595745,0.043940796,0.104166667
41,Happy,15,0.9375,0.956521739,0.720930233,0.543478261,0.673913043,0.815789474,0.886363636,0.785714286,,,,,,,0.082890071,0.083333333,0.020351526,-0.023126735
42,Happy,100,0.9375,0.833333333,0.916666667,0.979166667,0.958333333,0.936170213,0.770833333,0.872340426,,,,,,,0.085106383,0.08643617,0.065217391,-0.062056738
45,Happy,65,1,1,0.790697674,0.70212766,0.875,0.744680851,0.847826087,0.744680851,,,,,,,0.108695652,0.145601618,-0.017045455,-0.141304348
46,Happy,94,0.979166667,0.916666667,0.9375,0.893617021,0.914893617,0.9375,0.916666667,0.9375,,,,,,,0.18572695,0.316836263,-0.226507092,-0.02393617
49,Happy,90,1,0.895833333,0.893617021,0.770833333,0.958333333,0.744680851,1,0.893617021,,,,,,,-0.041666667,0.041666667,-0.083333333,-0.048611111
