Shape,Label,ShapeLoc,Condition,FaceIdentity,Stimulus,Strength,textColour,resp,rt,Exclude,corr,nCorr,trialinBlock,BlankFrames,Block,6. Stimuli Type (Self = Negative/Self = Positive),4. Handedness,3. Age,5. First Language,2. Gender,Subject
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.766876816,0,1,1,1,74,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,1.216912881,0,1,2,2,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.116891049,0,1,3,3,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,1.050194693,0,1,4,4,67,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.366863314,0,1,5,5,60,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.266946498,0,1,6,6,73,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,l,1.100255946,0,0,6,7,64,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.050263388,0,1,7,8,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.18355582,0,1,8,9,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.166854392,0,1,9,10,62,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.683542989,0,1,10,11,73,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.200188554,0,1,11,12,50,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.383526053,0,1,12,13,69,1,Self = Positive,Right,24,Ukrainian,Male,1
