Subject,SessionDate,Age,Sex,Handedness,MotherTongue,Procedure[SubTrial],LabelOrder,PressAssos.RT,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Stimulus,Congruent,Incongruent,Target.ACC,Target.CRESP,Target.RESP,Target.RT
9503,08-08-2017,29,male,right,Hebrew,Assos,SUF,24259,,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,PracProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,FBbreak,SUF,,,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,inst,SUF,,,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,2883
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,2011
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1670
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,798
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,890
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,0,m,z,1674
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1242
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,1636
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,3814
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1865
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1898
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,1241
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1067
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,1700
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,963
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1216
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,1027
