VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
1,18,1,0,2,-13.8333333333334,31.6313725490196,8.89901960784312,.250138759481095,.114119419282248,.386158099679942,12,10,11,16,9,12,5,12,8,10,9,17,537.5,560.25,544.333333333333,490.777777777778,503,515,560,620.909090909091,574.529411764706,759.857142857143,608.733333333333,657.142857142857,45.464705882353,590.579545454545,586.071428571429,625.31746031746,11,14.5,13
2,19,0,1,2,105.897222222222,-8.61550724637686,48.6408574879227,.469513128034194,.352510914303111,.586515341765276,2,5,4,6,4,5,0,3,0,9,1,4,560.291666666667,767.058823529412,645.1,803.111111111111,687.277777777778,695.526315789474,644.583333333333,706.391304347826,605.24,774.4,666.695652173913,686.210526315789,-114.512729468599,736.725063938619,690.868421052632,788.755555555555,4,4.5,7.5
3,24,0,0,2,-96.5738304093568,41.0796783625731,-27.7470760233919,-1.02883866373011,-.969788310058767,-1.08788901740145,8,7,7,0,4,5,8,10,5,3,6,1,732.875,767.529411764706,651.444444444444,743.230769230769,621.157894736842,700.619047619048,698.375,727.066666666667,685.277777777778,789.7,793.631578947368,716.545454545455,137.65350877193,747.298039215686,708.582251082251,766.465384615385,8.5,3,1.5
4,23,0,1,2,342.483008658009,173.951609793715,258.217309225862,.81189492038648,-.185060873162163,1.80885071393512,2,9,3,3,6,4,0,0,5,1,5,4,668.318181818182,1126.375,942.952380952381,1013.91304347826,1078.65,1046.38095238095,708.423076923077,1023.6,817.380952380952,906.565217391304,947.368421052632,962.952380952381,-168.531398864293,1074.9875,1004.66666666667,960.239130434783,4.5,4,2
5,20,0,0,2,84.2634782608696,35.5082915273132,59.8858848940914,.0587688086607945,-.104591689915266,.222129307236855,1,0,0,0,0,2,0,1,1,1,1,0,641.521739130435,705.307692307692,743.130434782609,707.25,708.44,758.041666666667,601.653846153846,704.636363636364,672.782608695652,729.590909090909,601.541666666667,720.130434782609,-48.7551867335564,704.972027972028,739.086050724638,718.420454545455,.5,1,.5
6,18,0,1,2,28.1307435254803,23.9077540106953,26.0192487680878,-.177367127471848,-.317489192338039,-.0372450626056562,6,7,4,10,4,3,13,2,3,6,8,7,766.777777777778,888,766.238095238095,899.466666666667,823.578947368421,880.045454545455,802.272727272727,941.590909090909,847.772727272727,885.235294117647,804.588235294118,942.058823529412,-4.22298951478501,914.795454545455,911.052139037433,892.350980392157,4.5,5,8
7,19,0,1,2,186.397222222222,149.051630434783,167.724426328502,.656703153733249,.352994616484831,.960411690981667,1,4,3,4,7,1,1,5,8,10,9,2,494.4,686.777777777778,688.15,721.363636363636,673.444444444444,673.142857142857,492.260869565217,608,643,678.769230769231,639.625,684.833333333333,-37.3455917874396,647.388888888889,678.988095238095,700.066433566433,4.5,1.5,7
8,19,0,0,2,-30.8266590389015,-14.375,-22.6008295194508,.0704347976202215,-.449720429284834,.590590024525278,5,7,1,7,7,3,0,5,0,6,6,4,676.315789473684,709.473684210526,622.478260869565,757,668.5,722.55,677.75,739.533333333333,612.75,693,714,747.318181818182,16.4516590389015,724.50350877193,734.934090909091,725,6,3.5,6.5
9,22,0,0,2,19.720256916996,18.3192918192918,19.0197743681439,-.551683098836572,-.612034908750924,-.49133128892222,4,5,1,1,6,3,11,9,4,9,9,6,643.909090909091,664.5,629.608695652174,738.130434782609,697.65,693.714285714286,689.444444444444,764.642857142857,678.142857142857,720.25,737.384615384615,726.315789473684,-1.40096509770422,714.571428571429,710.015037593985,729.190217391304,7,4.5,5
10,23,0,1,2,30.0520512820513,13.8662008281573,21.9591260551043,.0394888877648525,.116374800745073,-.0373970252153684,1,5,1,4,9,1,1,3,3,4,2,0,664.083333333333,780.333333333333,653.04,793.6,735.230769230769,738.916666666667,645.708333333333,764.894736842105,610.714285714286,757.904761904762,708.434782608696,723.708333333333,-16.185850453894,772.614035087719,731.3125,775.752380952381,4,.5,4
11,24,0,0,2,104.920454545455,93.4746376811594,99.1975461133069,.661727999859441,1.01271255406032,.310743445658566,1,4,3,7,14,4,1,5,0,9,11,2,737.125,810.235294117647,755.090909090909,792.3125,929,776.333333333333,684.565217391304,757.736842105263,762.913043478261,820.9375,793.166666666667,779.227272727273,-11.4458168642951,783.986068111455,777.780303030303,806.625,4.5,3,8
12,25,0,1,2,120.478174603175,3.875,62.1765873015873,-.157610726098566,-.46145487648383,.146233424286698,13,17,12,19,3,15,8,19,10,18,10,20,465.125,654.857142857143,585.777777777778,533.666666666667,585.428571428571,519.714285714286,463,446.8,466.5,613.833333333333,467.25,469,-116.603174603175,550.828571428571,494.357142857143,573.75,18,17.5,18.5
13,24,1,0,2,92.9069264069265,139.805263157895,116.356094782411,.598127203574382,.827208498331315,.369045908817449,3,8,13,10,11,7,4,8,9,10,6,7,751.545454545455,907.125,855.333333333333,904.333333333333,833.571428571429,914.157894736842,731.333333333333,951.055555555556,854.066666666667,942.071428571429,888.210526315789,965.764705882353,46.8983367509683,929.090277777778,939.961300309598,923.202380952381,8,7,10
