VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
1,20,0,1,1,198.860595238095,165.215538847118,182.038067042606,1.23563509982664,-1.09960395219807,-1.37166624745522,0,1,1,4,4,2,0,2,4,5,11,1,530.44,734.454545454545,691.791666666667,760.52380952381,766.809523809524,748,556.583333333333,700.791666666667,724.526315789474,786.421052631579,719.071428571429,748.272727272727,-33.6450563909773,717.623106060606,748.136363636364,773.472431077694,1.5,1.5,4.5
2,25,0,0,1,218.502380952381,217.101814851815,217.802097902098,.159854699619796,-.0841715781798986,-.235537821059694,4,2,4,2,4,3,0,2,4,0,3,0,738.25,948.217391304348,959.904761904762,986.304347826087,953.6,1054.47619047619,578.923076923077,742.521739130435,730.095238095238,866.625,861.954545454545,821.08,-1.40056610056604,845.369565217391,937.778095238095,926.464673913043,2,1.5,1
3,21,1,1,1,-88.4545454545455,-37.3009153318078,-62.8777303931766,.161627267578307,-.261963345948631,-.0612911892079842,3,0,1,0,2,5,6,1,2,2,6,3,954,946.2,809,912.12,922.090909090909,1045.21052631579,973.421052631579,969.708333333333,860.608695652174,914.909090909091,1011.63157894737,1066,51.1536301227377,957.954166666667,1055.60526315789,913.514545454545,.5,4,1
4,28,1,0,1,40.6857142857142,2.61333333333334,21.6495238095238,.0582657162813156,-.443252429714751,.326720997152119,0,1,0,0,2,5,1,1,0,0,1,2,795.44,815.95652173913,808.68,850.08,863.571428571429,979.526315789474,739.666666666667,799.25,660.48,776.541666666667,824.08,896.904761904762,-38.0723809523809,807.603260869565,938.215538847118,813.310833333333,1,3.5,0
5,22,0,1,1,204.540065359477,166.071739130435,185.305902244956,1.01440817384925,-1.18413788993881,-.844678457759694,0,3,6,4,9,1,0,8,3,7,9,3,633.04,800.136363636364,733.277777777778,744.263157894737,941.882352941176,810.173913043478,524.083333333333,651.941176470588,644.04347826087,676.947368421053,736.266666666667,691.590909090909,-38.4683262290423,726.038770053476,750.882411067194,710.605263157895,5.5,2,5.5
6,21,0,0,1,168.401449275362,258.767391304348,213.584420289855,.588432831746825,-1.36964908870774,.192783425214091,0,4,2,5,12,7,5,9,1,8,10,8,791.2,902.272727272727,869.869565217391,916.105263157895,1049.33333333333,934.111111111111,652.35,928.933333333333,821.434782608696,862.444444444444,1000.8,871,90.3659420289855,915.60303030303,902.555555555556,889.27485380117,6.5,7.5,6.5
7,22,0,1,1,148.375691699605,153.177738095238,150.776714897421,.652440773678357,-.881043044618373,-.423838502738341,0,1,3,1,2,2,0,2,3,2,0,2,567.4,702.130434782609,705.869565217391,789.913043478261,725.681818181818,775.434782608696,512.48,621.25,611.857142857143,751.272727272727,719.458333333333,712.391304347826,4.80204639563328,661.690217391304,743.913043478261,770.592885375494,1.5,2,1.5
8,24,0,0,1,31.3518181818182,34.1740909090909,32.7629545454545,-.933338889576005,.730139388155093,1.13653839099692,1,3,0,0,2,1,2,2,0,0,1,0,759.08,899.157894736842,738,858.478260869565,842.863636363636,870.95652173913,665.590909090909,791.333333333333,639.28,785.461538461538,760.25,821.833333333333,2.82227272727266,845.245614035088,846.394927536232,821.969899665552,2.5,.5,0
9,26,0,1,1,87.1931818181819,64.5695652173913,75.8813735177866,-.440521522309187,.423838502738341,.457204541880032,3,0,0,0,0,3,2,0,0,1,0,0,722.681818181818,815.4,804.916666666667,778.95652173913,814.833333333333,855.045454545455,612.086956521739,698.24,693.913043478261,695.666666666667,659.4,736.25,-22.6236166007906,756.82,795.647727272727,737.311594202899,0,1.5,.5
10,20,0,0,1,151.478174603175,134.878787878788,143.178481240981,.982459417667401,-1.14038427950808,-.824534555826722,0,6,5,6,7,5,4,1,7,5,9,2,575.541666666667,707.842105263158,690.761904761905,743.631578947368,763.277777777778,768.684210526316,611.454545454545,721.652173913043,703.8,684.666666666667,788.866666666667,799.5,-16.5993867243868,714.747139588101,784.092105263158,714.149122807018,3.5,3.5,5.5
