subj_idx,person,match,stim,accuracy,response,rt
12,Self,match,1,1,1,0.748
12,Stranger,mismatch,0,0,1,1.014
12,Friend,mismatch,0,1,0,0.772
12,Friend,match,1,1,1,0.834
12,Self,match,1,1,1,0.579
12,Self,mismatch,0,1,0,0.804
12,Stranger,mismatch,0,1,0,0.854
12,Self,mismatch,0,1,0,0.806
12,Stranger,match,1,1,1,0.709
12,Stranger,match,1,1,1,0.718
12,Stranger,mismatch,0,1,0,0.716
12,Self,mismatch,0,1,0,0.647
12,Self,match,1,1,1,0.659
12,Stranger,match,1,0,0,0.704
12,Stranger,mismatch,0,1,0,0.726
12,Friend,match,1,1,1,0.708
12,Stranger,match,1,0,0,0.685
12,Self,match,1,1,1,0.584
12,Friend,match,1,1,1,0.804
12,Friend,mismatch,0,0,1,0.562
12,Self,mismatch,0,1,0,0.961
12,Friend,match,1,1,1,0.975
12,Self,match,1,1,1,0.701
12,Friend,mismatch,0,1,0,0.972
12,Friend,mismatch,0,0,1,0.638
12,Self,mismatch,0,1,0,0.859
12,Stranger,match,1,1,1,0.537
12,Stranger,match,1,1,1,0.609
12,Stranger,mismatch,0,1,0,0.64
12,Friend,match,1,1,1,0.737
12,Self,mismatch,0,1,0,0.778
12,Stranger,mismatch,0,1,0,0.554
12,Self,match,1,1,1,0.653
12,Self,mismatch,0,1,0,0.536
12,Self,mismatch,0,1,0,0.909
12,Friend,match,1,1,1,0.66
12,Stranger,mismatch,0,1,0,0.575
12,Friend,match,1,1,1,0.717
12,Friend,mismatch,0,1,0,0.807
12,Self,match,1,1,1,0.606
12,Stranger,match,1,0,0,0.755
12,Friend,mismatch,0,1,0,0.687
12,Self,match,1,0,0,0.676
12,Stranger,match,1,0,0,0.585
12,Stranger,mismatch,0,1,0,0.701
12,Friend,match,1,1,1,0.716
12,Self,mismatch,0,1,0,0.797
12,Friend,match,1,0,0,0.63
12,Self,match,1,1,1,0.536
12,Stranger,mismatch,0,1,0,0.516
12,Self,match,1,1,1,0.633
12,Stranger,match,1,1,1,0.871
12,Friend,mismatch,0,1,0,1.009
12,Stranger,mismatch,0,0,1,0.568
12,Friend,mismatch,0,1,0,0.766
12,Stranger,match,1,0,0,0.626
12,Self,mismatch,0,1,0,0.971
12,Self,match,1,1,1,0.51
12,Friend,match,1,1,1,0.641
12,Friend,mismatch,0,1,0,0.493
12,Friend,mismatch,0,1,0,0.611
12,Self,mismatch,0,1,0,0.646
12,Self,match,1,1,1,0.546
12,Stranger,match,1,1,1,0.556
12,Friend,match,1,1,1,0.824
12,Stranger,mismatch,0,1,0,0.887
12,Self,mismatch,0,1,0,0.566
12,Stranger,match,1,1,1,0.536
12,Stranger,mismatch,0,1,0,0.57
12,Self,match,1,1,1,0.554
12,Stranger,mismatch,0,1,0,0.748
12,Stranger,mismatch,0,1,0,0.597
12,Friend,mismatch,0,1,0,0.773
12,Friend,match,1,1,1,0.48
12,Stranger,match,1,1,1,0.559
12,Self,match,1,1,1,0.397
12,Friend,match,1,1,1,0.618
12,Friend,mismatch,0,1,0,0.623
12,Stranger,match,1,1,1,0.882
12,Self,mismatch,0,1,0,0.62
12,Self,match,1,1,1,0.395
12,Stranger,mismatch,0,1,0,0.638
12,Self,mismatch,0,1,0,0.768
12,Stranger,match,1,1,1,0.728
12,Self,mismatch,0,1,0,0.763
12,Stranger,match,1,1,1,0.747
12,Self,match,1,1,1,0.615
12,Friend,match,1,1,1,0.817
12,Friend,mismatch,0,0,1,0.554
12,Friend,match,1,1,1,0.945
12,Stranger,mismatch,0,1,0,0.516
12,Stranger,mismatch,0,1,0,0.727
12,Friend,match,1,1,1,0.76
12,Friend,mismatch,0,1,0,0.71
12,Self,mismatch,0,0,1,0.503
12,Friend,match,1,1,1,0.651
12,Friend,mismatch,0,1,0,0.677
12,Self,match,1,1,1,0.609
12,Self,match,1,1,1,0.523
12,Self,mismatch,0,0,1,0.748
12,Stranger,match,1,1,1,0.679
12,Stranger,mismatch,0,1,0,0.652
12,Stranger,match,1,0,0,0.524
