Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
612ca983e3b41811470cefae,1,2461,left,1,0,Stranger,m33,User,JA,0.734375
612ca983e3b41811470cefae,2,927.8,right,0,1,Me,f15,Other,JA,0.734375
612ca983e3b41811470cefae,3,1865.9,left,0,1,Stranger,m34,Other,JA,0.734375
612ca983e3b41811470cefae,4,1162.3,right,0,1,Me,m34,Other,JA,0.734375
612ca983e3b41811470cefae,5,727,right,0,1,Stranger,f27,User,JA,0.734375
612ca983e3b41811470cefae,6,878.8,right,0,1,Me,f15,Other,NEIN,0.734375
612ca983e3b41811470cefae,7,1315.8,left,0,1,Stranger,f15,Other,NEIN,0.734375
612ca983e3b41811470cefae,8,1441.2,right,1,0,Me,m38,User,NEIN,0.734375
612ca983e3b41811470cefae,9,579.4,right,0,1,Stranger,m38,User,JA,0.734375
612ca983e3b41811470cefae,10,1029.7,left,1,0,Me,m35,Other,NEIN,0.734375
612ca983e3b41811470cefae,11,1585.6,right,1,0,Stranger,f18,Other,NEIN,0.734375
612ca983e3b41811470cefae,12,595.6,right,1,0,Me,f4,User,NEIN,0.734375
612ca983e3b41811470cefae,13,497.4,left,1,0,Stranger,f27,User,JA,0.734375
612ca983e3b41811470cefae,14,523.8,right,0,1,Me,m34,Other,NEIN,0.734375
612ca983e3b41811470cefae,15,2722.9,right,1,0,Me,m38,User,NEIN,0.734375
612ca983e3b41811470cefae,16,526.7,right,1,0,Me,m33,User,JA,0.734375
612ca983e3b41811470cefae,17,515.9,right,0,1,Me,m35,Other,JA,0.734375
612ca983e3b41811470cefae,18,599.3,left,0,1,Stranger,f15,Other,JA,0.734375
612ca983e3b41811470cefae,19,2709.7,left,0,1,Stranger,m35,Other,JA,0.734375
612ca983e3b41811470cefae,20,811.9,right,1,0,Me,f27,User,NEIN,0.734375
612ca983e3b41811470cefae,21,552.6,right,1,0,Me,f4,User,JA,0.734375
612ca983e3b41811470cefae,22,1632,left,0,1,Stranger,m35,Other,JA,0.734375
612ca983e3b41811470cefae,23,568.1,left,1,0,Stranger,f4,User,JA,0.734375
612ca983e3b41811470cefae,24,613.1,right,0,1,Me,m34,Other,NEIN,0.734375
612ca983e3b41811470cefae,25,383.3,left,1,0,Stranger,m33,User,NEIN,0.734375
612ca983e3b41811470cefae,26,1016.3,right,1,0,Stranger,m34,Other,JA,0.734375
612ca983e3b41811470cefae,27,1225.6,right,0,1,Me,m35,Other,NEIN,0.734375
612ca983e3b41811470cefae,28,591.2,left,1,0,Stranger,f27,User,NEIN,0.734375
612ca983e3b41811470cefae,29,2605.5,right,1,0,Stranger,f18,Other,JA,0.734375
612ca983e3b41811470cefae,30,500.3,left,1,0,Me,f18,Other,NEIN,0.734375
612ca983e3b41811470cefae,31,1083.6,right,1,0,Stranger,f18,Other,NEIN,0.734375
612ca983e3b41811470cefae,32,876.2,left,1,0,Me,f18,Other,JA,0.734375
612ca983e3b41811470cefae,33,2204.3,left,1,0,Me,f15,Other,JA,0.734375
612ca983e3b41811470cefae,34,891.9,left,1,0,Stranger,f4,User,JA,0.734375
612ca983e3b41811470cefae,35,1434.6,right,0,1,Stranger,m38,User,NEIN,0.734375
612ca983e3b41811470cefae,36,583.6,right,1,0,Me,m33,User,NEIN,0.734375
