age,handedness,participant_id,sex,block_order,shape,match,block,responseKey,respRt,respCorr
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7634765,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,l,0.8721048,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,l,1.1178963,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.3027496,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9832647,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,1.0678871,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,1.1858897,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.9378929,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6634851,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6357949,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.7272845,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5325406,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.8459933,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5950769,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.7424174,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,1.2440656,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4739178,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5956615,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.9417945,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9846871,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6218892,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.961487,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.0656853,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.9923495,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5653102,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5147803,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4774812,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.3929253,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.5994723,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5040756,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.6871328,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.3948164,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.6060142,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.152407,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.1101604,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.1915921,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7239563,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.552922,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.60525,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.4368876,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.0555285,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7285098,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6966627,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9795328,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6968149,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.3808147,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.4011085,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5384853,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.4663801,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4269821,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.4807824,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.4662971,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.8479946,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5967883,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5020333,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6531732,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6733048,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.9245273,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,1.0360038,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.8350322,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,missed,1.500102,missed
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.6646658,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,1.1988325,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.4955141,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5148965,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5702721,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.5542992,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.8647811,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.7107341,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4850856,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5706683,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.6116151,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.585766,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6702791,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.4798052,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.6359797,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.7192383,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.721585,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,l,0.471412,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.517007,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.4850412,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4836933,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.4954557,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.9486457,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.5744872,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,a,0.4019128,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6494241,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.4838063,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6820384,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.610406,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.8393612,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,missed,1.5000569,missed
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.7050792,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.416963,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.5237045,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.7871239,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.4684874,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.5616937,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6453463,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4515452,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4677962,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.5998827,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5684042,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.7379958,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.9812978,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,1.2502012,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.5550144,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5978921,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.9080096,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.8745043,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.5226035,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5214159,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5813069,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5590047,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.925502,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.533027,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5261542,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.3460438,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.4721051,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.4742102,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.5206903,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfS,l,0.3870556,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.520149,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.6216634,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.3344488,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,l,0.6737195,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.2996643,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.2110226,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.3069795,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,a,0.1730679,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfS,l,0.6320243,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.5741441,1
