responseKey,respCorr,match,block,participant_id,age,sex,handedness,respRt,shape
l,0,yes,selfS,CR99,20,f,right,0.400105,stranger-related
a,0,no,selfS,CR99,20,f,right,0.216715,self-related
l,1,no,selfS,CR99,20,f,right,0.13908,self-related
l,1,no,selfS,CR99,20,f,right,0.242555,stranger-related
missed,missed,no,selfS,CR99,20,f,right,,self-related
a,0,no,selfS,CR99,20,f,right,0.225045,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.159765,self-related
a,0,no,selfS,CR99,20,f,right,0.025765,self-related
a,1,yes,selfS,CR99,20,f,right,0.129235,stranger-related
a,0,no,selfS,CR99,20,f,right,0.005285,stranger-related
a,0,no,selfS,CR99,20,f,right,0.226165,self-related
a,0,no,selfS,CR99,20,f,right,0.80844,stranger-related
missed,missed,no,selfS,CR99,20,f,right,,stranger-related
l,1,no,selfS,CR99,20,f,right,0.242315,stranger-related
a,0,no,selfS,CR99,20,f,right,0.28239,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.21536,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.20338,self-related
l,0,yes,selfS,CR99,20,f,right,0.145145,self-related
l,1,no,selfS,CR99,20,f,right,0.26478,self-related
a,0,no,selfS,CR99,20,f,right,0.1667,self-related
a,1,yes,selfS,CR99,20,f,right,0.143775,self-related
l,0,yes,selfS,CR99,20,f,right,0.23815,stranger-related
l,1,no,selfS,CR99,20,f,right,0.14868,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.083315,self-related
l,0,yes,selfS,CR99,20,f,right,0.09899,self-related
l,0,yes,selfS,CR99,20,f,right,0.27643,stranger-related
a,1,yes,selfS,CR99,20,f,right,1.084855,stranger-related
l,1,no,selfS,CR99,20,f,right,0.000595,self-related
l,1,no,selfS,CR99,20,f,right,0.00065,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.248125,stranger-related
missed,missed,yes,selfS,CR99,20,f,right,,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.26544,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.210595,self-related
l,0,yes,selfS,CR99,20,f,right,0.175355,stranger-related
a,0,no,selfS,CR99,20,f,right,1.26313,self-related
a,1,yes,selfS,CR99,20,f,right,0.25485,stranger-related
l,1,no,selfS,CR99,20,f,right,0.00966,self-related
a,0,no,selfS,CR99,20,f,right,0.135905,self-related
l,1,no,selfS,CR99,20,f,right,0.86999,self-related
l,1,no,selfS,CR99,20,f,right,0.219735,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.060895,self-related
a,1,yes,selfS,CR99,20,f,right,0.121565,self-related
a,1,yes,selfS,CR99,20,f,right,0.045525,stranger-related
a,0,no,selfS,CR99,20,f,right,0.055685,stranger-related
l,1,no,selfS,CR99,20,f,right,0.242855,self-related
a,0,no,selfS,CR99,20,f,right,0.11848,stranger-related
missed,missed,yes,selfS,CR99,20,f,right,,self-related
missed,missed,yes,selfS,CR99,20,f,right,,stranger-related
l,1,no,selfS,CR99,20,f,right,0.286135,stranger-related
a,0,no,selfS,CR99,20,f,right,0.242545,self-related
l,0,yes,selfS,CR99,20,f,right,0.213775,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.24331,self-related
a,1,yes,selfS,CR99,20,f,right,0.21271,stranger-related
a,0,no,selfS,CR99,20,f,right,0.294075,self-related
a,1,yes,selfS,CR99,20,f,right,0.259545,stranger-related
l,1,no,selfS,CR99,20,f,right,0.42977,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.312005,self-related
l,0,yes,selfS,CR99,20,f,right,0.22684,stranger-related
l,1,no,selfS,CR99,20,f,right,0.30935,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.2551,self-related
a,0,no,selfS,CR99,20,f,right,0.22527,self-related
a,1,yes,selfS,CR99,20,f,right,0.258885,self-related
l,0,yes,selfS,CR99,20,f,right,0.24882,stranger-related
l,1,no,selfS,CR99,20,f,right,0.243855,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.233585,self-related
a,0,no,selfS,CR99,20,f,right,0.318875,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.26569,stranger-related
l,1,no,selfS,CR99,20,f,right,0.038495,self-related
a,0,no,selfS,CR99,20,f,right,0.291965,self-related
l,0,yes,selfS,CR99,20,f,right,0.155295,self-related
l,0,yes,selfS,CR99,20,f,right,0.19694,self-related
a,0,no,selfS,CR99,20,f,right,0.90549,self-related
l,0,yes,selfS,CR99,20,f,right,0.275025,self-related
l,1,no,selfS,CR99,20,f,right,0.30024,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.19419,self-related
l,0,yes,selfS,CR99,20,f,right,0.286135,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.23778,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.24555,self-related
a,0,no,selfS,CR99,20,f,right,0.14211,self-related
l,1,no,selfS,CR99,20,f,right,0.217665,self-related
a,0,no,selfS,CR99,20,f,right,0.258185,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.54177,stranger-related
l,1,no,selfS,CR99,20,f,right,0.4105,self-related
a,0,no,selfS,CR99,20,f,right,0.22772,self-related
a,0,no,selfS,CR99,20,f,right,0.43532,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.22852,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.240635,self-related
a,0,no,selfS,CR99,20,f,right,0.311245,stranger-related
l,1,no,selfS,CR99,20,f,right,0.252955,stranger-related
l,1,no,selfS,CR99,20,f,right,0.26533,stranger-related
l,1,no,selfS,CR99,20,f,right,0.18576,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.18792,self-related
l,1,no,selfS,CR99,20,f,right,0.064975,self-related
a,1,yes,selfS,CR99,20,f,right,0.172525,self-related
l,1,no,selfS,CR99,20,f,right,0.97431,stranger-related
a,0,no,selfS,CR99,20,f,right,0.21609,self-related
l,1,no,selfS,CR99,20,f,right,0.025675,stranger-related
l,1,no,selfS,CR99,20,f,right,0.1269,stranger-related
missed,missed,no,selfS,CR99,20,f,right,,self-related
missed,missed,no,selfS,CR99,20,f,right,,self-related
a,0,no,selfS,CR99,20,f,right,0.70876,self-related
missed,missed,no,selfS,CR99,20,f,right,,self-related
l,0,yes,selfS,CR99,20,f,right,0.59204,self-related
a,1,yes,selfS,CR99,20,f,right,0.24593,stranger-related
l,1,no,selfS,CR99,20,f,right,0.22544,self-related
a,0,no,selfS,CR99,20,f,right,0.066815,self-related
a,0,no,selfS,CR99,20,f,right,0.284115,stranger-related
l,1,no,selfS,CR99,20,f,right,0.962345,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.24215,self-related
l,1,no,selfS,CR99,20,f,right,0.07597,stranger-related
l,1,no,selfS,CR99,20,f,right,0.02931,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.30916,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.731115,self-related
l,1,no,selfS,CR99,20,f,right,0.890825,stranger-related
a,0,no,selfS,CR99,20,f,right,0.30257,self-related
a,0,no,selfS,CR99,20,f,right,0.50905,self-related
l,1,no,selfS,CR99,20,f,right,0.48099,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.167865,stranger-related
a,0,no,selfS,CR99,20,f,right,0.12633,stranger-related
l,1,no,selfS,CR99,20,f,right,0.575155,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.35221,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.341695,self-related
l,0,yes,selfS,CR99,20,f,right,0.208985,self-related
l,1,no,selfS,CR99,20,f,right,0.25043,stranger-related
a,0,no,selfS,CR99,20,f,right,0.19615,stranger-related
a,0,no,selfS,CR99,20,f,right,0.234115,stranger-related
l,1,no,selfS,CR99,20,f,right,0.175515,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.262125,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.217085,self-related
l,1,no,selfS,CR99,20,f,right,0.07583,self-related
a,1,yes,selfS,CR99,20,f,right,0.10504,self-related
a,0,no,selfS,CR99,20,f,right,0.225175,self-related
a,1,yes,selfS,CR99,20,f,right,0.11579,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.16004,self-related
l,1,no,selfS,CR99,20,f,right,0.22684,stranger-related
a,0,no,selfS,CR99,20,f,right,0.24381,self-related
l,1,no,selfS,CR99,20,f,right,0.16648,stranger-related
l,1,no,selfS,CR99,20,f,right,0.14798,self-related
a,1,yes,selfS,CR99,20,f,right,0.08032,stranger-related
a,0,no,selfS,CR99,20,f,right,0.20168,self-related
l,0,yes,selfS,CR99,20,f,right,0.05918,stranger-related
a,1,yes,selfS,CR99,20,f,right,0.949975,stranger-related
l,1,no,selfS,CR99,20,f,right,0.125435,self-related
l,0,yes,selfS,CR99,20,f,right,0.22462,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.13292,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.1263,stranger-related
missed,missed,yes,selfS,CR99,20,f,right,,self-related
l,0,yes,selfS,CR99,20,f,right,0.360705,self-related
a,1,yes,selfS,CR99,20,f,right,0.06087,self-related
a,1,yes,selfS,CR99,20,f,right,0.69816,self-related
a,0,no,selfS,CR99,20,f,right,0.90213,self-related
a,0,no,selfS,CR99,20,f,right,0.90813,stranger-related
l,0,yes,selfS,CR99,20,f,right,1.16968,stranger-related
l,0,yes,selfS,CR99,20,f,right,0.39723,self-related
a,0,no,selfS,CR99,20,f,right,0.094045,self-related
