ExperimentName,Subject,Age,Handedness,Sex,Identity,Shape,Target.ACC,Target.RESP,Target.RT
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,n,1563
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,n,1503
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,b,958
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,n,2453
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,m,976
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,b,890
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,m,1717
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,n,929
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,b,844
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,b,1337
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,b,1210
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,b,1436
SelfAssociate,10,19,NULL,male,Friend,C.bmp,0,n,1545
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,b,1089
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,m,1018
SelfAssociate,10,19,NULL,male,Self,S.bmp,1,b,1155
SelfAssociate,10,19,NULL,male,Stranger,T.bmp,1,b,1769
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,b,1427
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,m,2849
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,b,1076
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,m,841
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,m,1390
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,n,868
SelfAssociate,10,19,NULL,male,Friend,C.bmp,1,n,676
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,m,1499
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,1121
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,0,,0
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,,0
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,b,851
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,n,940
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,679
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,b,1156
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,938
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,m,1059
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,n,1202
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,m,1093
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,782
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,,0
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,m,794
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,871
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,m,886
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,1147
SelfAssociate,11,26,NULL,female,Stranger,S.bmp,1,n,1249
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,978
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,m,689
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,1108
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,831
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,901
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,726
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,827
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,956
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,761
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,886
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,955
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,904
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,761
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,886
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,1074
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,967
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,1050
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,859
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,778
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,828
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,781
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,m,806
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,1067
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,874
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,841
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,n,726
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,1115
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,792
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,742
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,967
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,890
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,885
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,785
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,736
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,n,730
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,b,949
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,n,884
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,777
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,n,835
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,906
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,1297
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,714
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,m,953
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
SelfAssociate,11,26,NULL,female,Self,C.bmp,0,m,925
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,m,1130
SelfAssociate,11,26,NULL,female,Friend,T.bmp,1,n,835
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,b,746
SelfAssociate,11,26,NULL,female,Self,C.bmp,1,m,987
SelfAssociate,11,26,NULL,female,Friend,T.bmp,0,,0
