ExperimentName,Subject,Session,Age,Group,Handedness,Sex,Label,Identity,Shape,Target.ACC,Target.RESP,Target.RT
breaking,10,1,19,2,right,male,self,Self,S.bmp,0,,0
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,0,,0
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,0,,0
breaking,10,1,19,2,right,male,self,stranger,T.bmp,1,m,315
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,m,305
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,1095
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,1,n,421
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,501
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,837
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,m,625
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,801
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,0,m,921
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,0,n,945
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,0,n,295
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,925
breaking,10,1,19,2,right,male,self,stranger,T.bmp,1,m,867
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,633
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,0,m,511
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,477
breaking,10,1,19,2,right,male,self,Self,S.bmp,1,m,579
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,921
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,1,m,743
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,0,m,940
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,722
breaking,10,1,19,2,right,male,self,Self,S.bmp,0,n,792
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,1062
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,756
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,482
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,456
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,1,m,438
breaking,10,1,19,2,right,male,self,stranger,T.bmp,1,m,820
breaking,10,1,19,2,right,male,self,stranger,T.bmp,1,m,594
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,m,673
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,1,n,791
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,741
breaking,10,1,19,2,right,male,self,Self,S.bmp,1,m,891
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,1,n,993
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,m,807
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,1037
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,603
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,537
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,713
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,697
breaking,10,1,19,2,right,male,friend,Self,S.bmp,1,m,729
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,,0
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,0,,0
breaking,10,1,19,2,right,male,self,stranger,T.bmp,1,m,1055
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,1,n,647
breaking,10,1,19,2,right,male,stranger,stranger,T.bmp,1,m,942
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,1,m,468
breaking,10,1,19,2,right,male,stranger,Friend,C.bmp,1,m,1074
breaking,10,1,19,2,right,male,friend,stranger,T.bmp,1,n,432
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,430
breaking,10,1,19,2,right,male,stranger,Self,S.bmp,0,m,452
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,354
breaking,10,1,19,2,right,male,self,Self,S.bmp,0,n,624
breaking,10,1,19,2,right,male,self,Self,S.bmp,1,m,526
breaking,10,1,19,2,right,male,self,stranger,T.bmp,0,,0
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,642
breaking,10,1,19,2,right,male,self,Self,S.bmp,1,m,472
breaking,10,1,19,2,right,male,self,Friend,C.bmp,1,n,342
breaking,10,1,19,2,right,male,friend,Friend,C.bmp,1,m,460
