ExperimentName,Subject,Session,Age,Handedness,Sex,Identity,Shape,Target.ACC,Target.RESP,Target.RT
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,n,999
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,b,1153
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,m,1221
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,b,1451
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,n,763
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,b,973
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,,0
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,b,1025
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,m,1421
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,b,1147
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,b,1199
SelfAssociate,1,1,24,right,male,Self,T.bmp,0,,0
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,,0
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,b,786
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,m,1462
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,n,820
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,,0
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,m,911
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,n,1186
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,b,886
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,b,1087
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,m,895
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,n,525
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,b,757
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,m,1056
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,m,846
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,b,966
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,n,832
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,b,805
SelfAssociate,1,1,24,right,male,Self,T.bmp,1,n,759
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,b,696
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,n,974
SelfAssociate,1,1,24,right,male,Friend,S.bmp,0,m,1030
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,n,779
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,m,913
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,n,861
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,n,883
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,b,918
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,b,1536
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,m,1262
SelfAssociate,1,1,24,right,male,Friend,S.bmp,1,b,1100
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,n,658
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,1,m,1488
SelfAssociate,1,1,24,right,male,Stranger,C.bmp,0,n,1176
