"Source","Age","Gender"
"Constable_2020_AP Exp 1",TRUE,FALSE
"Constable_2020_CE Exp 1",TRUE,TRUE
"Constable_2020_CE Exp 2",TRUE,TRUE
"Qian_2019_QJEP Exp 1",TRUE,TRUE
"Qian_2019_QJEP Exp 2",FALSE,TRUE
"Schaefer_2019_CP Exp 1",TRUE,TRUE
"Schaefer_2019_CP Exp 2",TRUE,TRUE
"Schaefer_2019_CP Exp 3",TRUE,TRUE
"Wozniak_2018_PLOS Exp 1",FALSE,TRUE
"Wozniak_2018_PLOS Exp 2",FALSE,TRUE
"Golubickis_2021_AP Exp 1",FALSE,FALSE
"Golubickis_2021_AP Exp 2",FALSE,FALSE
"Mayan Navon_2021 Exp 1",TRUE,TRUE
"Mayan Navon_2021 Exp 2",TRUE,TRUE
"Mayan Navon_2021 Exp 3",TRUE,TRUE
"Mayan Navon_2021 Exp 4",TRUE,TRUE
"Svensson_2021_PR Exp 1",FALSE,FALSE
"Svensson_2021_PR Exp 2",FALSE,FALSE
"Svensson_2021_PR Exp 3",FALSE,FALSE
"Xu_2021_CP Exp 1",FALSE,FALSE
"Hu_2023_Exp1",TRUE,TRUE
"Constable_2019_EPHPP_Exp1",TRUE,TRUE
"Constable_2019_EPHPP_Exp2",TRUE,TRUE
"Constable_2019_EPHPP_Exp3",TRUE,TRUE
"Constable_2019_EPHPP_Exp4",TRUE,FALSE
"Vicovaro_2022_EPHPP_Exp1",TRUE,TRUE
"Vicovaro_2022_EPHPP_Exp2",TRUE,TRUE
"Perrykkad_2022_BMC_Exp 1",FALSE,FALSE
"Hu_2020_CP",TRUE,TRUE
"Wozniak_2022_PR_Exp 1",FALSE,TRUE
"Wozniak_2022_PR_Exp 2",FALSE,TRUE
"Wozniak_2022_PR_Exp 3",FALSE,TRUE
"Haciahmet_2023_Psy",TRUE,TRUE
"Sui_2023_CC",FALSE,FALSE
"Hobbs_2023_PM",TRUE,TRUE
"Mcivor_2020_EJN",TRUE,TRUE
"Liang_2022_HBM_dlpfc",TRUE,TRUE
"Kolvoort_2020_HBM",TRUE,FALSE
"Liu_2023_CP",FALSE,FALSE
"Orellana-Corrales_2021_EP",TRUE,TRUE
"Orellana-Corrales_2021_Exp2",TRUE,TRUE
"Orellana-Corrales_2021_Exp3",TRUE,TRUE
"Amodeo_2024_CABN",FALSE,FALSE
"Zhang_2023_NI",TRUE,TRUE
"Feldborg_2021_ERPH",TRUE,TRUE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"",FALSE,FALSE
"Sui_2014_APP_Exp1",FALSE,FALSE
"Sui_2014_APP_Exp2",FALSE,FALSE
"Sui_2014_APP_Exp3",FALSE,FALSE
"Sui_2014_APP_Exp4",FALSE,FALSE
"Orellana-Corrales_2021_APP_Exp1",TRUE,TRUE
"Orellana-Corrales_2021_APP_Exp2",TRUE,TRUE
"Haciahmet_2023_Psy_Exp1",TRUE,TRUE
"Smith_2024_Cortex_Exp1",TRUE,TRUE
"Liang_2022_HBM_sham",TRUE,TRUE
"Liang_2022_HBM_psts",TRUE,TRUE
