Subject,Total,Correct,Accuracy
Constable_2020_CE_Exp2_Clean.csv_34,370,181,0.4891891891891892
Dalmaso_2024_CC_Exp1_Clean.csv_14,357,172,0.48179271708683474
Feldborg_2021_ERPH_Exp1_Clean.csv_18225,320,159,0.496875
Feldborg_2021_ERPH_Exp1_Clean.csv_18302,320,152,0.475
Feldborg_2021_ERPH_Exp1_Clean.csv_18399,320,151,0.471875
Feldborg_2021_ERPH_Exp1_Clean.csv_18442,320,158,0.49375
Feldborg_2021_ERPH_Exp1_Clean.csv_18508,320,158,0.49375
Feldborg_2021_ERPH_Exp1_Clean.csv_18509,320,150,0.46875
Feldborg_2021_ERPH_Exp1_Clean.csv_18570,320,155,0.484375
Feldborg_2021_ERPH_Exp1_Clean.csv_18633,320,147,0.459375
Feldborg_2021_ERPH_Exp1_Clean.csv_18700,320,152,0.475
Feldborg_2021_ERPH_Exp1_Clean.csv_18728,320,157,0.490625
Feldborg_2021_ERPH_Exp1_Clean.csv_18744,320,158,0.49375
Feldborg_2021_ERPH_Exp1_Clean.csv_682799431,319,157,0.49216300940438873
Zhang_2023_NI_Exp1_Clean.csv_402,110,11,0.1
