"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC"
"1","1","Matching","Self","1",544,0.544,1
"2","1","Matching","Self","1",558,0.558,1
"3","1","Matching","Self","1",652,0.652,1
"4","1","Matching","Self","1",562,0.562,1
"5","1","Matching","Self","1",570,0.57,1
"6","1","Matching","Self","1",797,0.797,1
"7","1","Matching","Self","1",684,0.684,1
"8","1","Matching","Self","1",530,0.53,1
"9","1","Matching","Self","1",785,0.785,1
"10","1","Matching","Self","1",482,0.482,1
"11","1","Matching","Self","1",527,0.527,1
"12","1","Matching","Self","1",491,0.491,1
"13","1","Matching","Self","1",608,0.608,1
"14","1","Matching","Self","1",545,0.545,1
"15","1","Matching","Self","1",522,0.522,0
"16","1","Matching","Self","1",545,0.545,1
"17","1","Matching","Self","1",558,0.558,1
"18","1","Matching","Self","1",485,0.485,1
"19","1","Matching","Self","1",723,0.723,1
"20","1","Matching","Self","1",678,0.678,1
"21","1","Matching","Self","1",630,0.63,1
"22","1","Matching","Self","1",571,0.571,1
"23","1","Matching","Self","1",662,0.662,1
"24","1","Matching","Self","1",858,0.858,1
"25","1","Matching","Self","1",553,0.553,1
"26","1","Matching","Self","1",682,0.682,1
"27","1","Matching","Self","1",634,0.634,1
"28","1","Matching","Self","1",618,0.618,1
"29","1","Matching","Self","1",651,0.651,1
"30","1","Matching","Self","1",789,0.789,1
"31","1","Matching","Self","1",619,0.619,1
"32","1","Matching","Self","1",700,0.7,1
"33","1","Matching","Self","1",499,0.499,1
"34","1","Matching","Self","1",561,0.561,1
"35","1","Matching","Self","1",526,0.526,1
"36","1","Matching","Self","1",631,0.631,1
"37","1","Matching","Self","1",749,0.749,1
"38","1","Matching","Self","1",802,0.802,1
"39","1","Matching","Self","2",718,0.718,1
"40","1","Matching","Self","2",506,0.506,1
"41","1","Matching","Self","2",515,0.515,1
"42","1","Matching","Self","2",577,0.577,1
"43","1","Matching","Self","2",546,0.546,1
"44","1","Matching","Self","2",557,0.557,1
"45","1","Matching","Self","2",593,0.593,1
"46","1","Matching","Self","2",581,0.581,1
"47","1","Matching","Self","2",825,0.825,1
"48","1","Matching","Self","2",607,0.607,1
"49","1","Matching","Self","2",690,0.69,1
"50","1","Matching","Self","2",553,0.553,1
"51","1","Matching","Self","2",503,0.503,1
"52","1","Matching","Self","2",739,0.739,1
"53","1","Matching","Self","2",538,0.538,1
"54","1","Matching","Self","2",645,0.645,1
"55","1","Matching","Self","2",674,0.674,1
"56","1","Matching","Self","2",641,0.641,1
"57","1","Matching","Self","2",567,0.567,1
"58","1","Matching","Self","2",522,0.522,1
"59","1","Matching","Self","2",629,0.629,1
"60","1","Matching","Self","2",538,0.538,1
"61","1","Matching","Self","2",600,0.6,1
"62","1","Matching","Self","2",533,0.533,1
"63","1","Matching","Self","2",623,0.623,1
"64","1","Matching","Self","2",535,0.535,1
"65","1","Matching","Self","2",605,0.605,1
"66","1","Matching","Self","2",589,0.589,1
"67","1","Matching","Self","2",499,0.499,1
"68","1","Matching","Self","2",617,0.617,1
"69","1","Matching","Self","2",634,0.634,1
"70","1","Matching","Self","2",743,0.743,0
"71","1","Matching","Self","2",534,0.534,1
"72","1","Matching","Self","2",739,0.739,1
"73","1","Matching","Self","2",585,0.585,1
"74","1","Matching","Self","2",615,0.615,1
"75","1","Matching","Self","2",456,0.456,1
"76","1","Matching","Self","2",568,0.568,1
"77","1","Matching","Self","2",470,0.47,1
"78","1","Matching","Self","2",487,0.487,1
"79","1","Matching","Friend","1",718,0.718,1
"80","1","Matching","Friend","1",626,0.626,1
"81","1","Matching","Friend","1",599,0.599,1
"82","1","Matching","Friend","1",580,0.58,1
"83","1","Matching","Friend","1",457,0.457,0
"84","1","Matching","Friend","1",885,0.885,1
"85","1","Matching","Friend","1",616,0.616,1
"86","1","Matching","Friend","1",778,0.778,1
"87","1","Matching","Friend","1",598,0.598,1
"88","1","Matching","Friend","1",586,0.586,1
"89","1","Matching","Friend","1",468,0.468,1
"90","1","Matching","Friend","1",470,0.47,1
"91","1","Matching","Friend","1",691,0.691,1
"92","1","Matching","Friend","1",828,0.828,1
"93","1","Matching","Friend","1",531,0.531,1
"94","1","Matching","Friend","1",548,0.548,1
"95","1","Matching","Friend","1",556,0.556,0
"96","1","Matching","Friend","1",847,0.847,1
"97","1","Matching","Friend","1",605,0.605,1
"98","1","Matching","Friend","1",663,0.663,1
"99","1","Matching","Friend","1",631,0.631,1
"100","1","Matching","Friend","1",581,0.581,1
"101","1","Matching","Friend","1",433,0.433,1
"102","1","Matching","Friend","1",620,0.62,1
"103","1","Matching","Friend","1",703,0.703,1
"104","1","Matching","Friend","1",722,0.722,1
"105","1","Matching","Friend","1",766,0.766,1
"106","1","Matching","Friend","1",691,0.691,1
"107","1","Matching","Friend","1",519,0.519,1
"108","1","Matching","Friend","1",625,0.625,1
"109","1","Matching","Friend","1",548,0.548,1
"110","1","Matching","Friend","1",752,0.752,1
"111","1","Matching","Friend","1",528,0.528,1
"112","1","Matching","Friend","1",634,0.634,0
"113","1","Matching","Friend","1",678,0.678,1
"114","1","Matching","Friend","1",642,0.642,1
"115","1","Matching","Friend","1",807,0.807,1
"116","1","Matching","Friend","1",688,0.688,1
"117","1","Matching","Friend","1",641,0.641,1
"118","1","Matching","Friend","1",527,0.527,1
"119","1","Matching","Friend","2",551,0.551,1
"120","1","Matching","Friend","2",583,0.583,1
"121","1","Matching","Friend","2",555,0.555,1
"122","1","Matching","Friend","2",559,0.559,1
"123","1","Matching","Friend","2",546,0.546,1
"124","1","Matching","Friend","2",535,0.535,1
"125","1","Matching","Friend","2",527,0.527,1
"126","1","Matching","Friend","2",561,0.561,1
"127","1","Matching","Friend","2",527,0.527,1
"128","1","Matching","Friend","2",773,0.773,1
"129","1","Matching","Friend","2",394,0.394,1
"130","1","Matching","Friend","2",543,0.543,1
"131","1","Matching","Friend","2",450,0.45,1
"132","1","Matching","Friend","2",567,0.567,1
"133","1","Matching","Friend","2",619,0.619,1
"134","1","Matching","Friend","2",483,0.483,1
"135","1","Matching","Friend","2",517,0.517,1
"136","1","Matching","Friend","2",689,0.689,1
"137","1","Matching","Friend","2",759,0.759,1
"138","1","Matching","Friend","2",658,0.658,1
"139","1","Matching","Friend","2",693,0.693,1
"140","1","Matching","Friend","2",414,0.414,1
"141","1","Matching","Friend","2",504,0.504,1
"142","1","Matching","Friend","2",545,0.545,1
"143","1","Matching","Friend","2",653,0.653,1
"144","1","Matching","Friend","2",514,0.514,1
"145","1","Matching","Friend","2",593,0.593,1
"146","1","Matching","Friend","2",613,0.613,1
"147","1","Matching","Friend","2",544,0.544,1
"148","1","Matching","Friend","2",738,0.738,1
"149","1","Matching","Friend","2",713,0.713,1
"150","1","Matching","Friend","2",553,0.553,1
"151","1","Matching","Friend","2",724,0.724,1
"152","1","Matching","Friend","2",503,0.503,1
"153","1","Matching","Friend","2",656,0.656,1
"154","1","Matching","Friend","2",623,0.623,1
"155","1","Matching","Friend","2",691,0.691,1
"156","1","Matching","Friend","2",603,0.603,1
"157","1","Matching","Friend","2",553,0.553,1
"158","1","Matching","Friend","2",514,0.514,1
"159","1","Matching","Stranger","1",464,0.464,1
"160","1","Matching","Stranger","1",643,0.643,1
"161","1","Matching","Stranger","1",842,0.842,1
"162","1","Matching","Stranger","1",626,0.626,1
"163","1","Matching","Stranger","1",521,0.521,1
"164","1","Matching","Stranger","1",469,0.469,1
"165","1","Matching","Stranger","1",475,0.475,1
"166","1","Matching","Stranger","1",651,0.651,1
"167","1","Matching","Stranger","1",652,0.652,1
"168","1","Matching","Stranger","1",835,0.835,0
"169","1","Matching","Stranger","1",602,0.602,1
"170","1","Matching","Stranger","1",797,0.797,1
"171","1","Matching","Stranger","1",704,0.704,1
"172","1","Matching","Stranger","1",700,0.7,1
"173","1","Matching","Stranger","1",634,0.634,1
"174","1","Matching","Stranger","1",680,0.68,0
"175","1","Matching","Stranger","1",518,0.518,0
"176","1","Matching","Stranger","1",521,0.521,1
"177","1","Matching","Stranger","1",662,0.662,1
"178","1","Matching","Stranger","1",665,0.665,1
"179","1","Matching","Stranger","1",756,0.756,1
"180","1","Matching","Stranger","1",777,0.777,1
"181","1","Matching","Stranger","1",610,0.61,1
"182","1","Matching","Stranger","1",470,0.47,1
"183","1","Matching","Stranger","1",468,0.468,1
"184","1","Matching","Stranger","1",786,0.786,0
"185","1","Matching","Stranger","1",664,0.664,1
"186","1","Matching","Stranger","1",839,0.839,1
"187","1","Matching","Stranger","1",624,0.624,1
"188","1","Matching","Stranger","1",526,0.526,1
"189","1","Matching","Stranger","1",654,0.654,1
"190","1","Matching","Stranger","1",658,0.658,1
"191","1","Matching","Stranger","1",913,0.913,1
"192","1","Matching","Stranger","1",497,0.497,1
"193","1","Matching","Stranger","1",696,0.696,0
"194","1","Matching","Stranger","1",398,0.398,1
"195","1","Matching","Stranger","1",447,0.447,1
"196","1","Matching","Stranger","1",990,0.99,1
"197","1","Matching","Stranger","1",745,0.745,1
"198","1","Matching","Stranger","2",719,0.719,1
"199","1","Matching","Stranger","2",522,0.522,1
"200","1","Matching","Stranger","2",617,0.617,1
"201","1","Matching","Stranger","2",546,0.546,1
"202","1","Matching","Stranger","2",485,0.485,1
"203","1","Matching","Stranger","2",487,0.487,1
"204","1","Matching","Stranger","2",565,0.565,1
"205","1","Matching","Stranger","2",692,0.692,1
"206","1","Matching","Stranger","2",556,0.556,1
"207","1","Matching","Stranger","2",569,0.569,1
"208","1","Matching","Stranger","2",696,0.696,1
"209","1","Matching","Stranger","2",506,0.506,1
"210","1","Matching","Stranger","2",679,0.679,1
"211","1","Matching","Stranger","2",608,0.608,1
"212","1","Matching","Stranger","2",693,0.693,1
"213","1","Matching","Stranger","2",578,0.578,1
"214","1","Matching","Stranger","2",499,0.499,1
"215","1","Matching","Stranger","2",802,0.802,1
"216","1","Matching","Stranger","2",764,0.764,1
"217","1","Matching","Stranger","2",695,0.695,1
"218","1","Matching","Stranger","2",546,0.546,1
"219","1","Matching","Stranger","2",849,0.849,1
"220","1","Matching","Stranger","2",690,0.69,1
"221","1","Matching","Stranger","2",584,0.584,1
"222","1","Matching","Stranger","2",457,0.457,1
"223","1","Matching","Stranger","2",455,0.455,1
"224","1","Matching","Stranger","2",567,0.567,1
"225","1","Matching","Stranger","2",457,0.457,1
"226","1","Matching","Stranger","2",593,0.593,1
"227","1","Matching","Stranger","2",706,0.706,1
"228","1","Matching","Stranger","2",692,0.692,1
"229","1","Matching","Stranger","2",721,0.721,1
"230","1","Matching","Stranger","2",667,0.667,1
"231","1","Matching","Stranger","2",418,0.418,1
"232","1","Matching","Stranger","2",420,0.42,1
"233","1","Matching","Stranger","2",510,0.51,1
"234","1","Matching","Stranger","2",607,0.607,1
"235","1","Matching","Stranger","2",533,0.533,1
"236","1","Matching","Stranger","2",678,0.678,0
"237","1","Matching","Stranger","2",851,0.851,1
"238","1","Nonmatching","Self","1",623,0.623,1
"239","1","Nonmatching","Self","1",526,0.526,0
"240","1","Nonmatching","Self","1",677,0.677,1
"241","1","Nonmatching","Self","1",778,0.778,1
"242","1","Nonmatching","Self","1",678,0.678,1
"243","1","Nonmatching","Self","1",828,0.828,1
"244","1","Nonmatching","Self","1",732,0.732,1
"245","1","Nonmatching","Self","1",690,0.69,1
"246","1","Nonmatching","Self","1",816,0.816,1
"247","1","Nonmatching","Self","1",602,0.602,1
"248","1","Nonmatching","Self","1",653,0.653,1
"249","1","Nonmatching","Self","1",619,0.619,1
"250","1","Nonmatching","Self","1",843,0.843,0
"251","1","Nonmatching","Self","1",638,0.638,1
"252","1","Nonmatching","Self","1",786,0.786,1
"253","1","Nonmatching","Self","1",917,0.917,1
"254","1","Nonmatching","Self","1",882,0.882,1
"255","1","Nonmatching","Self","1",629,0.629,1
"256","1","Nonmatching","Self","1",535,0.535,1
"257","1","Nonmatching","Self","1",636,0.636,0
"258","1","Nonmatching","Self","1",764,0.764,1
"259","1","Nonmatching","Self","1",662,0.662,1
"260","1","Nonmatching","Self","1",579,0.579,0
"261","1","Nonmatching","Self","1",603,0.603,1
"262","1","Nonmatching","Self","1",540,0.54,1
"263","1","Nonmatching","Self","1",929,0.929,1
"264","1","Nonmatching","Self","1",659,0.659,1
"265","1","Nonmatching","Self","1",684,0.684,1
"266","1","Nonmatching","Self","1",634,0.634,0
"267","1","Nonmatching","Self","1",635,0.635,1
"268","1","Nonmatching","Self","1",948,0.948,1
"269","1","Nonmatching","Self","1",748,0.748,1
"270","1","Nonmatching","Self","1",798,0.798,1
"271","1","Nonmatching","Self","1",767,0.767,1
"272","1","Nonmatching","Self","1",553,0.553,1
"273","1","Nonmatching","Self","1",712,0.712,1
"274","1","Nonmatching","Self","1",548,0.548,0
"275","1","Nonmatching","Self","1",741,0.741,1
"276","1","Nonmatching","Self","1",695,0.695,1
"277","1","Nonmatching","Self","1",854,0.854,1
"278","1","Nonmatching","Self","2",630,0.63,1
"279","1","Nonmatching","Self","2",790,0.79,1
"280","1","Nonmatching","Self","2",606,0.606,1
"281","1","Nonmatching","Self","2",641,0.641,1
"282","1","Nonmatching","Self","2",523,0.523,1
"283","1","Nonmatching","Self","2",680,0.68,1
"284","1","Nonmatching","Self","2",719,0.719,1
"285","1","Nonmatching","Self","2",550,0.55,1
