Shape,Colour,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Stranger,Strong,0,0,0,2,o,w,o,LIGHT,DARK,7.562898589,1,R,24,F,Self = Positive,1,Russian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,4.103604503,1,R,24,F,Self = Positive,1,Russian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,2.782846256,1,R,24,F,Self = Positive,1,Russian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,0.746918079,1,R,24,F,Self = Positive,1,Russian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,0.496159492,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,0.447447254,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.784789802,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,1.172603374,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,38.89711204,1,R,25,M,Self = Negative,2,English
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,2.906732654,1,R,25,M,Self = Negative,2,English
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,5.649560718,1,R,25,M,Self = Negative,2,English
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,1.435070221,1,R,25,M,Self = Negative,2,English
Self,Strong,1,0,4,0,w,w,o,DARK,LIGHT,1.580985457,1,R,25,M,Self = Negative,2,English
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,1.032823555,1,R,25,M,Self = Negative,2,English
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.514555479,1,R,25,M,Self = Negative,2,English
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.361240317,1,R,25,M,Self = Negative,2,English
