Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,6. Stimuli Type (SN/SP),4. Handedness,7. Experiment Type (T/NT),3. Age,5. First Language,2. Gender (M/F),1. Participant Number
Self,0,0,0,0,w,w,o,HAPPY,SAD,18.36241397,1,SP,Right,T,24,Ukrainian,M,1
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.551999106,1,SP,Right,T,24,Ukrainian,M,1
Self,1,0,2,0,w,w,o,HAPPY,SAD,3.757566354,1,SP,Right,T,24,Ukrainian,M,1
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,2.069020911,1,SP,Right,T,24,Ukrainian,M,1
Self,0,0,0,0,w,w,o,HAPPY,SAD,7.31244194,1,SP,Right,T,32,Hungarian,M,2
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.93550463,1,SP,Right,T,32,Hungarian,M,2
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.18968581,1,SP,Right,T,32,Hungarian,M,2
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.625780856,1,SP,Right,T,32,Hungarian,M,2
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,20.92460117,1,SN,Right,T,27,Azerbaijani,M,3
Self,0,1,1,0,w,w,o,SAD,HAPPY,7.396276763,1,SN,Right,T,27,Azerbaijani,M,3
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.921903135,1,SN,Right,T,27,Azerbaijani,M,3
Self,1,1,3,0,w,w,o,SAD,HAPPY,0.896795721,1,SN,Right,T,27,Azerbaijani,M,3
Self,0,0,0,0,w,w,o,SAD,HAPPY,49.73057419,1,SN,Right,T,26,Azerbaijani,F,4
Self,0,1,1,0,w,w,o,SAD,HAPPY,10.73335197,1,SN,Right,T,26,Azerbaijani,F,4
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,3.72375291,1,SN,Right,T,26,Azerbaijani,F,4
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,2.000910793,1,SN,Right,T,26,Azerbaijani,F,4
Self,0,0,0,0,w,w,o,HAPPY,SAD,7.9863989,1,SP,Right,T,21,Turkish,M,5
Self,0,1,1,0,w,w,o,HAPPY,SAD,3.902762266,1,SP,Right,T,21,Turkish,M,5
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.430301028,1,SP,Right,T,21,Turkish,M,5
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,1.720428732,1,SP,Right,T,21,Turkish,M,5
Self,0,0,0,0,w,w,o,HAPPY,SAD,4.949573562,1,SP,Right,T,30,Russian,M,6
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,1.595304223,1,SP,Right,T,30,Russian,M,6
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.119406686,1,SP,Right,T,30,Russian,M,6
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.262133151,1,SP,Right,T,30,Russian,M,6
Self,0,0,0,0,w,w,o,SAD,HAPPY,16.57377247,1,SN,Right,T,20,Hungarian,F,7
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,4.193687062,1,SN,Right,T,20,Hungarian,F,7
Self,1,0,2,0,w,w,o,SAD,HAPPY,2.724608432,1,SN,Right,T,20,Hungarian,F,7
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.771533429,1,SN,Right,T,20,Hungarian,F,7
Self,0,0,0,0,w,w,o,SAD,HAPPY,5.001260977,1,SN,Right,T,27,Turkish,F,8
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.172633014,1,SN,Right,T,27,Turkish,F,8
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.969462174,1,SN,Right,T,27,Turkish,F,8
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,1.390250999,1,SN,Right,T,27,Turkish,F,8
Self,0,0,0,0,w,w,o,HAPPY,SAD,6.948927676,1,SP,Right,T,27,Russian,F,9
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.482627617,1,SP,Right,T,27,Russian,F,9
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,0.698669579,1,SP,Right,T,27,Russian,F,9
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,1.11410932,1,SP,Right,T,27,Russian,F,9
Self,0,0,0,0,w,w,o,HAPPY,SAD,5.373382967,1,SP,Right,T,22,Hungarian,F,10
Stranger,0,1,1,1,o,w,o,HAPPY,SAD,2.098304867,1,SP,Right,T,22,Hungarian,F,10
Self,1,0,2,0,w,w,o,HAPPY,SAD,1.545824505,1,SP,Right,T,22,Hungarian,F,10
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,1.287884871,1,SP,Right,T,22,Hungarian,F,10
Self,0,0,0,0,w,w,o,SAD,HAPPY,5.09889706,1,SN,Right,T,18,Hungarian,F,11
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,2.442530608,1,SN,Right,T,18,Hungarian,F,11
Self,1,0,2,0,w,w,o,SAD,HAPPY,1.124597457,1,SN,Right,T,18,Hungarian,F,11
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.675326901,1,SN,Right,T,18,Hungarian,F,11
