"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC","condition1level"
"1",1,"Matching","Self","1",493,0.493,1,1
"2",1,"Matching","Self","1",316,0.316,1,2
"3",1,"Matching","Self","1",375,0.375,1,2
"4",1,"Matching","Self","1",461,0.461,1,1
"5",1,"Matching","Self","1",347,0.347,1,1
"6",1,"Matching","Self","1",516,0.516,0,2
"7",1,"Matching","Self","1",341,0.341,1,1
"8",1,"Matching","Self","1",344,0.344,1,1
"9",1,"Matching","Self","1",647,0.647,0,2
"10",1,"Matching","Self","1",752,0.752,1,2
"11",1,"Matching","Self","1",525,0.525,1,1
"12",1,"Matching","Self","1",804,0.804,1,2
"13",1,"Matching","Self","1",645,0.645,1,2
"14",1,"Matching","Self","1",344,0.344,1,2
"15",1,"Matching","Self","1",447,0.447,1,2
"16",1,"Matching","Self","1",402,0.402,0,2
"17",1,"Matching","Self","1",407,0.407,0,1
"18",1,"Matching","Self","1",382,0.382,1,1
"19",1,"Matching","Self","1",579,0.579,1,1
"20",1,"Matching","Self","1",276,0.276,1,1
"21",1,"Matching","Self","1",323,0.323,1,2
"22",1,"Matching","Self","1",372,0.372,1,2
"23",1,"Matching","Self","1",416,0.416,1,2
"24",1,"Matching","Self","1",423,0.423,1,1
"25",1,"Matching","Self","1",536,0.536,1,2
"26",1,"Matching","Self","1",455,0.455,1,2
"27",1,"Matching","Self","1",518,0.518,0,2
"28",1,"Matching","Self","1",357,0.357,1,2
"29",1,"Matching","Self","1",512,0.512,1,1
"30",1,"Matching","Self","1",557,0.557,1,2
"31",1,"Matching","Self","1",808,0.808,1,1
"32",1,"Matching","Self","1",610,0.61,1,1
"33",1,"Matching","Self","1",562,0.562,1,1
"34",1,"Matching","Self","1",466,0.466,1,2
"35",1,"Matching","Self","1",550,0.55,1,1
"36",1,"Matching","Self","1",362,0.362,1,1
"37",1,"Matching","Self","1",537,0.537,1,1
"38",1,"Matching","Self","1",291,0.291,1,1
"39",1,"Matching","Self","1",367,0.367,1,2
"40",1,"Matching","Self","1",369,0.369,1,1
"41",1,"Matching","Self","1",453,0.453,1,1
"42",1,"Matching","Self","1",399,0.399,1,2
