"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"1",1,"Matching","Self","1",567,0.567,1,1
"2",1,"Matching","Self","1",550,0.55,1,1
"3",1,"Matching","Self","1",684,0.684,1,1
"4",1,"Matching","Self","1",583,0.583,1,1
"5",1,"Matching","Self","1",600,0.6,1,1
"6",1,"Matching","Self","1",617,0.617,1,1
"7",1,"Matching","Self","1",584,0.584,1,1
"8",1,"Matching","Self","1",650,0.65,1,1
"9",1,"Matching","Self","1",617,0.617,1,1
"10",1,"Matching","Self","1",683,0.683,1,1
"11",1,"Matching","Self","1",500,0.5,1,1
"12",1,"Matching","Self","1",1050,1.05,1,1
"13",1,"Matching","Self","1",700,0.7,1,1
"14",1,"Matching","Self","1",833,0.833,0,1
"15",1,"Matching","Self","1",633,0.633,1,1
"16",1,"Matching","Self","1",634,0.634,1,1
"17",1,"Matching","Self","1",550,0.55,1,1
"18",1,"Matching","Self","1",567,0.567,1,1
"19",1,"Matching","Self","1",584,0.584,1,1
"20",1,"Matching","Self","1",584,0.584,1,1
"21",1,"Matching","Self","1",734,0.734,1,2
"22",1,"Matching","Self","1",817,0.817,1,2
"23",1,"Matching","Self","1",967,0.967,1,2
"24",1,"Matching","Self","1",750,0.75,1,2
"25",1,"Matching","Self","1",617,0.617,1,2
"26",1,"Matching","Self","1",600,0.6,1,2
"27",1,"Matching","Self","1",717,0.717,1,2
"28",1,"Matching","Self","1",734,0.734,1,2
"29",1,"Matching","Self","1",650,0.65,1,2
"30",1,"Matching","Self","1",550,0.55,1,2
"31",1,"Matching","Self","1",883,0.883,1,2
"32",1,"Matching","Self","1",1333,1.333,1,2
"33",1,"Matching","Self","1",650,0.65,1,2
"34",1,"Matching","Self","1",667,0.667,1,2
"35",1,"Matching","Self","1",834,0.834,1,2
"36",1,"Matching","Self","1",617,0.617,1,2
"37",1,"Matching","Self","1",850,0.85,0,2
"38",1,"Matching","Self","1",650,0.65,1,2
"39",1,"Matching","Self","1",784,0.784,1,2
"40",1,"Matching","Self","1",617,0.617,1,2
"41",1,"Matching","Self","2",500,0.5,1,1
"42",1,"Matching","Self","2",800,0.8,1,1
"43",1,"Matching","Self","2",634,0.634,1,1
"44",1,"Matching","Self","2",550,0.55,1,1
"45",1,"Matching","Self","2",517,0.517,1,1
"46",1,"Matching","Self","2",567,0.567,1,1
"47",1,"Matching","Self","2",633,0.633,1,1
"48",1,"Matching","Self","2",667,0.667,1,1
"49",1,"Matching","Self","2",717,0.717,1,1
"50",1,"Matching","Self","2",567,0.567,1,1
"51",1,"Matching","Self","2",583,0.583,1,1
"52",1,"Matching","Self","2",667,0.667,1,1
"53",1,"Matching","Self","2",750,0.75,1,1
"54",1,"Matching","Self","2",483,0.483,1,1
"55",1,"Matching","Self","2",650,0.65,1,1
"56",1,"Matching","Self","2",534,0.534,1,1
"57",1,"Matching","Self","2",433,0.433,1,1
"58",1,"Matching","Self","2",633,0.633,1,1
"59",1,"Matching","Self","2",667,0.667,1,1
"60",1,"Matching","Self","2",650,0.65,1,1
"61",1,"Matching","Self","2",667,0.667,1,2
"62",1,"Matching","Self","2",650,0.65,1,2
"63",1,"Matching","Self","2",517,0.517,1,2
"64",1,"Matching","Self","2",533,0.533,1,2
"65",1,"Matching","Self","2",833,0.833,1,2
"66",1,"Matching","Self","2",584,0.584,1,2
"67",1,"Matching","Self","2",667,0.667,1,2
"68",1,"Matching","Self","2",600,0.6,1,2
"69",1,"Matching","Self","2",751,0.751,1,2
"70",1,"Matching","Self","2",567,0.567,1,2
"71",1,"Matching","Self","2",750,0.75,1,2
"72",1,"Matching","Self","2",617,0.617,1,2
"73",1,"Matching","Self","2",700,0.7,1,2
"74",1,"Matching","Self","2",617,0.617,1,2
"75",1,"Matching","Self","2",584,0.584,1,2
"76",1,"Matching","Self","2",650,0.65,1,2
"77",1,"Matching","Self","2",684,0.684,1,2
"78",1,"Matching","Self","2",633,0.633,1,2
"79",1,"Matching","Self","2",750,0.75,1,2
"80",1,"Matching","Self","2",684,0.684,1,2
"81",1,"Matching","Partner","1",600,0.6,1,1
"82",1,"Matching","Partner","1",617,0.617,1,1
"83",1,"Matching","Partner","1",800,0.8,1,1
"84",1,"Matching","Partner","1",933,0.933,1,1
"85",1,"Matching","Partner","1",667,0.667,1,1
"86",1,"Matching","Partner","1",1300,1.3,1,1
"87",1,"Matching","Partner","1",700,0.7,1,1
"88",1,"Matching","Partner","1",684,0.684,1,1
"89",1,"Matching","Partner","1",850,0.85,1,1
"90",1,"Matching","Partner","1",633,0.633,1,1
"91",1,"Matching","Partner","1",650,0.65,1,1
"92",1,"Matching","Partner","1",600,0.6,1,1
"93",1,"Matching","Partner","1",634,0.634,1,1
"94",1,"Matching","Partner","1",550,0.55,1,1
"95",1,"Matching","Partner","1",650,0.65,1,1
"96",1,"Matching","Partner","1",850,0.85,1,1
"97",1,"Matching","Partner","1",667,0.667,1,1
"98",1,"Matching","Partner","1",633,0.633,1,1
"99",1,"Matching","Partner","1",717,0.717,1,1
"100",1,"Matching","Partner","1",600,0.6,1,1
"101",1,"Matching","Partner","1",684,0.684,1,2
"102",1,"Matching","Partner","1",1067,1.067,1,2
"103",1,"Matching","Partner","1",583,0.583,1,2
"104",1,"Matching","Partner","1",850,0.85,1,2
"105",1,"Matching","Partner","1",667,0.667,1,2
"106",1,"Matching","Partner","1",800,0.8,1,2
"107",1,"Matching","Partner","1",1217,1.217,1,2
"108",1,"Matching","Partner","1",867,0.867,1,2
"109",1,"Matching","Partner","1",900,0.9,1,2
"110",1,"Matching","Partner","1",633,0.633,1,2
"111",1,"Matching","Partner","1",700,0.7,1,2
"112",1,"Matching","Partner","1",884,0.884,1,2
"113",1,"Matching","Partner","1",767,0.767,1,2
"114",1,"Matching","Partner","1",700,0.7,1,2
"115",1,"Matching","Partner","1",684,0.684,1,2
"116",1,"Matching","Partner","1",867,0.867,1,2
"117",1,"Matching","Partner","1",700,0.7,1,2
"118",1,"Matching","Partner","1",884,0.884,1,2
"119",1,"Matching","Partner","1",850,0.85,1,2
"120",1,"Matching","Partner","1",767,0.767,1,2
"121",1,"Matching","Partner","2",567,0.567,1,1
"122",1,"Matching","Partner","2",950,0.95,1,1
"123",1,"Matching","Partner","2",650,0.65,1,1
"124",1,"Matching","Partner","2",767,0.767,1,1
"125",1,"Matching","Partner","2",650,0.65,1,1
"126",1,"Matching","Partner","2",867,0.867,1,1
"127",1,"Matching","Partner","2",667,0.667,1,1
"128",1,"Matching","Partner","2",1117,1.117,1,1
"129",1,"Matching","Partner","2",667,0.667,1,1
"130",1,"Matching","Partner","2",550,0.55,1,1
"131",1,"Matching","Partner","2",650,0.65,1,1
"132",1,"Matching","Partner","2",550,0.55,1,1
"133",1,"Matching","Partner","2",550,0.55,1,1
"134",1,"Matching","Partner","2",534,0.534,1,1
"135",1,"Matching","Partner","2",567,0.567,1,1
"136",1,"Matching","Partner","2",650,0.65,1,1
"137",1,"Matching","Partner","2",1067,1.067,1,1
"138",1,"Matching","Partner","2",767,0.767,1,1
"139",1,"Matching","Partner","2",683,0.683,1,1
"140",1,"Matching","Partner","2",717,0.717,0,1
"141",1,"Matching","Partner","2",583,0.583,1,2
"142",1,"Matching","Partner","2",784,0.784,1,2
"143",1,"Matching","Partner","2",533,0.533,1,2
"144",1,"Matching","Partner","2",767,0.767,1,2
"145",1,"Matching","Partner","2",717,0.717,1,2
"146",1,"Matching","Partner","2",667,0.667,1,2
"147",1,"Matching","Partner","2",767,0.767,1,2
"148",1,"Matching","Partner","2",700,0.7,1,2
"149",1,"Matching","Partner","2",717,0.717,1,2
"150",1,"Matching","Partner","2",783,0.783,1,2
"151",1,"Matching","Partner","2",933,0.933,1,2
"152",1,"Matching","Partner","2",683,0.683,1,2
"153",1,"Matching","Partner","2",767,0.767,1,2
"154",1,"Matching","Partner","2",851,0.851,1,2
"155",1,"Matching","Partner","2",650,0.65,1,2
"156",1,"Matching","Partner","2",850,0.85,1,2
"157",1,"Matching","Partner","2",750,0.75,1,2
"158",1,"Matching","Partner","2",817,0.817,1,2
"159",1,"Matching","Partner","2",667,0.667,1,2
"160",1,"Matching","Partner","2",884,0.884,1,2
"161",1,"Matching","Stranger","1",650,0.65,1,1
"162",1,"Matching","Stranger","1",600,0.6,1,1
"163",1,"Matching","Stranger","1",617,0.617,1,1
"164",1,"Matching","Stranger","1",617,0.617,1,1
"165",1,"Matching","Stranger","1",600,0.6,1,1
"166",1,"Matching","Stranger","1",650,0.65,1,1
"167",1,"Matching","Stranger","1",734,0.734,0,1
"168",1,"Matching","Stranger","1",917,0.917,1,1
"169",1,"Matching","Stranger","1",900,0.9,1,1
"170",1,"Matching","Stranger","1",667,0.667,1,1
"171",1,"Matching","Stranger","1",617,0.617,1,1
"172",1,"Matching","Stranger","1",517,0.517,1,1
"173",1,"Matching","Stranger","1",817,0.817,1,1
"174",1,"Matching","Stranger","1",1250,1.25,1,1
"175",1,"Matching","Stranger","1",734,0.734,1,1
"176",1,"Matching","Stranger","1",750,0.75,1,1
"177",1,"Matching","Stranger","1",567,0.567,1,1
"178",1,"Matching","Stranger","1",934,0.934,1,1
"179",1,"Matching","Stranger","1",750,0.75,1,1
"180",1,"Matching","Stranger","1",600,0.6,1,1
"181",1,"Matching","Stranger","1",867,0.867,0,2
"182",1,"Matching","Stranger","1",783,0.783,1,2
"183",1,"Matching","Stranger","1",717,0.717,1,2
"184",1,"Matching","Stranger","1",1017,1.017,1,2
"185",1,"Matching","Stranger","1",817,0.817,1,2
"186",1,"Matching","Stranger","1",884,0.884,1,2
"187",1,"Matching","Stranger","1",984,0.984,1,2
"188",1,"Matching","Stranger","1",867,0.867,1,2
"189",1,"Matching","Stranger","1",617,0.617,1,2
"190",1,"Matching","Stranger","1",667,0.667,1,2
"191",1,"Matching","Stranger","1",950,0.95,1,2
"192",1,"Matching","Stranger","1",600,0.6,1,2
"193",1,"Matching","Stranger","1",867,0.867,1,2
"194",1,"Matching","Stranger","1",717,0.717,1,2
"195",1,"Matching","Stranger","1",733,0.733,1,2
"196",1,"Matching","Stranger","1",600,0.6,1,2
"197",1,"Matching","Stranger","1",800,0.8,1,2
"198",1,"Matching","Stranger","1",617,0.617,1,2
"199",1,"Matching","Stranger","1",750,0.75,1,2
"200",1,"Matching","Stranger","1",600,0.6,1,2
"201",1,"Matching","Stranger","2",834,0.834,1,1
"202",1,"Matching","Stranger","2",1217,1.217,1,1
"203",1,"Matching","Stranger","2",917,0.917,1,1
"204",1,"Matching","Stranger","2",784,0.784,1,1
"205",1,"Matching","Stranger","2",667,0.667,1,1
"206",1,"Matching","Stranger","2",833,0.833,1,1
"207",1,"Matching","Stranger","2",1450,1.45,1,1
"208",1,"Matching","Stranger","2",684,0.684,1,1
"209",1,"Matching","Stranger","2",900,0.9,1,1
"210",1,"Matching","Stranger","2",784,0.784,1,1
"211",1,"Matching","Stranger","2",617,0.617,1,1
"212",1,"Matching","Stranger","2",750,0.75,1,1
"213",1,"Matching","Stranger","2",967,0.967,1,1
"214",1,"Matching","Stranger","2",833,0.833,1,1
"215",1,"Matching","Stranger","2",650,0.65,1,1
"216",1,"Matching","Stranger","2",717,0.717,1,1
"217",1,"Matching","Stranger","2",567,0.567,1,1
"218",1,"Matching","Stranger","2",617,0.617,1,1
"219",1,"Matching","Stranger","2",683,0.683,1,1
"220",1,"Matching","Stranger","2",700,0.7,1,1
"221",1,"Matching","Stranger","2",467,0.467,1,2
"222",1,"Matching","Stranger","2",751,0.751,1,2
"223",1,"Matching","Stranger","2",584,0.584,1,2
"224",1,"Matching","Stranger","2",550,0.55,1,2
"225",1,"Matching","Stranger","2",1117,1.117,1,2
"226",1,"Matching","Stranger","2",550,0.55,1,2
"227",1,"Matching","Stranger","2",767,0.767,1,2
"228",1,"Matching","Stranger","2",717,0.717,1,2
"229",1,"Matching","Stranger","2",800,0.8,1,2
