"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
"1",1,"Matching","Self","Bottom",500,0.5,1
"2",1,"Matching","Self","Bottom",800,0.8,1
"3",1,"Matching","Self","Bottom",634,0.634,1
"4",1,"Matching","Self","Bottom",550,0.55,1
"5",1,"Matching","Self","Bottom",517,0.517,1
"6",1,"Matching","Self","Bottom",567,0.567,1
"7",1,"Matching","Self","Bottom",633,0.633,1
"8",1,"Matching","Self","Bottom",667,0.667,1
"9",1,"Matching","Self","Bottom",717,0.717,1
"10",1,"Matching","Self","Bottom",567,0.567,1
"11",1,"Matching","Self","Bottom",583,0.583,1
"12",1,"Matching","Self","Bottom",667,0.667,1
"13",1,"Matching","Self","Bottom",750,0.75,1
"14",1,"Matching","Self","Bottom",483,0.483,1
"15",1,"Matching","Self","Bottom",650,0.65,1
"16",1,"Matching","Self","Bottom",534,0.534,1
"17",1,"Matching","Self","Bottom",433,0.433,1
"18",1,"Matching","Self","Bottom",633,0.633,1
"19",1,"Matching","Self","Bottom",667,0.667,1
"20",1,"Matching","Self","Bottom",650,0.65,1
"21",1,"Matching","Self","Top",567,0.567,1
"22",1,"Matching","Self","Top",550,0.55,1
"23",1,"Matching","Self","Top",684,0.684,1
"24",1,"Matching","Self","Top",583,0.583,1
"25",1,"Matching","Self","Top",600,0.6,1
"26",1,"Matching","Self","Top",617,0.617,1
"27",1,"Matching","Self","Top",584,0.584,1
"28",1,"Matching","Self","Top",650,0.65,1
"29",1,"Matching","Self","Top",617,0.617,1
"30",1,"Matching","Self","Top",683,0.683,1
"31",1,"Matching","Self","Top",500,0.5,1
"32",1,"Matching","Self","Top",1050,1.05,1
"33",1,"Matching","Self","Top",700,0.7,1
"34",1,"Matching","Self","Top",833,0.833,0
"35",1,"Matching","Self","Top",633,0.633,1
"36",1,"Matching","Self","Top",634,0.634,1
"37",1,"Matching","Self","Top",550,0.55,1
"38",1,"Matching","Self","Top",567,0.567,1
"39",1,"Matching","Self","Top",584,0.584,1
"40",1,"Matching","Self","Top",584,0.584,1
"41",1,"Matching","Partner","Bottom",567,0.567,1
"42",1,"Matching","Partner","Bottom",950,0.95,1
"43",1,"Matching","Partner","Bottom",650,0.65,1
"44",1,"Matching","Partner","Bottom",767,0.767,1
"45",1,"Matching","Partner","Bottom",650,0.65,1
"46",1,"Matching","Partner","Bottom",867,0.867,1
"47",1,"Matching","Partner","Bottom",667,0.667,1
"48",1,"Matching","Partner","Bottom",1117,1.117,1
"49",1,"Matching","Partner","Bottom",667,0.667,1
"50",1,"Matching","Partner","Bottom",550,0.55,1
"51",1,"Matching","Partner","Bottom",650,0.65,1
"52",1,"Matching","Partner","Bottom",550,0.55,1
"53",1,"Matching","Partner","Bottom",550,0.55,1
"54",1,"Matching","Partner","Bottom",534,0.534,1
"55",1,"Matching","Partner","Bottom",567,0.567,1
"56",1,"Matching","Partner","Bottom",650,0.65,1
"57",1,"Matching","Partner","Bottom",1067,1.067,1
"58",1,"Matching","Partner","Bottom",767,0.767,1
"59",1,"Matching","Partner","Bottom",683,0.683,1
"60",1,"Matching","Partner","Bottom",717,0.717,0
"61",1,"Matching","Partner","Top",600,0.6,1
"62",1,"Matching","Partner","Top",617,0.617,1
"63",1,"Matching","Partner","Top",800,0.8,1
"64",1,"Matching","Partner","Top",933,0.933,1
"65",1,"Matching","Partner","Top",667,0.667,1
"66",1,"Matching","Partner","Top",1300,1.3,1
"67",1,"Matching","Partner","Top",700,0.7,1
"68",1,"Matching","Partner","Top",684,0.684,1
"69",1,"Matching","Partner","Top",850,0.85,1
"70",1,"Matching","Partner","Top",633,0.633,1
"71",1,"Matching","Partner","Top",650,0.65,1
"72",1,"Matching","Partner","Top",600,0.6,1
"73",1,"Matching","Partner","Top",634,0.634,1
"74",1,"Matching","Partner","Top",550,0.55,1
"75",1,"Matching","Partner","Top",650,0.65,1
