"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","Face_Gender"
"1",1001,"Matching","Self",453,0.453,1,"2"
"2",1001,"Matching","Self",662,0.662,1,"2"
"3",1001,"Matching","Self",406,0.406,1,"2"
"4",1001,"Matching","Self",409,0.409,1,"2"
"5",1001,"Matching","Self",765,0.765,1,"2"
"6",1001,"Matching","Self",418,0.418,1,"2"
"7",1001,"Matching","Self",364,0.364,1,"2"
"8",1001,"Matching","Self",495,0.495,1,"2"
"9",1001,"Matching","Self",459,0.459,1,"2"
"10",1001,"Matching","Self",406,0.406,1,"2"
"11",1001,"Matching","Self",377,0.377,1,"2"
"12",1001,"Matching","Self",359,0.359,1,"2"
"13",1001,"Matching","Self",658,0.658,1,"2"
"14",1001,"Matching","Self",362,0.362,1,"2"
"15",1001,"Matching","Self",422,0.422,1,"2"
"16",1001,"Matching","Self",663,0.663,1,"2"
"17",1001,"Matching","Self",524,0.524,1,"2"
"18",1001,"Matching","Self",378,0.378,1,"2"
"19",1001,"Matching","Self",421,0.421,1,"2"
"20",1001,"Matching","Self",340,0.34,1,"2"
"21",1001,"Matching","Self",560,0.56,1,"2"
"22",1001,"Matching","Self",554,0.554,1,"2"
"23",1001,"Matching","Self",466,0.466,1,"2"
"24",1001,"Matching","Self",983,0.983,1,"2"
"25",1001,"Matching","Self",475,0.475,1,"2"
"26",1001,"Matching","Self",439,0.439,1,"2"
"27",1001,"Matching","Self",680,0.68,1,"2"
"28",1001,"Matching","Self",468,0.468,1,"2"
"29",1001,"Matching","Self",474,0.474,1,"2"
"30",1001,"Matching","Self",504,0.504,1,"2"
"31",1001,"Matching","Self",418,0.418,1,"2"
"32",1001,"Matching","Self",373,0.373,1,"2"
"33",1001,"Matching","Self",446,0.446,1,"2"
"34",1001,"Matching","Self",495,0.495,1,"2"
"35",1001,"Matching","Self",515,0.515,1,"2"
"36",1001,"Matching","Self",531,0.531,1,"2"
"37",1001,"Matching","Self",421,0.421,1,"2"
"38",1001,"Matching","Self",561,0.561,1,"2"
"39",1001,"Matching","Self",439,0.439,1,"2"
"40",1001,"Matching","Self",454,0.454,1,"2"
"41",1001,"Matching","Self",557,0.557,1,"2"
"42",1001,"Matching","Self",780,0.78,1,"2"
"43",1001,"Matching","Self",429,0.429,1,"2"
