"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,"Matching","Self",1310,1.31,1
"2",1,"Matching","Self",969,0.969,1
"3",1,"Matching","Self",795,0.795,1
"4",1,"Matching","Self",838,0.838,1
"5",1,"Matching","Self",911,0.911,1
"6",1,"Matching","Self",845,0.845,1
"7",1,"Matching","Self",788,0.788,1
"8",1,"Matching","Self",941,0.941,1
"9",1,"Matching","Self",976,0.976,1
"10",1,"Matching","Self",1014,1.014,1
"11",1,"Matching","Self",700,0.7,1
"12",1,"Matching","Self",669,0.669,1
"13",1,"Matching","Self",1023,1.023,1
"14",1,"Matching","Self",784,0.784,1
"15",1,"Matching","Self",855,0.855,1
"16",1,"Matching","Self",784,0.784,1
"17",1,"Matching","Self",586,0.586,1
"18",1,"Matching","Self",668,0.668,1
"19",1,"Matching","Self",744,0.744,1
"20",1,"Matching","Self",719,0.719,1
"21",1,"Matching","Self",662,0.662,1
"22",1,"Matching","Self",798,0.798,1
"23",1,"Matching","Self",796,0.796,1
"24",1,"Matching","Self",549,0.549,1
"25",1,"Matching","Self",701,0.701,1
"26",1,"Matching","Self",657,0.657,1
"27",1,"Matching","Self",720,0.72,1
"28",1,"Matching","Self",825,0.825,1
"29",1,"Matching","Self",1052,1.052,1
"30",1,"Matching","Self",945,0.945,1
"31",1,"Matching","Self",955,0.955,1
"32",1,"Matching","Self",715,0.715,1
"33",1,"Matching","Self",755,0.755,1
"34",1,"Matching","Self",647,0.647,1
"35",1,"Matching","Self",733,0.733,1
"36",1,"Matching","Self",895,0.895,1
"37",1,"Matching","Self",819,0.819,1
"38",1,"Matching","Self",764,0.764,1
"39",1,"Matching","Self",651,0.651,1
"40",1,"Matching","Self",778,0.778,1
"41",1,"Matching","Self",1072,1.072,1
"42",1,"Matching","Self",639,0.639,1
"43",1,"Matching","Self",1011,1.011,1
"44",1,"Matching","Self",708,0.708,1
"45",1,"Matching","Self",687,0.687,1
"46",1,"Matching","Self",729,0.729,1
"47",1,"Matching","Self",805,0.805,1
"48",1,"Matching","Self",791,0.791,1
"49",1,"Matching","Self",786,0.786,1
"50",1,"Matching","Self",709,0.709,1
"51",1,"Matching","Self",1132,1.132,1
"52",1,"Matching","Self",760,0.76,1
"53",1,"Matching","Self",1395,1.395,1
"54",1,"Matching","Self",829,0.829,1
"55",1,"Matching","Self",714,0.714,1
"56",1,"Matching","Self",750,0.75,1
"57",1,"Matching","Self",753,0.753,1
"58",1,"Matching","Self",748,0.748,1
"59",1,"Matching","Self",679,0.679,1
"60",1,"Matching","Self",748,0.748,1
"61",1,"Matching","Friend",1432,1.432,1
"62",1,"Matching","Friend",983,0.983,1
"63",1,"Matching","Friend",1038,1.038,1
"64",1,"Matching","Friend",798,0.798,0
"65",1,"Matching","Friend",897,0.897,1
"66",1,"Matching","Friend",1064,1.064,1
"67",1,"Matching","Friend",1408,1.408,1
"68",1,"Matching","Friend",1139,1.139,1
"69",1,"Matching","Friend",888,0.888,1
"70",1,"Matching","Friend",1121,1.121,1
"71",1,"Matching","Friend",1187,1.187,1
"72",1,"Matching","Friend",1420,1.42,1
"73",1,"Matching","Friend",1162,1.162,1
"74",1,"Matching","Friend",962,0.962,1
"75",1,"Matching","Friend",927,0.927,1
"76",1,"Matching","Friend",975,0.975,1
"77",1,"Matching","Friend",879,0.879,0
"78",1,"Matching","Friend",901,0.901,1
"79",1,"Matching","Friend",1242,1.242,1
"80",1,"Matching","Friend",836,0.836,1
"81",1,"Matching","Friend",776,0.776,1
"82",1,"Matching","Friend",972,0.972,1
"83",1,"Matching","Friend",1444,1.444,1
"84",1,"Matching","Friend",1376,1.376,1
"85",1,"Matching","Friend",998,0.998,1
"86",1,"Matching","Friend",711,0.711,1
"87",1,"Matching","Friend",958,0.958,1
"88",1,"Matching","Friend",881,0.881,1
"89",1,"Matching","Friend",742,0.742,1
"90",1,"Matching","Friend",1048,1.048,1
"91",1,"Matching","Friend",952,0.952,1
"92",1,"Matching","Friend",1120,1.12,1
"93",1,"Matching","Friend",757,0.757,1
"94",1,"Matching","Friend",685,0.685,1
"95",1,"Matching","Friend",888,0.888,1
"96",1,"Matching","Friend",878,0.878,1
"97",1,"Matching","Friend",1187,1.187,1
"98",1,"Matching","Friend",968,0.968,1
"99",1,"Matching","Friend",855,0.855,1
"100",1,"Matching","Friend",927,0.927,1
"101",1,"Matching","Friend",880,0.88,1
"102",1,"Matching","Friend",901,0.901,1
"103",1,"Matching","Friend",744,0.744,1
"104",1,"Matching","Friend",785,0.785,1
"105",1,"Matching","Friend",720,0.72,1
"106",1,"Matching","Friend",763,0.763,1
"107",1,"Matching","Friend",961,0.961,1
"108",1,"Matching","Friend",812,0.812,1
"109",1,"Matching","Friend",782,0.782,1
"110",1,"Matching","Friend",791,0.791,1
"111",1,"Matching","Friend",932,0.932,1
"112",1,"Matching","Friend",882,0.882,1
"113",1,"Matching","Friend",849,0.849,1
"114",1,"Matching","Friend",1015,1.015,1
"115",1,"Matching","Friend",776,0.776,1
"116",1,"Matching","Friend",744,0.744,1
"117",1,"Matching","Friend",786,0.786,1
"118",1,"Matching","Friend",1020,1.02,1
"119",1,"Matching","Stranger",1183,1.183,1
"120",1,"Matching","Stranger",1365,1.365,1
"121",1,"Matching","Stranger",1257,1.257,1
"122",1,"Matching","Stranger",1424,1.424,1
"123",1,"Matching","Stranger",1235,1.235,1
"124",1,"Matching","Stranger",954,0.954,0
"125",1,"Matching","Stranger",749,0.749,0
"126",1,"Matching","Stranger",1180,1.18,1
"127",1,"Matching","Stranger",875,0.875,0
"128",1,"Matching","Stranger",1123,1.123,1
"129",1,"Matching","Stranger",1008,1.008,1
"130",1,"Matching","Stranger",1180,1.18,1
"131",1,"Matching","Stranger",1462,1.462,1
"132",1,"Matching","Stranger",1028,1.028,1
"133",1,"Matching","Stranger",1047,1.047,0
"134",1,"Matching","Stranger",831,0.831,0
"135",1,"Matching","Stranger",810,0.81,0
"136",1,"Matching","Stranger",704,0.704,0
"137",1,"Matching","Stranger",1198,1.198,1
"138",1,"Matching","Stranger",756,0.756,0
"139",1,"Matching","Stranger",1086,1.086,1
"140",1,"Matching","Stranger",1208,1.208,1
"141",1,"Matching","Stranger",1055,1.055,1
"142",1,"Matching","Stranger",996,0.996,1
"143",1,"Matching","Stranger",1172,1.172,1
"144",1,"Matching","Stranger",1003,1.003,1
"145",1,"Matching","Stranger",950,0.95,1
"146",1,"Matching","Stranger",785,0.785,0
"147",1,"Matching","Stranger",944,0.944,1
"148",1,"Matching","Stranger",1116,1.116,1
"149",1,"Matching","Stranger",1171,1.171,0
"150",1,"Matching","Stranger",970,0.97,1
"151",1,"Matching","Stranger",1038,1.038,1
"152",1,"Matching","Stranger",1167,1.167,1
"153",1,"Matching","Stranger",1265,1.265,1
"154",1,"Matching","Stranger",1415,1.415,1
"155",1,"Matching","Stranger",1179,1.179,1
"156",1,"Matching","Stranger",1396,1.396,0
"157",1,"Matching","Stranger",1020,1.02,1
"158",1,"Matching","Stranger",1255,1.255,1
"159",1,"Matching","Stranger",911,0.911,1
"160",1,"Matching","Stranger",1096,1.096,1
"161",1,"Matching","Stranger",994,0.994,1
"162",1,"Matching","Stranger",959,0.959,1
"163",1,"Matching","Stranger",949,0.949,1
"164",1,"Matching","Stranger",999,0.999,1
"165",1,"Matching","Stranger",609,0.609,1
"166",1,"Matching","Stranger",825,0.825,1
"167",1,"Nonmatching","Self",1473,1.473,1
"168",1,"Nonmatching","Self",1366,1.366,1
"169",1,"Nonmatching","Self",1378,1.378,1
"170",1,"Nonmatching","Self",931,0.931,1
"171",1,"Nonmatching","Self",1318,1.318,1
"172",1,"Nonmatching","Self",1097,1.097,1
"173",1,"Nonmatching","Self",1141,1.141,1
"174",1,"Nonmatching","Self",1296,1.296,1
"175",1,"Nonmatching","Self",1156,1.156,1
"176",1,"Nonmatching","Self",1046,1.046,1
"177",1,"Nonmatching","Self",1066,1.066,1
"178",1,"Nonmatching","Self",1041,1.041,1
"179",1,"Nonmatching","Self",1117,1.117,1
"180",1,"Nonmatching","Self",732,0.732,1
"181",1,"Nonmatching","Self",1368,1.368,1
"182",1,"Nonmatching","Self",868,0.868,1
"183",1,"Nonmatching","Self",908,0.908,1
"184",1,"Nonmatching","Self",1216,1.216,1
"185",1,"Nonmatching","Self",1046,1.046,1
"186",1,"Nonmatching","Self",738,0.738,1
"187",1,"Nonmatching","Self",1422,1.422,1
"188",1,"Nonmatching","Self",814,0.814,1
"189",1,"Nonmatching","Self",1392,1.392,1
"190",1,"Nonmatching","Self",979,0.979,1
"191",1,"Nonmatching","Self",818,0.818,1
"192",1,"Nonmatching","Self",946,0.946,1
"193",1,"Nonmatching","Self",859,0.859,1
"194",1,"Nonmatching","Self",870,0.87,1
"195",1,"Nonmatching","Self",799,0.799,1
"196",1,"Nonmatching","Self",1100,1.1,0
"197",1,"Nonmatching","Self",862,0.862,1
"198",1,"Nonmatching","Self",1419,1.419,1
"199",1,"Nonmatching","Self",1001,1.001,1
"200",1,"Nonmatching","Self",1041,1.041,1
"201",1,"Nonmatching","Self",844,0.844,1
"202",1,"Nonmatching","Self",1139,1.139,1
"203",1,"Nonmatching","Self",1070,1.07,1
"204",1,"Nonmatching","Self",1008,1.008,1
"205",1,"Nonmatching","Self",822,0.822,1
"206",1,"Nonmatching","Self",1032,1.032,1
"207",1,"Nonmatching","Self",1136,1.136,1
"208",1,"Nonmatching","Self",1067,1.067,1
"209",1,"Nonmatching","Self",975,0.975,1
"210",1,"Nonmatching","Self",877,0.877,1
"211",1,"Nonmatching","Self",868,0.868,1
"212",1,"Nonmatching","Self",979,0.979,1
"213",1,"Nonmatching","Self",1172,1.172,1
"214",1,"Nonmatching","Self",807,0.807,1
"215",1,"Nonmatching","Self",1436,1.436,1
"216",1,"Nonmatching","Self",853,0.853,1
"217",1,"Nonmatching","Friend",1008,1.008,1
"218",1,"Nonmatching","Friend",1055,1.055,1
"219",1,"Nonmatching","Friend",950,0.95,1
