SessionDate,Subject,Age,Handedness,MotherTongue,Sex,Procedure[SubTrial],LabelOrder,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Target.ACC,Target.CRESP,Target.RESP,Target.RT,Congruent,Incongruent,Stimulus,Word
11-20-2016,8,27,right,Hebrew,female,Assos,USF,,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,,
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,PracProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,FBbreak,USF,,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,,
11-20-2016,8,27,right,Hebrew,female,inst,USF,,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,,
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,0,m,z,1389,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2581,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,3013,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,979,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,917,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1289,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1326,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1201,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1322,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1244,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1010,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1042,m,z,triangle.bmp,Stranger
