"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","blocktype"
"1",16127635,"Matching","Self",695,0.695,1,1
"2",16127635,"Matching","Self",500,0.5,1,1
"3",16127635,"Matching","Self",882,0.882,0,1
"4",16127635,"Matching","Self",252,0.252,1,1
"5",16127635,"Matching","Self",1035,1.035,1,1
"6",16127635,"Matching","Self",462,0.462,0,1
"7",16127635,"Matching","Self",555,0.555,0,1
"8",16127635,"Matching","Self",262,0.262,1,1
"9",16127635,"Matching","Self",359,0.359,0,1
"10",16127635,"Matching","Self",592,0.592,1,1
"11",16127635,"Matching","Self",656,0.656,1,1
"12",16127635,"Matching","Self",1010,1.01,1,1
"13",16127635,"Matching","Self",695,0.695,0,1
"14",16127635,"Matching","Self",535,0.535,1,1
"15",16127635,"Matching","Self",282,0.282,1,1
"16",16127635,"Matching","Self",551,0.551,0,2
"17",16127635,"Matching","Self",471,0.471,1,2
"18",16127635,"Matching","Self",523,0.523,1,2
"19",16127635,"Matching","Self",556,0.556,1,2
"20",16127635,"Matching","Self",503,0.503,1,2
"21",16127635,"Matching","Self",435,0.435,0,2
"22",16127635,"Matching","Self",542,0.542,1,2
"23",16127635,"Matching","Self",620,0.62,1,2
"24",16127635,"Matching","Self",617,0.617,1,2
"25",16127635,"Matching","Self",648,0.648,1,2
"26",16127635,"Matching","Self",519,0.519,1,2
"27",16127635,"Matching","Self",487,0.487,1,2
"28",16127635,"Matching","Self",527,0.527,1,2
"29",16127635,"Matching","Self",452,0.452,1,2
"30",16127635,"Matching","Self",227,0.227,0,2
"31",16127635,"Matching","Self",610,0.61,1,2
"32",16127635,"Matching","Self",603,0.603,1,2
"33",16127635,"Matching","Self",566,0.566,1,2
"34",16127635,"Matching","Self",439,0.439,1,2
"35",16127635,"Matching","Self",433,0.433,1,2
"36",16127635,"Matching","Self",480,0.48,1,2
"37",16127635,"Matching","Self",460,0.46,1,2
"38",16127635,"Matching","Self",434,0.434,0,2
"39",16127635,"Matching","Self",603,0.603,1,2
"40",16127635,"Matching","Self",483,0.483,1,2
"41",16127635,"Matching","Self",603,0.603,1,2
"42",16127635,"Matching","Self",569,0.569,1,2
"43",16127635,"Matching","Self",475,0.475,1,2
"44",16127635,"Matching","Self",447,0.447,1,2
"45",16127635,"Matching","Self",647,0.647,1,1
"46",16127635,"Matching","Self",1076,1.076,0,1
"47",16127635,"Matching","Self",587,0.587,1,1
"48",16127635,"Matching","Self",813,0.813,1,1
"49",16127635,"Matching","Self",826,0.826,1,1
"50",16127635,"Matching","Self",785,0.785,1,1
