"","X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,1,"Matching","Self",791,0.791,0
"2",2,1,"Matching","Self",848,0.848,1
"3",3,1,"Matching","Self",1252,1.252,0
"4",4,1,"Matching","Self",770,0.77,1
"5",5,1,"Matching","Self",596,0.596,1
"6",6,1,"Matching","Self",823,0.823,1
"7",7,1,"Matching","Self",988,0.988,0
"8",8,1,"Matching","Self",561,0.561,1
"9",9,1,"Matching","Self",849,0.849,1
"10",10,1,"Matching","Self",599,0.599,0
"11",11,1,"Matching","Self",579,0.579,1
"12",12,1,"Matching","Self",708,0.708,1
"13",13,1,"Matching","Self",748,0.748,0
"14",14,1,"Matching","Self",808,0.808,1
"15",15,1,"Matching","Self",855,0.855,1
"16",16,1,"Matching","Stranger",966,0.966,1
"17",17,1,"Matching","Stranger",558,0.558,0
"18",18,1,"Matching","Stranger",1292,1.292,0
"19",19,1,"Matching","Stranger",1342,1.342,1
"20",20,1,"Matching","Stranger",923,0.923,1
"21",21,1,"Matching","Stranger",815,0.815,1
"22",22,1,"Matching","Stranger",910,0.91,0
"23",23,1,"Matching","Stranger",565,0.565,0
"24",24,1,"Matching","Stranger",824,0.824,1
"25",25,1,"Matching","Stranger",1099,1.099,1
"26",26,1,"Matching","Stranger",907,0.907,1
"27",27,1,"Matching","Stranger",878,0.878,1
"28",28,1,"Matching","Stranger",1334,1.334,0
"29",29,1,"Matching","Stranger",1336,1.336,1
"30",30,1,"Nonmatching","Self",1143,1.143,1
"31",31,1,"Nonmatching","Self",804,0.804,0
"32",32,1,"Nonmatching","Self",1105,1.105,1
"33",33,1,"Nonmatching","Self",873,0.873,1
"34",34,1,"Nonmatching","Self",869,0.869,1
"35",35,1,"Nonmatching","Self",868,0.868,1
"36",36,1,"Nonmatching","Self",620,0.62,0
"37",37,1,"Nonmatching","Self",987,0.987,1
"38",38,1,"Nonmatching","Self",787,0.787,1
"39",39,1,"Nonmatching","Self",857,0.857,1
"40",40,1,"Nonmatching","Self",760,0.76,1
