"Participant.Public.ID ""Trial.Number"" ""Reaction.Time"" ""Response"" ""Correct"" ""Incorrect"" ""Label"" ""Model"" ""P_Group"" ""P_Orginal"" ""ACC_Mat"""
"1 ""612ca983e3b41811470cefae"" 1 2461 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.734375"
"2 ""612ca983e3b41811470cefae"" 2 927.800000000745 ""right"" 0 1 ""Me"" ""f15"" ""Other"" ""JA"" 0.734375"
"3 ""612ca983e3b41811470cefae"" 3 1865.90000000037 ""left"" 0 1 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.734375"
"4 ""612ca983e3b41811470cefae"" 4 1162.30000000075 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""JA"" 0.734375"
"5 ""612ca983e3b41811470cefae"" 5 727 ""right"" 0 1 ""Stranger"" ""f27"" ""User"" ""JA"" 0.734375"
"6 ""612ca983e3b41811470cefae"" 6 878.800000000745 ""right"" 0 1 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.734375"
"7 ""612ca983e3b41811470cefae"" 7 1315.80000000075 ""left"" 0 1 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.734375"
"8 ""612ca983e3b41811470cefae"" 8 1441.19999999925 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.734375"
"9 ""612ca983e3b41811470cefae"" 9 579.400000000373 ""right"" 0 1 ""Stranger"" ""m38"" ""User"" ""JA"" 0.734375"
"10 ""612ca983e3b41811470cefae"" 10 1029.69999999925 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.734375"
"11 ""612ca983e3b41811470cefae"" 11 1585.60000000149 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.734375"
"12 ""612ca983e3b41811470cefae"" 12 595.599999999627 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.734375"
"13 ""612ca983e3b41811470cefae"" 13 497.400000000373 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.734375"
"14 ""612ca983e3b41811470cefae"" 14 523.800000000745 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.734375"
"15 ""612ca983e3b41811470cefae"" 15 2722.90000000037 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.734375"
"16 ""612ca983e3b41811470cefae"" 16 526.699999999255 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.734375"
"17 ""612ca983e3b41811470cefae"" 17 515.900000000373 ""right"" 0 1 ""Me"" ""m35"" ""Other"" ""JA"" 0.734375"
"18 ""612ca983e3b41811470cefae"" 18 599.300000000745 ""left"" 0 1 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.734375"
"19 ""612ca983e3b41811470cefae"" 19 2709.69999999925 ""left"" 0 1 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.734375"
"20 ""612ca983e3b41811470cefae"" 20 811.89999999851 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.734375"
"21 ""612ca983e3b41811470cefae"" 21 552.60000000149 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.734375"
"22 ""612ca983e3b41811470cefae"" 22 1632 ""left"" 0 1 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.734375"
"23 ""612ca983e3b41811470cefae"" 23 568.099999999627 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.734375"
"24 ""612ca983e3b41811470cefae"" 24 613.099999999627 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.734375"
"25 ""612ca983e3b41811470cefae"" 25 383.300000000745 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.734375"
"26 ""612ca983e3b41811470cefae"" 26 1016.30000000075 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.734375"
"27 ""612ca983e3b41811470cefae"" 27 1225.59999999963 ""right"" 0 1 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.734375"
"28 ""612ca983e3b41811470cefae"" 28 591.199999999255 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.734375"
"29 ""612ca983e3b41811470cefae"" 29 2605.5 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.734375"
"30 ""612ca983e3b41811470cefae"" 30 500.300000000745 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.734375"
"31 ""612ca983e3b41811470cefae"" 31 1083.60000000149 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.734375"
"32 ""612ca983e3b41811470cefae"" 32 876.200000001118 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.734375"
"33 ""612ca983e3b41811470cefae"" 33 2204.30000000075 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.734375"
"34 ""612ca983e3b41811470cefae"" 34 891.900000000373 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.734375"
"35 ""612ca983e3b41811470cefae"" 35 1434.59999999963 ""right"" 0 1 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.734375"
"36 ""612ca983e3b41811470cefae"" 36 583.599999999627 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.734375"
"37 ""612ca983e3b41811470cefae"" 37 757.199999999255 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.734375"
"38 ""612ca983e3b41811470cefae"" 38 607.400000000373 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.734375"
"39 ""612ca983e3b41811470cefae"" 39 1320.20000000112 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.734375"
"40 ""612ca983e3b41811470cefae"" 40 1010.80000000075 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.734375"
"41 ""612ca983e3b41811470cefae"" 41 816 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.734375"
"42 ""612ca983e3b41811470cefae"" 42 476.5 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.734375"
"43 ""612ca983e3b41811470cefae"" 43 532 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.734375"
"44 ""612ca983e3b41811470cefae"" 44 824.400000000373 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.734375"
"45 ""612ca983e3b41811470cefae"" 45 967.599999999627 ""left"" 0 1 ""Me"" ""f4"" ""User"" ""NEIN"" 0.734375"
"46 ""612ca983e3b41811470cefae"" 46 712.900000000373 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.734375"
"47 ""612ca983e3b41811470cefae"" 47 785.200000001118 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.734375"
"48 ""612ca983e3b41811470cefae"" 48 1620.90000000037 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.734375"
"49 ""612ca983e3b41811470cefae"" 49 605.099999999627 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.734375"
"50 ""612ca983e3b41811470cefae"" 50 413.799999998882 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.734375"
"51 ""612ca983e3b41811470cefae"" 51 915.800000000745 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.734375"
"52 ""612ca983e3b41811470cefae"" 52 487.599999999627 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.734375"
"53 ""612ca983e3b41811470cefae"" 53 564.199999999255 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.734375"
"54 ""612ca983e3b41811470cefae"" 54 1001.59999999963 ""left"" 0 1 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.734375"
"55 ""612ca983e3b41811470cefae"" 55 1283.70000000112 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.734375"
"56 ""612ca983e3b41811470cefae"" 56 903.299999998882 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.734375"
"57 ""612ca983e3b41811470cefae"" 57 1707.20000000112 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.734375"
"58 ""612ca983e3b41811470cefae"" 58 752.900000000373 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.734375"
"59 ""612ca983e3b41811470cefae"" 59 764 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.734375"
"60 ""612ca983e3b41811470cefae"" 60 962.5 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.734375"
"61 ""612ca983e3b41811470cefae"" 61 931.099999999627 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.734375"
"62 ""612ca983e3b41811470cefae"" 62 1002.90000000037 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.734375"
"63 ""612ca983e3b41811470cefae"" 63 921 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.734375"
"64 ""612ca983e3b41811470cefae"" 64 776.400000000373 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.734375"
"65 ""61298eaadde17b9139f37d89"" 1 5853 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.90625"
"66 ""61298eaadde17b9139f37d89"" 2 1527 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.90625"
"67 ""61298eaadde17b9139f37d89"" 3 1422 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.90625"
"68 ""61298eaadde17b9139f37d89"" 4 1209 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""JA"" 0.90625"
"69 ""61298eaadde17b9139f37d89"" 5 2132 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.90625"
"70 ""61298eaadde17b9139f37d89"" 6 1474 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.90625"
"71 ""61298eaadde17b9139f37d89"" 7 1357 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.90625"
"72 ""61298eaadde17b9139f37d89"" 8 4066 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.90625"
"73 ""61298eaadde17b9139f37d89"" 9 1169 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.90625"
"74 ""61298eaadde17b9139f37d89"" 10 3159 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.90625"
"75 ""61298eaadde17b9139f37d89"" 11 3956 ""left"" 0 1 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.90625"
"76 ""61298eaadde17b9139f37d89"" 12 1164 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.90625"
"77 ""61298eaadde17b9139f37d89"" 13 1215 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.90625"
"78 ""61298eaadde17b9139f37d89"" 14 1056 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.90625"
"79 ""61298eaadde17b9139f37d89"" 15 948 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.90625"
"80 ""61298eaadde17b9139f37d89"" 16 921 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.90625"
"81 ""61298eaadde17b9139f37d89"" 17 2330 ""right"" 0 1 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.90625"
"82 ""61298eaadde17b9139f37d89"" 18 1292 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.90625"
"83 ""61298eaadde17b9139f37d89"" 19 825 ""right"" 0 1 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.90625"
"84 ""61298eaadde17b9139f37d89"" 20 1190 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.90625"
"85 ""61298eaadde17b9139f37d89"" 21 8350 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.90625"
"86 ""61298eaadde17b9139f37d89"" 22 901 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.90625"
"87 ""61298eaadde17b9139f37d89"" 23 1495 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.90625"
"88 ""61298eaadde17b9139f37d89"" 24 1731 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.90625"
"89 ""61298eaadde17b9139f37d89"" 25 4050 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.90625"
"90 ""61298eaadde17b9139f37d89"" 26 1022 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.90625"
"91 ""61298eaadde17b9139f37d89"" 27 1239 ""right"" 0 1 ""Me"" ""f18"" ""Other"" ""JA"" 0.90625"
"92 ""61298eaadde17b9139f37d89"" 28 928 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.90625"
"93 ""61298eaadde17b9139f37d89"" 29 941 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.90625"
"94 ""61298eaadde17b9139f37d89"" 30 1045 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.90625"
"95 ""61298eaadde17b9139f37d89"" 31 1080 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.90625"
"96 ""61298eaadde17b9139f37d89"" 32 857 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.90625"
"97 ""61298eaadde17b9139f37d89"" 33 2014 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.90625"
"98 ""61298eaadde17b9139f37d89"" 34 1796 ""left"" 0 1 ""Me"" ""f4"" ""User"" ""NEIN"" 0.90625"
"99 ""61298eaadde17b9139f37d89"" 35 1661 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.90625"
"100 ""61298eaadde17b9139f37d89"" 36 1356 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.90625"
"101 ""61298eaadde17b9139f37d89"" 37 2371 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.90625"
"102 ""61298eaadde17b9139f37d89"" 38 781 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.90625"
"103 ""61298eaadde17b9139f37d89"" 39 1630 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.90625"
"104 ""61298eaadde17b9139f37d89"" 40 830 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.90625"
