"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
1,9605,"Matching","Self",839,0.839,1
2,9605,"Matching","Self",1018,1.018,1
3,9605,"Matching","Self",1109,1.109,1
4,9605,"Matching","Self",869,0.869,1
5,9605,"Matching","Self",806,0.806,0
6,9605,"Matching","Self",1128,1.128,1
7,9605,"Matching","Self",585,0.585,1
8,9605,"Matching","Self",1066,1.066,1
9,9605,"Matching","Self",952,0.952,1
10,9605,"Matching","Self",643,0.643,1
11,9605,"Matching","Self",1413,1.413,1
12,9605,"Matching","Self",1304,1.304,1
13,9605,"Matching","Self",1170,1.17,1
14,9605,"Matching","Self",899,0.899,1
15,9605,"Matching","Self",1043,1.043,1
16,9605,"Matching","Self",901,0.901,1
17,9605,"Matching","Self",942,0.942,1
18,9605,"Matching","Self",1000,1,1
19,9605,"Matching","Self",772,0.772,1
20,9605,"Matching","Self",1042,1.042,1
21,9605,"Matching","Self",1474,1.474,1
22,9605,"Matching","Self",738,0.738,1
23,9605,"Matching","Self",898,0.898,1
24,9605,"Matching","Self",779,0.779,1
25,9605,"Matching","Self",1032,1.032,1
26,9605,"Matching","Self",899,0.899,1
27,9605,"Matching","Self",770,0.77,1
28,9605,"Matching","Self",1204,1.204,1
29,9605,"Matching","Self",707,0.707,1
30,9605,"Matching","Self",802,0.802,1
31,9605,"Matching","Self",743,0.743,1
32,9605,"Matching","Self",742,0.742,1
33,9605,"Matching","Self",646,0.646,1
34,9605,"Matching","Self",697,0.697,1
35,9605,"Matching","Self",901,0.901,1
36,9605,"Matching","Self",774,0.774,1
37,9605,"Matching","Self",738,0.738,1
38,9605,"Matching","Self",695,0.695,1
39,9605,"Matching","Self",584,0.584,1
40,9605,"Matching","Self",774,0.774,1
41,9605,"Matching","Self",995,0.995,1
42,9605,"Matching","Self",803,0.803,1
43,9605,"Matching","Self",1001,1.001,1
44,9605,"Matching","Self",676,0.676,1
45,9605,"Matching","Self",710,0.71,1
46,9605,"Matching","Self",786,0.786,1
47,9605,"Matching","Self",663,0.663,1
48,9605,"Matching","Father",1318,1.318,1
49,9605,"Matching","Father",1113,1.113,1
50,9605,"Matching","Father",1272,1.272,1
51,9605,"Matching","Father",1170,1.17,1
52,9605,"Matching","Father",947,0.947,1
53,9605,"Matching","Father",1338,1.338,1
54,9605,"Matching","Father",821,0.821,1
55,9605,"Matching","Father",1155,1.155,1
56,9605,"Matching","Father",789,0.789,1
57,9605,"Matching","Father",857,0.857,1
58,9605,"Matching","Father",888,0.888,1
59,9605,"Matching","Father",728,0.728,0
60,9605,"Matching","Father",850,0.85,1
61,9605,"Matching","Father",1125,1.125,1
62,9605,"Matching","Father",709,0.709,1
63,9605,"Matching","Father",775,0.775,1
64,9605,"Matching","Father",967,0.967,1
65,9605,"Matching","Father",968,0.968,1
66,9605,"Matching","Father",857,0.857,1
67,9605,"Matching","Father",1058,1.058,1
68,9605,"Matching","Father",1091,1.091,1
69,9605,"Matching","Father",1043,1.043,1
70,9605,"Matching","Father",1285,1.285,1
71,9605,"Matching","Father",1348,1.348,1
72,9605,"Matching","Father",1143,1.143,1
73,9605,"Matching","Father",1092,1.092,1
74,9605,"Matching","Father",1255,1.255,1
75,9605,"Matching","Father",916,0.916,1
76,9605,"Matching","Father",770,0.77,1
77,9605,"Matching","Father",643,0.643,1
78,9605,"Matching","Father",586,0.586,1
79,9605,"Matching","Father",1021,1.021,1
80,9605,"Matching","Father",712,0.712,1
81,9605,"Matching","Father",455,0.455,1
82,9605,"Matching","Father",1348,1.348,0
83,9605,"Matching","Father",659,0.659,1
84,9605,"Matching","Father",871,0.871,1
85,9605,"Matching","Father",1029,1.029,1
86,9605,"Matching","Father",650,0.65,1
87,9605,"Matching","Father",755,0.755,1
88,9605,"Matching","Father",805,0.805,1
89,9605,"Matching","Father",759,0.759,1
90,9605,"Matching","Father",676,0.676,1
91,9605,"Matching","Father",1014,1.014,1
92,9605,"Matching","Father",808,0.808,1
93,9605,"Matching","Father",1411,1.411,1
94,9605,"Matching","Father",692,0.692,1
95,9605,"Matching","Father",821,0.821,1
96,9605,"Matching","Stranger",1283,1.283,1
97,9605,"Matching","Stranger",1210,1.21,1
98,9605,"Matching","Stranger",904,0.904,1
99,9605,"Matching","Stranger",1494,1.494,1
100,9605,"Matching","Stranger",915,0.915,1
101,9605,"Matching","Stranger",963,0.963,1
102,9605,"Matching","Stranger",1423,1.423,1
103,9605,"Matching","Stranger",1220,1.22,1
104,9605,"Matching","Stranger",949,0.949,1
105,9605,"Matching","Stranger",835,0.835,1
106,9605,"Matching","Stranger",1030,1.03,1
107,9605,"Matching","Stranger",1062,1.062,1
108,9605,"Matching","Stranger",838,0.838,1
109,9605,"Matching","Stranger",1098,1.098,1
110,9605,"Matching","Stranger",1112,1.112,1
111,9605,"Matching","Stranger",871,0.871,1
112,9605,"Matching","Stranger",944,0.944,1
113,9605,"Matching","Stranger",884,0.884,1
114,9605,"Matching","Stranger",1268,1.268,1
115,9605,"Matching","Stranger",1123,1.123,1
116,9605,"Matching","Stranger",900,0.9,1
117,9605,"Matching","Stranger",1111,1.111,1
118,9605,"Matching","Stranger",850,0.85,1
119,9605,"Matching","Stranger",815,0.815,1
120,9605,"Matching","Stranger",470,0.47,1
121,9605,"Matching","Stranger",914,0.914,1
122,9605,"Matching","Stranger",915,0.915,1
123,9605,"Matching","Stranger",674,0.674,1
124,9605,"Matching","Stranger",777,0.777,1
125,9605,"Matching","Stranger",1460,1.46,1
126,9605,"Matching","Stranger",875,0.875,1
127,9605,"Matching","Stranger",1241,1.241,1
128,9605,"Matching","Stranger",1128,1.128,1
129,9605,"Matching","Stranger",792,0.792,1
130,9605,"Matching","Stranger",1157,1.157,1
131,9605,"Matching","Stranger",710,0.71,1
132,9605,"Matching","Stranger",805,0.805,1
133,9605,"Matching","Stranger",889,0.889,1
134,9605,"Matching","Stranger",1220,1.22,1
135,9605,"Matching","Stranger",884,0.884,1
136,9605,"Matching","Stranger",1045,1.045,1
137,9605,"Matching","Stranger",761,0.761,1
138,9605,"Matching","Stranger",774,0.774,1
139,9605,"Nonmatching","Self",974,0.974,1
140,9605,"Nonmatching","Self",1065,1.065,1
141,9605,"Nonmatching","Self",1089,1.089,1
142,9605,"Nonmatching","Self",1497,1.497,1
143,9605,"Nonmatching","Self",963,0.963,1
144,9605,"Nonmatching","Self",549,0.549,1
145,9605,"Nonmatching","Self",1033,1.033,1
146,9605,"Nonmatching","Self",973,0.973,0
147,9605,"Nonmatching","Self",1482,1.482,1
148,9605,"Nonmatching","Self",1442,1.442,1
149,9605,"Nonmatching","Self",959,0.959,1
150,9605,"Nonmatching","Self",1190,1.19,1
151,9605,"Nonmatching","Self",746,0.746,1
152,9605,"Nonmatching","Self",904,0.904,0
153,9605,"Nonmatching","Self",966,0.966,1
154,9605,"Nonmatching","Self",1008,1.008,1
155,9605,"Nonmatching","Self",724,0.724,1
156,9605,"Nonmatching","Self",1430,1.43,1
157,9605,"Nonmatching","Self",1497,1.497,1
158,9605,"Nonmatching","Self",696,0.696,1
159,9605,"Nonmatching","Self",865,0.865,1
160,9605,"Nonmatching","Self",791,0.791,1
161,9605,"Nonmatching","Self",924,0.924,1
162,9605,"Nonmatching","Self",663,0.663,1
163,9605,"Nonmatching","Self",1257,1.257,1
164,9605,"Nonmatching","Self",819,0.819,1
165,9605,"Nonmatching","Self",1156,1.156,1
