"X","Subject","Matching","Identity","Group","RT_ms","RT_sec","ACC"
1,2,"Matching","Self",2,437,0.437,1
2,2,"Matching","Self",2,452,0.452,1
3,2,"Matching","Self",2,448,0.448,1
4,2,"Matching","Self",2,472,0.472,1
5,2,"Matching","Self",2,592,0.592,0
6,2,"Matching","Self",2,599,0.599,1
7,2,"Matching","Self",2,484,0.484,1
8,2,"Matching","Self",2,547,0.547,1
9,2,"Matching","Self",2,595,0.595,1
10,2,"Matching","Self",2,452,0.452,1
11,2,"Matching","Self",2,651,0.651,0
12,2,"Matching","Self",2,388,0.388,1
13,2,"Matching","Self",2,499,0.499,1
14,2,"Matching","Self",2,411,0.411,1
15,2,"Matching","Self",2,852,0.852,1
16,2,"Matching","Self",2,395,0.395,1
17,2,"Matching","Self",2,483,0.483,1
18,2,"Matching","Self",2,496,0.496,1
19,2,"Matching","Self",2,471,0.471,1
20,2,"Matching","Self",2,575,0.575,1
21,2,"Matching","Self",2,391,0.391,1
22,2,"Matching","Self",2,423,0.423,1
23,2,"Matching","Self",2,367,0.367,1
24,2,"Matching","Self",2,692,0.692,1
25,2,"Matching","Self",2,455,0.455,1
26,2,"Matching","Self",2,550,0.55,1
27,2,"Matching","Self",2,437,0.437,1
28,2,"Matching","Self",2,490,0.49,1
29,2,"Matching","Self",2,513,0.513,1
30,2,"Matching","Self",2,350,0.35,1
31,2,"Matching","Self",2,502,0.502,1
32,2,"Matching","Self",2,471,0.471,1
33,2,"Matching","Self",2,758,0.758,1
34,2,"Matching","Self",2,410,0.41,1
35,2,"Matching","Self",2,449,0.449,1
36,2,"Matching","Self",2,472,0.472,1
37,2,"Matching","Self",2,521,0.521,1
38,2,"Matching","Self",2,602,0.602,1
39,2,"Matching","Self",2,444,0.444,1
40,2,"Matching","Self",2,622,0.622,0
41,2,"Matching","Self",2,395,0.395,1
42,2,"Matching","Self",2,515,0.515,1
43,2,"Matching","Self",2,393,0.393,1
44,2,"Matching","Self",2,399,0.399,1
45,2,"Matching","Self",2,746,0.746,0
46,2,"Matching","Self",2,391,0.391,1
47,2,"Matching","Self",2,469,0.469,1
48,2,"Matching","Self",2,512,0.512,1
49,2,"Matching","Self",2,508,0.508,1
50,2,"Matching","Self",2,439,0.439,1
51,2,"Matching","Self",2,579,0.579,1
52,2,"Matching","Self",2,517,0.517,1
53,2,"Matching","Self",2,501,0.501,1
54,2,"Matching","Self",2,611,0.611,1
55,2,"Matching","Self",2,667,0.667,1
56,2,"Matching","Self",2,588,0.588,1
57,2,"Matching","Self",2,498,0.498,1
58,2,"Matching","Self",2,496,0.496,1
59,2,"Matching","Self",2,329,0.329,1
60,2,"Matching","Self",2,603,0.603,1
61,2,"Matching","Friend",2,416,0.416,1
62,2,"Matching","Friend",2,328,0.328,0
63,2,"Matching","Friend",2,311,0.311,1
64,2,"Matching","Friend",2,713,0.713,1
65,2,"Matching","Friend",2,530,0.53,1
66,2,"Matching","Friend",2,819,0.819,1
67,2,"Matching","Friend",2,422,0.422,1
68,2,"Matching","Friend",2,499,0.499,1
69,2,"Matching","Friend",2,599,0.599,0
70,2,"Matching","Friend",2,601,0.601,0
71,2,"Matching","Friend",2,497,0.497,1
72,2,"Matching","Friend",2,488,0.488,1
73,2,"Matching","Friend",2,475,0.475,1
74,2,"Matching","Friend",2,626,0.626,1
75,2,"Matching","Friend",2,522,0.522,1
76,2,"Matching","Friend",2,399,0.399,1
77,2,"Matching","Friend",2,454,0.454,1
78,2,"Matching","Friend",2,564,0.564,1
79,2,"Matching","Friend",2,417,0.417,1
80,2,"Matching","Friend",2,656,0.656,1
81,2,"Matching","Friend",2,610,0.61,1
82,2,"Matching","Friend",2,438,0.438,1
83,2,"Matching","Friend",2,542,0.542,1
84,2,"Matching","Friend",2,644,0.644,1
85,2,"Matching","Friend",2,677,0.677,1
86,2,"Matching","Friend",2,461,0.461,1
87,2,"Matching","Friend",2,593,0.593,1
88,2,"Matching","Friend",2,498,0.498,1
89,2,"Matching","Friend",2,668,0.668,1
90,2,"Matching","Friend",2,472,0.472,1
91,2,"Matching","Friend",2,533,0.533,1
92,2,"Matching","Friend",2,461,0.461,1
93,2,"Matching","Friend",2,294,0.294,0
94,2,"Matching","Friend",2,548,0.548,1
95,2,"Matching","Friend",2,461,0.461,1
96,2,"Matching","Friend",2,611,0.611,1
97,2,"Matching","Friend",2,507,0.507,1
98,2,"Matching","Friend",2,510,0.51,0
99,2,"Matching","Friend",2,428,0.428,1
100,2,"Matching","Friend",2,720,0.72,1
101,2,"Matching","Friend",2,577,0.577,1
102,2,"Matching","Friend",2,715,0.715,1
103,2,"Matching","Friend",2,469,0.469,1
104,2,"Matching","Friend",2,327,0.327,1
105,2,"Matching","Friend",2,700,0.7,1
106,2,"Matching","Friend",2,727,0.727,1
107,2,"Matching","Friend",2,568,0.568,1
108,2,"Matching","Friend",2,488,0.488,1
109,2,"Matching","Friend",2,435,0.435,0
110,2,"Matching","Friend",2,544,0.544,1
111,2,"Matching","Friend",2,1044,1.044,1
112,2,"Matching","Friend",2,635,0.635,0
113,2,"Matching","Friend",2,814,0.814,0
114,2,"Matching","Friend",2,599,0.599,1
115,2,"Matching","Friend",2,632,0.632,1
116,2,"Matching","Friend",2,498,0.498,1
117,2,"Matching","Friend",2,483,0.483,1
118,2,"Matching","Friend",2,633,0.633,1
119,2,"Matching","Stranger",2,574,0.574,1
120,2,"Matching","Stranger",2,480,0.48,1
121,2,"Matching","Stranger",2,560,0.56,1
122,2,"Matching","Stranger",2,511,0.511,1
123,2,"Matching","Stranger",2,435,0.435,1
124,2,"Matching","Stranger",2,605,0.605,1
125,2,"Matching","Stranger",2,339,0.339,1
126,2,"Matching","Stranger",2,582,0.582,1
127,2,"Matching","Stranger",2,571,0.571,1
128,2,"Matching","Stranger",2,699,0.699,1
129,2,"Matching","Stranger",2,631,0.631,1
130,2,"Matching","Stranger",2,579,0.579,0
131,2,"Matching","Stranger",2,594,0.594,1
132,2,"Matching","Stranger",2,520,0.52,1
133,2,"Matching","Stranger",2,526,0.526,1
134,2,"Matching","Stranger",2,583,0.583,1
135,2,"Matching","Stranger",2,589,0.589,1
136,2,"Matching","Stranger",2,620,0.62,1
137,2,"Matching","Stranger",2,428,0.428,1
138,2,"Matching","Stranger",2,452,0.452,1
139,2,"Matching","Stranger",2,533,0.533,1
140,2,"Matching","Stranger",2,912,0.912,1
141,2,"Matching","Stranger",2,525,0.525,1
142,2,"Matching","Stranger",2,471,0.471,1
143,2,"Matching","Stranger",2,558,0.558,1
144,2,"Matching","Stranger",2,473,0.473,1
145,2,"Matching","Stranger",2,494,0.494,1
146,2,"Matching","Stranger",2,475,0.475,0
147,2,"Matching","Stranger",2,541,0.541,1
148,2,"Matching","Stranger",2,564,0.564,1
149,2,"Matching","Stranger",2,520,0.52,1
150,2,"Matching","Stranger",2,493,0.493,1
151,2,"Matching","Stranger",2,509,0.509,1
152,2,"Matching","Stranger",2,424,0.424,1
153,2,"Matching","Stranger",2,671,0.671,1
154,2,"Matching","Stranger",2,506,0.506,1
155,2,"Matching","Stranger",2,531,0.531,1
156,2,"Matching","Stranger",2,624,0.624,1
157,2,"Matching","Stranger",2,784,0.784,1
158,2,"Matching","Stranger",2,432,0.432,0
159,2,"Matching","Stranger",2,552,0.552,1
160,2,"Matching","Stranger",2,598,0.598,1
161,2,"Matching","Stranger",2,517,0.517,1
162,2,"Matching","Stranger",2,552,0.552,1
163,2,"Matching","Stranger",2,507,0.507,1
164,2,"Matching","Stranger",2,583,0.583,1
165,2,"Matching","Stranger",2,460,0.46,1
166,2,"Matching","Stranger",2,430,0.43,1
167,2,"Matching","Stranger",2,528,0.528,1
168,2,"Matching","Stranger",2,539,0.539,1
169,2,"Matching","Stranger",2,528,0.528,1
170,2,"Matching","Stranger",2,454,0.454,1
171,2,"Matching","Stranger",2,477,0.477,1
172,2,"Matching","Stranger",2,663,0.663,1
173,2,"Matching","Stranger",2,623,0.623,1
174,2,"Matching","Stranger",2,649,0.649,0
175,2,"Matching","Stranger",2,470,0.47,1
176,2,"Matching","Stranger",2,493,0.493,1
177,2,"Matching","Stranger",2,425,0.425,0
178,2,"Nonmatching","Self",2,631,0.631,1
179,2,"Nonmatching","Self",2,459,0.459,1
180,2,"Nonmatching","Self",2,583,0.583,1
181,2,"Nonmatching","Self",2,587,0.587,1
182,2,"Nonmatching","Self",2,396,0.396,1
183,2,"Nonmatching","Self",2,436,0.436,0
184,2,"Nonmatching","Self",2,625,0.625,1
185,2,"Nonmatching","Self",2,569,0.569,1
186,2,"Nonmatching","Self",2,354,0.354,0
187,2,"Nonmatching","Self",2,703,0.703,1
188,2,"Nonmatching","Self",2,717,0.717,1
189,2,"Nonmatching","Self",2,563,0.563,1
190,2,"Nonmatching","Self",2,640,0.64,1
191,2,"Nonmatching","Self",2,443,0.443,0
192,2,"Nonmatching","Self",2,594,0.594,1
193,2,"Nonmatching","Self",2,1133,1.133,1
194,2,"Nonmatching","Self",2,466,0.466,0
195,2,"Nonmatching","Self",2,446,0.446,0
196,2,"Nonmatching","Self",2,529,0.529,1
197,2,"Nonmatching","Self",2,565,0.565,1
198,2,"Nonmatching","Self",2,762,0.762,1
199,2,"Nonmatching","Self",2,636,0.636,1
200,2,"Nonmatching","Self",2,473,0.473,0
201,2,"Nonmatching","Self",2,663,0.663,1
202,2,"Nonmatching","Self",2,487,0.487,0
203,2,"Nonmatching","Self",2,494,0.494,0
204,2,"Nonmatching","Self",2,428,0.428,0
205,2,"Nonmatching","Self",2,688,0.688,1
206,2,"Nonmatching","Self",2,644,0.644,1
207,2,"Nonmatching","Self",2,503,0.503,1
208,2,"Nonmatching","Self",2,535,0.535,1
209,2,"Nonmatching","Self",2,471,0.471,0
210,2,"Nonmatching","Self",2,588,0.588,1
211,2,"Nonmatching","Self",2,497,0.497,0
212,2,"Nonmatching","Self",2,467,0.467,0
213,2,"Nonmatching","Self",2,627,0.627,1
214,2,"Nonmatching","Self",2,656,0.656,1
215,2,"Nonmatching","Self",2,603,0.603,1
216,2,"Nonmatching","Self",2,505,0.505,1
217,2,"Nonmatching","Self",2,691,0.691,1
218,2,"Nonmatching","Self",2,481,0.481,0
219,2,"Nonmatching","Self",2,445,0.445,1
220,2,"Nonmatching","Self",2,713,0.713,1
221,2,"Nonmatching","Self",2,521,0.521,1
222,2,"Nonmatching","Self",2,858,0.858,1
223,2,"Nonmatching","Self",2,839,0.839,1
224,2,"Nonmatching","Self",2,392,0.392,1
225,2,"Nonmatching","Self",2,718,0.718,1
226,2,"Nonmatching","Self",2,565,0.565,1
227,2,"Nonmatching","Self",2,458,0.458,1
228,2,"Nonmatching","Self",2,672,0.672,1
229,2,"Nonmatching","Self",2,589,0.589,1
230,2,"Nonmatching","Self",2,633,0.633,1
231,2,"Nonmatching","Self",2,735,0.735,0
232,2,"Nonmatching","Self",2,464,0.464,1
233,2,"Nonmatching","Self",2,712,0.712,1
234,2,"Nonmatching","Self",2,515,0.515,1
235,2,"Nonmatching","Self",2,609,0.609,1
236,2,"Nonmatching","Self",2,557,0.557,1
237,2,"Nonmatching","Friend",2,569,0.569,1
238,2,"Nonmatching","Friend",2,568,0.568,1
239,2,"Nonmatching","Friend",2,626,0.626,1
240,2,"Nonmatching","Friend",2,484,0.484,0
241,2,"Nonmatching","Friend",2,450,0.45,0
242,2,"Nonmatching","Friend",2,601,0.601,1
243,2,"Nonmatching","Friend",2,454,0.454,0
244,2,"Nonmatching","Friend",2,683,0.683,1
245,2,"Nonmatching","Friend",2,631,0.631,1
246,2,"Nonmatching","Friend",2,494,0.494,0
247,2,"Nonmatching","Friend",2,587,0.587,1
248,2,"Nonmatching","Friend",2,422,0.422,0
249,2,"Nonmatching","Friend",2,599,0.599,1
250,2,"Nonmatching","Friend",2,537,0.537,1
251,2,"Nonmatching","Friend",2,424,0.424,1
252,2,"Nonmatching","Friend",2,672,0.672,1
253,2,"Nonmatching","Friend",2,777,0.777,1
254,2,"Nonmatching","Friend",2,472,0.472,1
255,2,"Nonmatching","Friend",2,534,0.534,1
256,2,"Nonmatching","Friend",2,620,0.62,1
257,2,"Nonmatching","Friend",2,437,0.437,0
258,2,"Nonmatching","Friend",2,374,0.374,0
259,2,"Nonmatching","Friend",2,789,0.789,1
260,2,"Nonmatching","Friend",2,607,0.607,1
261,2,"Nonmatching","Friend",2,467,0.467,0
262,2,"Nonmatching","Friend",2,819,0.819,1
263,2,"Nonmatching","Friend",2,659,0.659,1
264,2,"Nonmatching","Friend",2,676,0.676,1
265,2,"Nonmatching","Friend",2,603,0.603,1
266,2,"Nonmatching","Friend",2,667,0.667,0
267,2,"Nonmatching","Friend",2,729,0.729,1
268,2,"Nonmatching","Friend",2,468,0.468,1
269,2,"Nonmatching","Friend",2,395,0.395,1
270,2,"Nonmatching","Friend",2,587,0.587,1
271,2,"Nonmatching","Friend",2,569,0.569,1
272,2,"Nonmatching","Friend",2,800,0.8,1
273,2,"Nonmatching","Friend",2,549,0.549,1
274,2,"Nonmatching","Friend",2,461,0.461,1
275,2,"Nonmatching","Friend",2,726,0.726,1
276,2,"Nonmatching","Friend",2,527,0.527,1
277,2,"Nonmatching","Friend",2,759,0.759,1
278,2,"Nonmatching","Friend",2,484,0.484,1
279,2,"Nonmatching","Friend",2,680,0.68,1
280,2,"Nonmatching","Friend",2,552,0.552,1
281,2,"Nonmatching","Friend",2,613,0.613,1
282,2,"Nonmatching","Friend",2,494,0.494,1
283,2,"Nonmatching","Friend",2,555,0.555,1
284,2,"Nonmatching","Friend",2,485,0.485,1
285,2,"Nonmatching","Friend",2,583,0.583,1
286,2,"Nonmatching","Friend",2,701,0.701,1
287,2,"Nonmatching","Friend",2,587,0.587,1
