"X","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
1,1,"Matching","Self",1,317,0.317,1
2,1,"Matching","Self",1,367,0.367,1
3,1,"Matching","Self",1,767,0.767,1
4,1,"Matching","Self",1,484,0.484,1
5,1,"Matching","Self",1,384,0.384,1
6,1,"Matching","Self",1,350,0.35,1
7,1,"Matching","Self",1,784,0.784,1
8,1,"Matching","Self",1,367,0.367,1
9,1,"Matching","Self",1,500,0.5,1
10,1,"Matching","Self",1,500,0.5,1
11,1,"Matching","Self",1,567,0.567,1
12,1,"Matching","Self",1,517,0.517,1
13,1,"Matching","Self",1,517,0.517,1
14,1,"Matching","Self",1,467,0.467,1
15,1,"Matching","Self",1,650,0.65,1
16,1,"Matching","Self",1,367,0.367,1
17,1,"Matching","Self",1,367,0.367,1
18,1,"Matching","Self",1,317,0.317,1
19,1,"Matching","Self",1,567,0.567,1
20,1,"Matching","Self",1,384,0.384,1
21,1,"Matching","Self",1,533,0.533,1
22,1,"Matching","Self",1,550,0.55,1
23,1,"Matching","Self",1,417,0.417,0
24,1,"Matching","Self",1,534,0.534,1
25,1,"Matching","Self",1,534,0.534,1
26,1,"Matching","Self",1,467,0.467,1
27,1,"Matching","Self",1,550,0.55,1
28,1,"Matching","Self",1,467,0.467,1
29,1,"Matching","Self",1,550,0.55,1
30,1,"Matching","Self",1,450,0.45,1
31,1,"Matching","Self",1,600,0.6,1
32,1,"Matching","Self",1,400,0.4,1
33,1,"Matching","Self",1,367,0.367,1
34,1,"Matching","Self",1,600,0.6,1
35,1,"Matching","Self",1,567,0.567,1
36,1,"Matching","Self",1,767,0.767,1
37,1,"Matching","Self",1,567,0.567,1
38,1,"Matching","Self",1,451,0.451,1
39,1,"Matching","Self",1,583,0.583,1
40,1,"Matching","Self",1,617,0.617,1
41,1,"Matching","Self",1,683,0.683,1
42,1,"Matching","Self",1,500,0.5,1
43,1,"Matching","Self",1,367,0.367,1
44,1,"Matching","Self",1,450,0.45,1
45,1,"Matching","Self",1,500,0.5,1
46,1,"Matching","Self",1,450,0.45,1
47,1,"Matching","Self",1,1017,1.017,1
48,1,"Matching","Self",1,467,0.467,1
49,1,"Matching","Self",1,384,0.384,1
50,1,"Matching","Self",1,383,0.383,1
51,1,"Matching","Self",1,333,0.333,1
52,1,"Matching","Self",1,667,0.667,1
53,1,"Matching","Self",1,617,0.617,1
54,1,"Matching","Self",1,650,0.65,1
55,1,"Matching","Self",1,550,0.55,1
56,1,"Matching","Self",1,550,0.55,1
57,1,"Matching","Self",1,467,0.467,1
58,1,"Matching","Self",1,550,0.55,1
59,1,"Matching","Self",1,533,0.533,1
60,1,"Matching","Self",1,483,0.483,1
61,1,"Matching","Self",1,417,0.417,1
62,1,"Matching","Self",1,350,0.35,1
