Source,Subject,Matching,Comparison,Cohens_d_RT,Cohens_d_ACC
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_2,Matching,Self vs Stranger,0.7481150714700622,0.4201399523302582
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_2,Matching,Self vs Close,0.8283618990621632,0.32384309310547954
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_2,Nonmatching,Self vs Stranger,-0.14009031374428996,-0.3157952115117601
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_2,Nonmatching,Self vs Close,-0.20492951403763954,0.09939894919595194
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_3,Matching,Self vs Stranger,1.1524066695868793,0.41833294032205326
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_3,Matching,Self vs Close,0.8810573396040506,0.3708125189117462
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_3,Nonmatching,Self vs Stranger,0.6334153812169373,0.35328398231538877
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_3,Nonmatching,Self vs Close,0.4437306879958484,0.24603610870984643
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_4,Matching,Self vs Stranger,0.8643689834756748,0.2128584930694662
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_4,Matching,Self vs Close,0.40473783507547834,0.2579234328661408
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_4,Nonmatching,Self vs Stranger,0.032672124864286035,0.8297751823328197
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_4,Nonmatching,Self vs Close,0.08617228094571562,0.8664446415206762
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_5,Matching,Self vs Stranger,0.7439271980183652,0.1632973570043431
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_5,Matching,Self vs Close,0.5301303562229125,0.007179687586232754
