"Subject","Identity","d_prime"
16127635,"Self",1.53476721142122
78102783,"Self",3.9619598700009
120276743,"Self",1.37320181311954
133962780,"Self",2.37228738714329
203790530,"Self",-0.786217717134988
212888805,"Self",3.08422177310505
241097290,"Self",4.52202503400349
285704893,"Self",3.51103936128562
314311395,"Self",2.42141033160558
384408546,"Self",3.77289886113646
412011299,"Self",2.40382073768789
416399182,"Self",2.92640519249607
472768231,"Self",2.99285015488723
496480794,"Self",2.22824956117518
534311360,"Self",1.57561898669728
567926866,"Self",2.1592377377831
585981308,"Self",2.53594275698558
612282907,"Self",2.68991341071665
664494296,"Self",1.37391495191744
669656357,"Self",3.28154527362487
707853948,"Self",2.11263914804977
782845634,"Self",3.47876826276739
802602224,"Self",2.54176539947004
836271820,"Self",2.3007766814307
862507044,"Self",3.1459395729955
897342843,"Self",4.03883342676998
907277457,"Self",3.95519393826992
909113368,"Self",1.30263347192676
922667222,"Self",0.624112585986706
983987632,"Self",3.75219823505877
16127635,"Friend",1.08579180395685
78102783,"Friend",2.56478639744976
120276743,"Friend",1.56244368744677
133962780,"Friend",1.09996615169953
203790530,"Friend",0.483215424328226
212888805,"Friend",3.42864895315978
241097290,"Friend",3.77289886113646
285704893,"Friend",3.77080302481299
314311395,"Friend",1.90031073930767
384408546,"Friend",3.11546620136051
412011299,"Friend",1.79635348039225
416399182,"Friend",3.207754103193
472768231,"Friend",2.78263751158863
496480794,"Friend",1.96882970039068
534311360,"Friend",0.859831295094581
567926866,"Friend",1.8780546230667
585981308,"Friend",2.48461108401387
612282907,"Friend",2.55581808496629
664494296,"Friend",1.19892733058857
669656357,"Friend",1.81474189489148
707853948,"Friend",0.419611400654052
782845634,"Friend",4.22789443563442
802602224,"Friend",1.55446297714808
836271820,"Friend",2.22812950660427
862507044,"Friend",3.47876826276739
897342843,"Friend",3.1459395729955
907277457,"Friend",3.31745449521721
909113368,"Friend",1.36308738762327
922667222,"Friend",0.527308035840368
983987632,"Friend",2.2925638869859
16127635,"Stranger",1.19756990056487
78102783,"Stranger",2.875398305421
120276743,"Stranger",0.876272826345888
133962780,"Stranger",2.04875047155266
203790530,"Stranger",1.06306454033039
212888805,"Stranger",2.71308235426048
241097290,"Stranger",2.934249055275
285704893,"Stranger",3.75923439847903
314311395,"Stranger",1.20876256735855
384408546,"Stranger",2.40382073768789
412011299,"Stranger",3.00043786319918
416399182,"Stranger",3.00217189208805
472768231,"Stranger",2.78263751158863
496480794,"Stranger",2.17264069557871
534311360,"Stranger",1.3110903836573
567926866,"Stranger",1.81993376488356
585981308,"Stranger",1.45146644372458
612282907,"Stranger",1.81149954828466
664494296,"Stranger",1.66929416152366
669656357,"Stranger",2.61227519305317
707853948,"Stranger",1.8137214263961
782845634,"Stranger",3.21690876291655
802602224,"Stranger",1.99733684550278
836271820,"Stranger",2.05118058225574
862507044,"Stranger",3.51103936128562
897342843,"Stranger",3.1459395729955
907277457,"Stranger",3.18313434102039
909113368,"Stranger",1.83272200464436
922667222,"Stranger",0.199201324789267
983987632,"Stranger",2.85950492694379
