"Subject","Identity","d_prime"
1,"Father",NA
2,"Father",NA
3,"Father",NA
5701,"Father",NA
5702,"Father",NA
5704,"Father",NA
5708,"Father",NA
5710,"Father",NA
5711,"Father",NA
5718,"Father",NA
5801,"Father",NA
5802,"Father",NA
5811,"Father",NA
5816,"Father",NA
5818,"Father",NA
5820,"Father",NA
5821,"Father",NA
6003,"Father",NA
9407,"Father",NA
9410,"Father",NA
9501,"Father",NA
9503,"Father",NA
9504,"Father",NA
9505,"Father",NA
9507,"Father",NA
9509,"Father",NA
9515,"Father",NA
1,"Close",NA
2,"Close",NA
3,"Close",NA
5701,"Close",NA
5702,"Close",NA
5704,"Close",NA
5708,"Close",NA
5710,"Close",NA
5711,"Close",NA
5718,"Close",NA
5801,"Close",NA
5802,"Close",NA
5811,"Close",NA
5816,"Close",NA
5818,"Close",NA
5820,"Close",NA
5821,"Close",NA
6003,"Close",NA
9407,"Close",NA
9410,"Close",NA
9501,"Close",NA
9503,"Close",NA
9504,"Close",NA
9505,"Close",NA
9507,"Close",NA
9509,"Close",NA
9515,"Close",NA
1,"Stranger",4.25609046836997
2,"Stranger",0.698628895350538
3,"Stranger",2.88408007314466
5701,"Stranger",2.92640519249607
5702,"Stranger",3.28970725390294
5704,"Stranger",2.83666979863287
5708,"Stranger",2.88408007314466
5710,"Stranger",1.24745729869155
5711,"Stranger",3.47876826276739
5718,"Stranger",3.40959679972958
5801,"Stranger",3.40959679972958
5802,"Stranger",3.51103936128562
5811,"Stranger",3.77289886113646
5816,"Stranger",3.77289886113646
5818,"Stranger",2.61185756268081
5820,"Stranger",4.78795959963702
5821,"Stranger",3.67553136536311
6003,"Stranger",2.14720500613057
9407,"Stranger",4.25609046836997
9410,"Stranger",3.9619598700009
9501,"Stranger",3.47876826276739
9503,"Stranger",3.89506574586253
9504,"Stranger",2.61185756268081
9505,"Stranger",3.47876826276739
9507,"Stranger",2.78263751158863
9509,"Stranger",2.8703480253097
9515,"Stranger",1.71092313968987
