"Subject","Identity","d_prime"
17,"Self",2.85213144165608
18,"Self",2.33424506265216
19,"Self",2.67432871040832
20,"Self",2.67277376438839
21,"Self",2.73481236378478
22,"Self",4.03380064353303
23,"Self",3.03889906487664
24,"Self",3.38215982147798
25,"Self",2.67819639253807
26,"Self",2.15687418736282
27,"Self",2.31166192307722
28,"Self",2.77533010198921
29,"Self",2.41915640567739
30,"Self",1.88666263454604
31,"Self",2.73042198349942
32,"Self",3.09622642939034
33,"Self",3.10872761204859
34,"Self",3.45497218817555
35,"Self",2.58401570436138
36,"Self",3.45338932496579
37,"Self",2.82294204077491
38,"Self",2.15859604951338
39,"Self",2.61648050841785
40,"Self",2.47328270906753
17,"Familiar",1.94276674194677
18,"Familiar",2.79228210541564
19,"Familiar",1.65578957272378
20,"Familiar",2.99196132778103
21,"Familiar",2.09979633921303
22,"Familiar",3.40536417030012
23,"Familiar",2.45350457939302
24,"Familiar",3.22698243031394
25,"Familiar",2.20370729257309
26,"Familiar",2.21227993736722
27,"Familiar",1.35874244085158
28,"Familiar",2.61881095514112
29,"Familiar",2.1221288226929
30,"Familiar",1.52534487917153
31,"Familiar",2.0922071062421
32,"Familiar",2.1721250388609
33,"Familiar",2.78155791178173
34,"Familiar",2.51632312212619
35,"Familiar",1.29514020302137
36,"Familiar",2.44091941847406
37,"Familiar",2.19190875544678
38,"Familiar",1.53134099277991
39,"Familiar",1.97771775045978
40,"Familiar",2.17808960832948
17,"Stranger",2.28018667882034
18,"Stranger",2.32313678354437
19,"Stranger",1.66901748566358
20,"Stranger",2.58125337354363
21,"Stranger",2.28282484604506
22,"Stranger",2.66737720063676
23,"Stranger",1.93652776850461
24,"Stranger",2.71880268158631
25,"Stranger",1.6384925405271
26,"Stranger",1.63797891432287
27,"Stranger",1.16885674418161
28,"Stranger",2.21753259550759
29,"Stranger",2.22531134295061
30,"Stranger",2.05502229988981
31,"Stranger",2.10724775275481
32,"Stranger",2.67774828124214
33,"Stranger",2.39634512500295
34,"Stranger",2.82062916344573
35,"Stranger",1.15887169333275
36,"Stranger",2.21753259550759
37,"Stranger",2.22531134295061
38,"Stranger",2.03919537258581
39,"Stranger",2.09978279463601
40,"Stranger",2.90568721644333
