"Subject","Identity","d_prime"
1,"Self",2.53334350747665
2,"Self",2.11777094647771
3,"Self",3.76849852782363
4,"Self",3.41982825880203
5,"Self",1.9348431322034
6,"Self",2.05748387729672
7,"Self",3.76849852782363
8,"Self",1.48670755169599
9,"Self",3.76849852782363
10,"Self",2.53334350747665
11,"Self",1.34897950039216
12,"Self",3.76849852782363
13,"Self",4.07366826340278
14,"Self",2.35041569320234
15,"Self",2.53334350747665
16,"Self",3.76849852782363
17,"Self",0.104633455614075
18,"Self",2.28018667882034
19,"Self",3.46332879224449
20,"Self",4.07366826340278
21,"Self",3.41982825880203
22,"Self",0.430727299295457
23,"Self",2.53334350747665
24,"Self",2.54388219762216
25,"Self",3.46332879224449
26,"Self",3.41982825880203
27,"Self",3.41982825880203
28,"Self",3.00425569780309
29,"Self",0.861454598590915
30,"Self",3.41982825880203
31,"Self",3.76849852782363
32,"Self",-0.423272819578451
33,"Self",2.53334350747665
34,"Self",3.76849852782363
36,"Self",2.88201377649825
1,"Mother",2.69908596222395
2,"Mother",1.77963936760161
3,"Mother",3.00425569780309
4,"Mother",2.76598825420128
5,"Mother",2.30069876075202
6,"Mother",1.70163349106501
7,"Mother",4.07366826340278
8,"Mother",2.54388219762216
9,"Mother",3.76849852782363
10,"Mother",0.653155738312173
11,"Mother",0.315061849862
12,"Mother",4.07366826340278
13,"Mother",1.36074008419801
14,"Mother",3.76849852782363
15,"Mother",2.69908596222395
16,"Mother",3.11465852322288
17,"Mother",-0.209266911228151
18,"Mother",2.30069876075202
19,"Mother",1.64191131629778
20,"Mother",3.76849852782363
21,"Mother",2.88201377649825
22,"Mother",0.42085678849585
23,"Mother",2.53334350747665
24,"Mother",1.69887166307411
25,"Mother",2.35041569320234
26,"Mother",1.96256718187592
27,"Mother",2.53334350747665
28,"Mother",3.76849852782363
29,"Mother",0.867161646662473
30,"Mother",2.8490519332013
31,"Mother",3.41982825880203
32,"Mother",-0.641155693543382
33,"Mother",2.11777094647771
34,"Mother",3.76849852782363
36,"Mother",3.11465852322288
1,"Acquaintance",1.96256718187592
2,"Acquaintance",2.40615414631833
3,"Acquaintance",3.11465852322288
4,"Acquaintance",3.11465852322288
5,"Acquaintance",2.30069876075202
6,"Acquaintance",1.13085716546429
7,"Acquaintance",3.11465852322288
8,"Acquaintance",2.30069876075202
9,"Acquaintance",4.07366826340278
10,"Acquaintance",2.11777094647771
11,"Acquaintance",1.17784996034963
12,"Acquaintance",3.76849852782363
13,"Acquaintance",3.41982825880203
14,"Acquaintance",2.53334350747665
15,"Acquaintance",1.96256718187592
16,"Acquaintance",3.11465852322288
17,"Acquaintance",1.24294510079537
18,"Acquaintance",4.07366826340278
19,"Acquaintance",3.11465852322288
20,"Acquaintance",3.46332879224449
21,"Acquaintance",4.07366826340278
22,"Acquaintance",-0.104633455614075
23,"Acquaintance",1.64191131629778
24,"Acquaintance",2.58535641439949
25,"Acquaintance",2.53334350747665
26,"Acquaintance",3.1871835120774
27,"Acquaintance",2.88201377649825
28,"Acquaintance",2.8490519332013
29,"Acquaintance",1.48670755169599
30,"Acquaintance",3.00425569780309
31,"Acquaintance",4.07366826340278
32,"Acquaintance",-0.318639363964375
33,"Acquaintance",1.94209279037017
34,"Acquaintance",3.76849852782363
36,"Acquaintance",3.46332879224449
