"Subject","Identity","d_prime"
2001,"Self",5.22955411120268
2002,"Self",4.71494254844581
2003,"Self",4.98334411486921
2004,"Self",3.63428603719701
2005,"Self",3.97973622162055
2006,"Self",4.37869951104417
2007,"Self",4.17131015000706
2008,"Self",4.73713411853575
2009,"Self",3.90290858358366
2101,"Self",4.71494254844581
2102,"Self",3.90290858358366
2103,"Self",4.03045134890205
2104,"Self",4.46873255211234
2105,"Self",4.46873255211234
2106,"Self",3.60548618147838
2107,"Self",4.54506291165892
2108,"Self",3.39195926866884
2109,"Self",4.17131015000706
2001,"Friend",4.98334411486921
2002,"Friend",4.29885291532545
2003,"Friend",4.71494254844581
2004,"Friend",3.46440640041013
2005,"Friend",4.03045134890205
2006,"Friend",4.16844920399375
2007,"Friend",4.98334411486921
2008,"Friend",3.46440640041013
2009,"Friend",4.29885291532545
2101,"Friend",4.98334411486921
2102,"Friend",4.29885291532545
2103,"Friend",4.46873255211234
2104,"Friend",4.54506291165892
2105,"Friend",4.46873255211234
2106,"Friend",3.43613758314602
2107,"Friend",4.41752014634053
2108,"Friend",2.90296293817704
2109,"Friend",3.31034682246398
2001,"Stranger",3.90290858358366
2002,"Stranger",4.46873255211234
2003,"Stranger",4.54506291165892
2004,"Stranger",3.41391225309187
2005,"Stranger",4.20033098568894
2006,"Stranger",3.62066803917304
2007,"Stranger",4.17131015000706
2008,"Stranger",4.03045134890205
2009,"Stranger",4.73713411853575
2101,"Stranger",4.46873255211234
2102,"Stranger",4.03045134890205
2103,"Stranger",3.90290858358366
2104,"Stranger",4.46873255211234
2105,"Stranger",4.71494254844581
2106,"Stranger",4.46873255211234
2107,"Stranger",4.98334411486921
2108,"Stranger",2.76151854272868
2109,"Stranger",4.20033098568894
