"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"1",1,"Matching","Self",397,0.397,1
"2",1,"Matching","Self",338,0.338,1
"3",1,"Matching","Self",407,0.407,1
"4",1,"Matching","Self",366,0.366,1
"5",1,"Matching","Self",322,0.322,1
"6",1,"Matching","Self",365,0.365,1
"7",1,"Matching","Self",338,0.338,1
"8",1,"Matching","Self",308,0.308,1
"9",1,"Matching","Self",246,0.246,1
"10",1,"Matching","Self",356,0.356,1
"11",1,"Matching","Self",284,0.284,1
"12",1,"Matching","Self",215,0.215,1
"13",1,"Matching","Self",222,0.222,1
"14",1,"Matching","Self",273,0.273,1
"15",1,"Matching","Self",219,0.219,1
"16",1,"Matching","Self",301,0.301,1
"17",1,"Matching","Self",315,0.315,0
"18",1,"Matching","Self",288,0.288,1
"19",1,"Matching","Self",260,0.26,1
"20",1,"Matching","Self",241,0.241,0
"21",1,"Matching","Self",207,0.207,1
"22",1,"Matching","Self",248,0.248,1
"23",1,"Matching","Self",638,0.638,0
"24",1,"Matching","Self",212,0.212,1
"25",1,"Matching","Mother",540,0.54,0
"26",1,"Matching","Mother",495,0.495,1
"27",1,"Matching","Mother",368,0.368,1
"28",1,"Matching","Mother",393,0.393,1
"29",1,"Matching","Mother",311,0.311,1
"30",1,"Matching","Mother",335,0.335,1
"31",1,"Matching","Mother",358,0.358,1
"32",1,"Matching","Mother",224,0.224,1
"33",1,"Matching","Mother",261,0.261,1
"34",1,"Matching","Mother",302,0.302,1
"35",1,"Matching","Mother",320,0.32,1
"36",1,"Matching","Mother",401,0.401,1
"37",1,"Matching","Mother",401,0.401,1
"38",1,"Matching","Mother",471,0.471,1
"39",1,"Matching","Mother",376,0.376,1
"40",1,"Matching","Mother",305,0.305,1
"41",1,"Matching","Mother",316,0.316,1
"42",1,"Matching","Mother",277,0.277,1
"43",1,"Matching","Mother",282,0.282,1
"44",1,"Matching","Mother",217,0.217,1
"45",1,"Matching","Mother",251,0.251,1
"46",1,"Matching","Mother",326,0.326,1
"47",1,"Matching","Mother",249,0.249,1
"48",1,"Matching","Mother",268,0.268,1
"49",1,"Matching","Acquaintance",457,0.457,1
"50",1,"Matching","Acquaintance",525,0.525,1
"51",1,"Matching","Acquaintance",375,0.375,1
"52",1,"Matching","Acquaintance",715,0.715,0
"53",1,"Matching","Acquaintance",304,0.304,1
"54",1,"Matching","Acquaintance",265,0.265,1
"55",1,"Matching","Acquaintance",275,0.275,0
"56",1,"Matching","Acquaintance",458,0.458,1
"57",1,"Matching","Acquaintance",363,0.363,1
"58",1,"Matching","Acquaintance",358,0.358,1
"59",1,"Matching","Acquaintance",313,0.313,1
"60",1,"Matching","Acquaintance",323,0.323,0
"61",1,"Matching","Acquaintance",356,0.356,1
"62",1,"Matching","Acquaintance",238,0.238,1
"63",1,"Matching","Acquaintance",299,0.299,1
"64",1,"Matching","Acquaintance",237,0.237,1
"65",1,"Matching","Acquaintance",354,0.354,1
"66",1,"Matching","Acquaintance",263,0.263,1
"67",1,"Matching","Acquaintance",354,0.354,1
"68",1,"Matching","Acquaintance",295,0.295,1
"69",1,"Matching","Acquaintance",234,0.234,1
"70",1,"Matching","Acquaintance",273,0.273,1
"71",1,"Matching","Acquaintance",329,0.329,1
"72",1,"Matching","Acquaintance",251,0.251,1
"73",1,"Nonmatching","Self",869,0.869,0
"74",1,"Nonmatching","Self",524,0.524,1
"75",1,"Nonmatching","Self",464,0.464,1
"76",1,"Nonmatching","Self",431,0.431,1
"77",1,"Nonmatching","Self",502,0.502,1
"78",1,"Nonmatching","Self",433,0.433,1
"79",1,"Nonmatching","Self",490,0.49,1
"80",1,"Nonmatching","Self",463,0.463,1
"81",1,"Nonmatching","Self",471,0.471,1
"82",1,"Nonmatching","Self",507,0.507,1
"83",1,"Nonmatching","Self",385,0.385,1
"84",1,"Nonmatching","Self",401,0.401,1
"85",1,"Nonmatching","Self",359,0.359,0
"86",1,"Nonmatching","Self",304,0.304,1
"87",1,"Nonmatching","Self",400,0.4,1
"88",1,"Nonmatching","Self",439,0.439,1
"89",1,"Nonmatching","Self",358,0.358,1
"90",1,"Nonmatching","Self",402,0.402,1
"91",1,"Nonmatching","Self",476,0.476,1
"92",1,"Nonmatching","Self",361,0.361,1
"93",1,"Nonmatching","Self",242,0.242,1
"94",1,"Nonmatching","Self",290,0.29,1
"95",1,"Nonmatching","Self",320,0.32,1
"96",1,"Nonmatching","Self",386,0.386,1
"97",1,"Nonmatching","Mother",517,0.517,0
"98",1,"Nonmatching","Mother",639,0.639,1
"99",1,"Nonmatching","Mother",332,0.332,1
"100",1,"Nonmatching","Mother",423,0.423,1
"101",1,"Nonmatching","Mother",511,0.511,1
"102",1,"Nonmatching","Mother",433,0.433,1
"103",1,"Nonmatching","Mother",544,0.544,1
"104",1,"Nonmatching","Mother",496,0.496,1
"105",1,"Nonmatching","Mother",227,0.227,0
"106",1,"Nonmatching","Mother",272,0.272,1
"107",1,"Nonmatching","Mother",476,0.476,1
"108",1,"Nonmatching","Mother",399,0.399,1
"109",1,"Nonmatching","Mother",401,0.401,1
"110",1,"Nonmatching","Mother",425,0.425,1
"111",1,"Nonmatching","Mother",468,0.468,1
"112",1,"Nonmatching","Mother",425,0.425,1
"113",1,"Nonmatching","Mother",626,0.626,1
"114",1,"Nonmatching","Mother",424,0.424,1
"115",1,"Nonmatching","Mother",479,0.479,0
"116",1,"Nonmatching","Mother",484,0.484,0
"117",1,"Nonmatching","Mother",319,0.319,1
"118",1,"Nonmatching","Mother",286,0.286,1
"119",1,"Nonmatching","Mother",452,0.452,1
"120",1,"Nonmatching","Mother",370,0.37,1
"121",1,"Nonmatching","Acquaintance",608,0.608,1
"122",1,"Nonmatching","Acquaintance",534,0.534,1
"123",1,"Nonmatching","Acquaintance",454,0.454,1
"124",1,"Nonmatching","Acquaintance",509,0.509,1
"125",1,"Nonmatching","Acquaintance",333,0.333,1
"126",1,"Nonmatching","Acquaintance",459,0.459,1
"127",1,"Nonmatching","Acquaintance",386,0.386,1
"128",1,"Nonmatching","Acquaintance",316,0.316,1
"129",1,"Nonmatching","Acquaintance",532,0.532,0
"130",1,"Nonmatching","Acquaintance",428,0.428,1
"131",1,"Nonmatching","Acquaintance",443,0.443,1
"132",1,"Nonmatching","Acquaintance",361,0.361,1
"133",1,"Nonmatching","Acquaintance",426,0.426,1
"134",1,"Nonmatching","Acquaintance",678,0.678,0
"135",1,"Nonmatching","Acquaintance",293,0.293,1
"136",1,"Nonmatching","Acquaintance",408,0.408,1
"137",1,"Nonmatching","Acquaintance",464,0.464,1
"138",1,"Nonmatching","Acquaintance",432,0.432,1
"139",1,"Nonmatching","Acquaintance",381,0.381,0
"140",1,"Nonmatching","Acquaintance",558,0.558,1
"141",1,"Nonmatching","Acquaintance",449,0.449,1
"142",1,"Nonmatching","Acquaintance",433,0.433,0
"143",1,"Nonmatching","Acquaintance",340,0.34,0
"144",1,"Nonmatching","Acquaintance",264,0.264,1
"145",2,"Matching","Self",219,0.219,1
"146",2,"Matching","Self",902,0.902,0
"147",2,"Matching","Self",533,0.533,0
"148",2,"Matching","Self",475,0.475,1
"149",2,"Matching","Self",688,0.688,1
"150",2,"Matching","Self",645,0.645,1
"151",2,"Matching","Self",776,0.776,1
"152",2,"Matching","Self",615,0.615,1
"153",2,"Matching","Self",626,0.626,1
"154",2,"Matching","Self",953,0.953,1
"155",2,"Matching","Self",659,0.659,1
"156",2,"Matching","Self",518,0.518,1
"157",2,"Matching","Self",755,0.755,1
"158",2,"Matching","Self",954,0.954,1
"159",2,"Matching","Self",721,0.721,0
"160",2,"Matching","Self",804,0.804,1
"161",2,"Matching","Self",871,0.871,1
"162",2,"Matching","Self",585,0.585,1
"163",2,"Matching","Self",654,0.654,1
"164",2,"Matching","Self",669,0.669,1
"165",2,"Matching","Self",571,0.571,1
"166",2,"Matching","Self",673,0.673,1
"167",2,"Matching","Self",725,0.725,0
"168",2,"Matching","Self",351,0.351,1
"169",2,"Matching","Mother",219,0.219,1
"170",2,"Matching","Mother",516,0.516,0
"171",2,"Matching","Mother",774,0.774,1
"172",2,"Matching","Mother",769,0.769,1
"173",2,"Matching","Mother",676,0.676,0
"174",2,"Matching","Mother",607,0.607,1
"175",2,"Matching","Mother",749,0.749,1
"176",2,"Matching","Mother",641,0.641,1
"177",2,"Matching","Mother",408,0.408,1
"178",2,"Matching","Mother",479,0.479,1
"179",2,"Matching","Mother",727,0.727,0
"180",2,"Matching","Mother",482,0.482,1
"181",2,"Matching","Mother",498,0.498,1
"182",2,"Matching","Mother",498,0.498,1
"183",2,"Matching","Mother",547,0.547,1
"184",2,"Matching","Mother",604,0.604,1
"185",2,"Matching","Mother",718,0.718,1
"186",2,"Matching","Mother",594,0.594,1
"187",2,"Matching","Mother",545,0.545,0
"188",2,"Matching","Mother",1218,1.218,1
"189",2,"Matching","Mother",645,0.645,1
"190",2,"Matching","Mother",721,0.721,1
"191",2,"Matching","Mother",498,0.498,1
"192",2,"Matching","Mother",445,0.445,1
"193",2,"Matching","Acquaintance",1064,1.064,0
"194",2,"Matching","Acquaintance",856,0.856,1
"195",2,"Matching","Acquaintance",876,0.876,1
"196",2,"Matching","Acquaintance",693,0.693,1
"197",2,"Matching","Acquaintance",575,0.575,1
"198",2,"Matching","Acquaintance",706,0.706,1
"199",2,"Matching","Acquaintance",548,0.548,1
"200",2,"Matching","Acquaintance",391,0.391,1
"201",2,"Matching","Acquaintance",487,0.487,1
"202",2,"Matching","Acquaintance",478,0.478,1
"203",2,"Matching","Acquaintance",482,0.482,1
"204",2,"Matching","Acquaintance",429,0.429,1
"205",2,"Matching","Acquaintance",939,0.939,1
"206",2,"Matching","Acquaintance",619,0.619,1
"207",2,"Matching","Acquaintance",435,0.435,1
"208",2,"Matching","Acquaintance",596,0.596,1
"209",2,"Matching","Acquaintance",761,0.761,1
"210",2,"Matching","Acquaintance",657,0.657,1
"211",2,"Matching","Acquaintance",620,0.62,1
"212",2,"Matching","Acquaintance",632,0.632,1
"213",2,"Matching","Acquaintance",690,0.69,1
"214",2,"Matching","Acquaintance",753,0.753,1
"215",2,"Matching","Acquaintance",579,0.579,1
"216",2,"Nonmatching","Self",394,0.394,0
"217",2,"Nonmatching","Self",779,0.779,0
