Participant,OtherMatch,SelfMatch,OtherMismatch,SelfMismatch,MeMatch,TheyMatch,WeMatch,YouMatch,MeMismatch,TheyMismatch,WeMismatch,YouMismatch,MeLabel:Other,MeLabel:Self,TheyLabel:Other,TheyLabel:Self,WeLabel:Other,WeLabel:Self,YouLabel:Other,YouLabel:Self,SelfBenefitMatch,WeBenefitMatch,GroupShapeMatch,IndividualShapeMatch,OtherLabelMismatch,SelfLabelMismatch
1,0.840281687,0.73351387,0.832401334,0.890462371,0.712567738,0.888345898,0.755076065,0.795130458,0.870264274,0.810888118,0.911272532,0.855218381,0.846001649,0.928494573,0.892513465,0.768300981,0.952435367,0.828946861,0.906842263,0.832773214,0.08256272,0.133269833,0.818635524,0.75263494,0.897591204,0.824299518
2,0.723679641,0.675411739,0.754999608,0.748954268,0.613608998,0.744241907,0.73721448,0.706232869,0.723026691,0.786532048,0.77564442,0.726094872,0.710312423,0.747395705,0.8001616,0.779717272,0.770445007,0.786515921,0.796003304,0.691140656,0.092623871,0.007027428,0.740288979,0.657907371,0.759583161,0.744370715
3,1.005306741,0.890782276,1.023935506,1.072064208,0.825417122,1.052687247,0.960364537,0.960633693,1.101106468,1.04258412,1.043021947,1.006352526,1.128623671,1.041068934,1.06681355,1.028738731,1.139289527,0.858509086,1.133486571,0.948082756,0.13521657,0.09232271,1.007968435,0.895013886,1.122296316,0.972225982
4,1.057703332,0.789542749,1.020991157,0.94158695,0.727492075,1.035000201,0.857234393,1.08187118,0.893494478,1.055874469,0.989679421,0.983993704,0.881320326,0.91682827,1.177930154,0.992193242,0.967513336,1.038041791,1.153861514,0.920293276,0.354379105,0.177765808,0.946117297,0.891458527,1.000155927,0.961826888
5,0.994267061,0.888974768,1.054511807,0.989717764,0.82193806,0.946740949,0.966823847,1.046392474,0.982572409,1.059885629,0.998015597,1.048649456,0.964056094,1.019605037,1.094610442,1.042523223,1.066832461,0.872894027,1.084887574,1.027941961,0.224454414,-0.020082898,0.956318946,0.925790102,1.038646642,1.006535783
6,0.848654161,0.809393067,0.921128614,0.942728065,0.698742935,0.889565339,0.938484889,0.807742984,0.944610695,0.948698805,0.940786603,0.891835286,0.967587887,0.89865631,0.902942785,0.973656633,0.931905422,0.957741586,0.976094751,0.858864191,0.109000049,-0.04891955,0.912860363,0.751640017,0.944954899,0.919323868
7,0.853306038,0.770515197,0.893556332,0.854999947,0.688407852,0.878598758,0.852622542,0.828735968,0.799187448,0.937670773,0.909217804,0.848018844,0.781332531,0.836520456,0.90471052,0.954935668,0.970456356,0.791843913,1.006831486,0.772393776,0.140328116,0.025976216,0.86561065,0.75958878,0.900168283,0.845811851
8,1.028974521,0.851897853,0.983235274,0.961524812,0.833510494,0.941550503,0.876169166,1.113484405,0.951168759,0.961270547,0.971880866,1.005886399,0.942182629,0.971836857,1.047112342,0.918349649,0.980591282,0.951846908,1.246445983,0.911754388,0.279973911,0.065381336,0.911281366,0.966831404,1.014546205,0.929398167
9,0.764602256,0.767822187,0.884016497,0.842661796,0.688275465,0.823703992,0.852189924,0.703709558,0.833967684,0.89963233,0.854833553,0.867896928,0.827932659,0.84713501,0.960761943,0.867612057,0.901452264,0.804329949,0.909240752,0.845157825,0.015434093,-0.028485931,0.837734376,0.695765539,0.884055812,0.845210222
10,0.8232508,0.803295735,0.936279387,0.861681626,0.789381541,0.872901647,0.819065155,0.772048363,0.878404198,0.928949542,0.842868732,0.943609233,0.839746409,0.955719777,0.951553971,0.916032725,0.840740666,0.848307123,0.93685648,0.946545212,-0.017333178,0.053836492,0.847265223,0.780977576,0.873596545,0.924778901
