Participant,MeMatch,TheyMatch,WeMatch,YouMatch,MeMismatch,TheyMismatch,WeMismatch,YouMismatch
1,0.916666667,0.545454545,0.714285714,0.542857143,0.96969697,0.909090909,0.84375,0.875
2,1,0.914285714,0.916666667,0.888888889,0.942857143,0.914285714,0.888888889,0.972222222
3,0.972222222,0.828571429,0.971428571,0.878787879,0.942857143,0.805555556,0.861111111,0.972222222
4,0.942857143,0.885714286,0.916666667,1,0.971428571,0.971428571,0.857142857,0.972222222
5,0.972222222,0.8,0.944444444,0.942857143,0.944444444,0.857142857,0.828571429,0.857142857
6,0.722222222,0.705882353,0.657142857,0.861111111,0.882352941,0.888888889,0.742857143,0.828571429
7,1,1,0.942857143,0.972222222,0.972222222,0.972222222,1,0.805555556
8,1,0.916666667,0.916666667,1,1,1,1,1
9,1,0.742857143,0.861111111,0.805555556,0.628571429,0.888888889,0.805555556,0.833333333
10,0.944444444,0.771428571,0.972222222,1,0.944444444,0.942857143,1,0.916666667
11,1,0.972222222,0.914285714,0.861111111,0.944444444,0.944444444,0.941176471,0.870967742
12,0.916666667,0.771428571,0.916666667,0.944444444,0.944444444,0.8,0.805555556,0.878787879
13,0.972222222,0.685714286,0.882352941,0.8,0.545454545,0.75,0.694444444,0.727272727
14,1,0.823529412,1,0.861111111,1,0.944444444,0.9375,0.942857143
15,0.971428571,1,1,0.972222222,0.942857143,0.972222222,0.972222222,1
16,0.944444444,0.942857143,0.941176471,1,0.944444444,0.972222222,0.971428571,0.882352941
17,1,0.888888889,0.916666667,0.833333333,1,0.972222222,0.942857143,1
18,0.944444444,0.861111111,0.885714286,0.971428571,1,0.944444444,0.8,0.914285714
19,1,1,1,0.944444444,1,0.944444444,1,1
20,0.972222222,0.8,0.888888889,0.916666667,0.911764706,0.861111111,0.833333333,0.972222222
21,0.888888889,0.777777778,0.833333333,0.857142857,0.638888889,0.694444444,0.638888889,0.694444444
22,0.972222222,0.794117647,0.916666667,0.8,0.944444444,0.833333333,0.857142857,0.722222222
23,1,0.888888889,0.8,1,0.942857143,0.861111111,0.833333333,1
24,0.916666667,0.742857143,0.916666667,0.8,0.805555556,0.742857143,0.555555556,0.833333333
25,0.972222222,0.914285714,0.939393939,1,0.972222222,0.833333333,0.828571429,1
26,0.972222222,0.944444444,0.916666667,0.878787879,1,0.857142857,0.888888889,0.885714286
27,0.972222222,0.916666667,0.916666667,0.916666667,0.833333333,0.861111111,0.833333333,0.857142857
28,0.944444444,0.472222222,0.694444444,0.833333333,0.861111111,0.583333333,0.6,0.555555556
