Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
Other,0,0,0,4,v,9.144702864,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,0,1,1,4,v,4.486624558,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,0,2,2,1,c,4.206934329,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,0,3,3,0,n,3.762490806,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,0,4,4,3,b,3.111511301,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,1,0,5,4,v,1.992664717,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,1,1,6,1,c,3.588994391,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,1,2,7,3,b,3.889249073,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,1,3,8,4,v,2.417294686,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,1,4,9,2,m,4.746522946,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,2,0,10,0,n,5.752120738,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,2,1,11,1,c,4.765729306,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,2,2,12,3,b,3.594757602,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,2,3,13,3,b,1.495024207,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,2,4,14,1,c,1.287189746,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,3,0,15,1,c,1.43936765,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,3,1,16,2,m,2.145277685,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,3,2,17,1,c,1.447465676,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,3,3,18,2,m,4.680925462,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,3,4,19,2,m,1.339179846,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,4,0,20,1,c,2.385268557,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,4,1,21,1,c,1.165409443,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,4,2,22,2,m,4.394247764,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,4,3,23,1,c,1.398227294,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,4,4,24,0,n,2.265650544,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,5,0,25,3,b,2.184976646,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,5,1,26,4,v,1.452993589,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,5,2,27,0,n,2.270543628,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,5,3,28,2,m,3.871263812,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,5,4,29,0,n,2.400213505,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P2,6,0,30,1,c,1.531713649,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,6,1,31,2,m,2.681792036,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,6,2,32,3,b,2.041990744,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
