ExperimentName,Subject,Session,Block,Age,Sex,Block,Friend,Self,Stranger,SubTrial,CorrectAnswer,Question,SelfRelated,Target,ACC,RT,YesNoResp
A,2801,1,Group2,20,female,1,S,C,T,1,n,You,Self,C.bmp,1,523,Yes
A,2801,1,Group2,20,female,1,S,C,T,2,n,Stranger,Stranger,T.bmp,0,456,Yes
A,2801,1,Group2,20,female,1,S,C,T,3,n,Friend,Friend,S.bmp,1,692,Yes
A,2801,1,Group2,20,female,1,S,C,T,4,n,You,Self,C.bmp,1,497,Yes
A,2801,1,Group2,20,female,1,S,C,T,5,m,You,Stranger,T.bmp,0,415,No
A,2801,1,Group2,20,female,1,S,C,T,6,m,Stranger,Self,C.bmp,1,933,No
A,2801,1,Group2,20,female,1,S,C,T,7,m,Friend,Stranger,T.bmp,0,715,No
A,2801,1,Group2,20,female,1,S,C,T,8,m,You,Friend,S.bmp,1,961,No
A,2801,1,Group2,20,female,1,S,C,T,9,n,Stranger,Stranger,T.bmp,0,927,Yes
A,2801,1,Group2,20,female,1,S,C,T,10,n,Friend,Friend,S.bmp,1,1124,Yes
A,2801,1,Group2,20,female,1,S,C,T,11,m,Friend,Self,C.bmp,1,1010,No
A,2801,1,Group2,20,female,1,S,C,T,12,m,Stranger,Friend,S.bmp,1,1112,No
A,2801,1,Group2,20,female,1,S,C,T,13,n,You,Self,C.bmp,1,902,Yes
A,2801,1,Group2,20,female,1,S,C,T,14,n,Friend,Friend,S.bmp,0,716,Yes
A,2801,1,Group2,20,female,1,S,C,T,15,m,Stranger,Self,C.bmp,1,1107,No
A,2801,1,Group2,20,female,1,S,C,T,16,n,Stranger,Stranger,T.bmp,1,809,Yes
A,2801,1,Group2,20,female,1,S,C,T,17,m,Friend,Stranger,T.bmp,1,1007,No
A,2801,1,Group2,20,female,1,S,C,T,18,m,You,Friend,S.bmp,1,1037,No
A,2801,1,Group2,20,female,1,S,C,T,19,n,Stranger,Stranger,T.bmp,1,955,Yes
A,2801,1,Group2,20,female,1,S,C,T,20,n,Friend,Friend,S.bmp,0,1121,Yes
A,2801,1,Group2,20,female,1,S,C,T,21,m,Friend,Self,C.bmp,0,1079,No
A,2801,1,Group2,20,female,1,S,C,T,22,n,You,Self,C.bmp,0,0,Yes
A,2801,1,Group2,20,female,1,S,C,T,23,m,You,Stranger,T.bmp,1,832,No
A,2801,1,Group2,20,female,1,S,C,T,24,m,Stranger,Friend,S.bmp,0,0,No
A,2801,1,Group2,20,female,1,S,C,T,25,m,Friend,Stranger,T.bmp,0,980,No
A,2801,1,Group2,20,female,1,S,C,T,26,n,You,Self,C.bmp,1,658,Yes
A,2801,1,Group2,20,female,1,S,C,T,27,n,Stranger,Stranger,T.bmp,0,841,Yes
A,2801,1,Group2,20,female,1,S,C,T,28,m,Friend,Self,C.bmp,1,871,No
A,2801,1,Group2,20,female,1,S,C,T,29,m,You,Friend,S.bmp,1,821,No
A,2801,1,Group2,20,female,1,S,C,T,30,m,Stranger,Self,C.bmp,1,995,No
A,2801,1,Group2,20,female,1,S,C,T,31,n,Friend,Friend,S.bmp,1,984,Yes
A,2801,1,Group2,20,female,1,S,C,T,32,n,You,Self,C.bmp,1,750,Yes
A,2801,1,Group2,20,female,1,S,C,T,33,m,Stranger,Friend,S.bmp,1,724,No
A,2801,1,Group2,20,female,1,S,C,T,34,n,Friend,Friend,S.bmp,0,0,Yes
A,2801,1,Group2,20,female,1,S,C,T,35,m,You,Stranger,T.bmp,0,720,No
A,2801,1,Group2,20,female,1,S,C,T,36,n,Stranger,Stranger,T.bmp,1,942,Yes
A,2801,1,Group2,20,female,1,S,C,T,37,n,You,Self,C.bmp,1,588,Yes
A,2801,1,Group2,20,female,1,S,C,T,38,m,Stranger,Friend,S.bmp,1,826,No
A,2801,1,Group2,20,female,1,S,C,T,39,m,Friend,Stranger,T.bmp,0,616,No
A,2801,1,Group2,20,female,1,S,C,T,40,n,Stranger,Stranger,T.bmp,0,622,Yes
A,2801,1,Group2,20,female,1,S,C,T,41,n,You,Self,C.bmp,1,643,Yes
A,2801,1,Group2,20,female,1,S,C,T,42,m,You,Stranger,T.bmp,1,810,No
A,2801,1,Group2,20,female,1,S,C,T,43,n,Stranger,Stranger,T.bmp,0,888,Yes
A,2801,1,Group2,20,female,1,S,C,T,44,n,Friend,Friend,S.bmp,1,870,Yes
A,2801,1,Group2,20,female,1,S,C,T,45,m,Friend,Self,C.bmp,0,0,No
A,2801,1,Group2,20,female,1,S,C,T,46,m,Stranger,Self,C.bmp,1,1002,No
A,2801,1,Group2,20,female,1,S,C,T,47,m,You,Friend,S.bmp,1,1040,No
A,2801,1,Group2,20,female,1,S,C,T,48,n,Friend,Friend,S.bmp,1,814,Yes
A,2801,1,Group2,20,female,1,S,C,T,49,n,You,Self,C.bmp,1,508,Yes
A,2801,1,Group2,20,female,1,S,C,T,50,n,Friend,Friend,S.bmp,0,698,Yes
A,2801,1,Group2,20,female,1,S,C,T,51,n,Friend,Friend,S.bmp,1,672,Yes
A,2801,1,Group2,20,female,1,S,C,T,52,m,Friend,Stranger,T.bmp,1,798,No
A,2801,1,Group2,20,female,1,S,C,T,53,m,You,Stranger,T.bmp,1,908,No
A,2801,1,Group2,20,female,1,S,C,T,54,n,Stranger,Stranger,T.bmp,0,0,Yes
A,2801,1,Group2,20,female,1,S,C,T,55,n,Stranger,Stranger,T.bmp,1,616,Yes
A,2801,1,Group2,20,female,1,S,C,T,56,m,Friend,Self,C.bmp,1,422,No
A,2801,1,Group2,20,female,1,S,C,T,57,n,You,Self,C.bmp,1,604,Yes
A,2801,1,Group2,20,female,1,S,C,T,58,m,Stranger,Friend,S.bmp,1,834,No
A,2801,1,Group2,20,female,1,S,C,T,59,m,Stranger,Self,C.bmp,0,0,No
A,2801,1,Group2,20,female,1,S,C,T,60,m,You,Friend,S.bmp,0,743,No
A,2801,1,Group2,20,female,1,S,C,T,1,n,Stranger,Stranger,T.bmp,0,517,Yes
A,2801,1,Group2,20,female,1,S,C,T,2,n,Friend,Friend,S.bmp,1,1027,Yes
A,2801,1,Group2,20,female,1,S,C,T,3,m,You,Friend,S.bmp,1,601,No
A,2801,1,Group2,20,female,1,S,C,T,4,n,You,Self,C.bmp,1,359,Yes
A,2801,1,Group2,20,female,1,S,C,T,5,m,Stranger,Friend,S.bmp,1,733,No
A,2801,1,Group2,20,female,1,S,C,T,6,n,You,Self,C.bmp,1,547,Yes
A,2801,1,Group2,20,female,1,S,C,T,7,m,Friend,Self,C.bmp,1,785,No
A,2801,1,Group2,20,female,1,S,C,T,8,n,Stranger,Stranger,T.bmp,1,799,Yes
A,2801,1,Group2,20,female,1,S,C,T,9,n,Friend,Friend,S.bmp,1,1134,Yes
A,2801,1,Group2,20,female,1,S,C,T,10,m,You,Stranger,T.bmp,1,748,No
A,2801,1,Group2,20,female,1,S,C,T,11,m,Friend,Stranger,T.bmp,1,585,No
A,2801,1,Group2,20,female,1,S,C,T,12,m,Stranger,Self,C.bmp,0,535,No
A,2801,1,Group2,20,female,1,S,C,T,13,n,Friend,Friend,S.bmp,0,853,Yes
A,2801,1,Group2,20,female,1,S,C,T,14,m,Friend,Stranger,T.bmp,1,955,No
A,2801,1,Group2,20,female,1,S,C,T,15,m,You,Stranger,T.bmp,0,561,No
A,2801,1,Group2,20,female,1,S,C,T,16,m,Stranger,Friend,S.bmp,1,727,No
A,2801,1,Group2,20,female,1,S,C,T,17,m,You,Friend,S.bmp,1,709,No
A,2801,1,Group2,20,female,1,S,C,T,18,n,You,Self,C.bmp,1,635,Yes
A,2801,1,Group2,20,female,1,S,C,T,19,n,Stranger,Stranger,T.bmp,0,873,Yes
A,2801,1,Group2,20,female,1,S,C,T,20,n,Friend,Friend,S.bmp,0,687,Yes
A,2801,1,Group2,20,female,1,S,C,T,21,n,Stranger,Stranger,T.bmp,1,501,Yes
A,2801,1,Group2,20,female,1,S,C,T,22,m,Friend,Self,C.bmp,1,971,No
A,2801,1,Group2,20,female,1,S,C,T,23,n,You,Self,C.bmp,1,385,Yes
A,2801,1,Group2,20,female,1,S,C,T,24,m,Stranger,Self,C.bmp,1,743,No
A,2801,1,Group2,20,female,1,S,C,T,25,m,Friend,Stranger,T.bmp,0,621,No
A,2801,1,Group2,20,female,1,S,C,T,26,n,Stranger,Stranger,T.bmp,1,1019,Yes
A,2801,1,Group2,20,female,1,S,C,T,27,n,Friend,Friend,S.bmp,0,737,Yes
A,2801,1,Group2,20,female,1,S,C,T,28,n,Friend,Friend,S.bmp,1,655,Yes
A,2801,1,Group2,20,female,1,S,C,T,29,n,You,Self,C.bmp,1,437,Yes
A,2801,1,Group2,20,female,1,S,C,T,30,m,Stranger,Friend,S.bmp,1,763,No
A,2801,1,Group2,20,female,1,S,C,T,31,m,Friend,Self,C.bmp,0,521,No
A,2801,1,Group2,20,female,1,S,C,T,32,n,You,Self,C.bmp,1,495,Yes
A,2801,1,Group2,20,female,1,S,C,T,33,m,You,Stranger,T.bmp,1,749,No
A,2801,1,Group2,20,female,1,S,C,T,34,m,Stranger,Self,C.bmp,0,571,No
A,2801,1,Group2,20,female,1,S,C,T,35,n,Stranger,Stranger,T.bmp,1,729,Yes
A,2801,1,Group2,20,female,1,S,C,T,36,m,You,Friend,S.bmp,1,823,No
A,2801,1,Group2,20,female,1,S,C,T,37,n,Friend,Friend,S.bmp,1,885,Yes
A,2801,1,Group2,20,female,1,S,C,T,38,m,You,Stranger,T.bmp,1,915,No
A,2801,1,Group2,20,female,1,S,C,T,39,m,Friend,Stranger,T.bmp,1,953,No
A,2801,1,Group2,20,female,1,S,C,T,40,n,You,Self,C.bmp,1,584,Yes
A,2801,1,Group2,20,female,1,S,C,T,41,m,Stranger,Friend,S.bmp,0,1013,No
A,2801,1,Group2,20,female,1,S,C,T,42,n,Stranger,Stranger,T.bmp,1,835,Yes
A,2801,1,Group2,20,female,1,S,C,T,43,n,You,Self,C.bmp,1,577,Yes
A,2801,1,Group2,20,female,1,S,C,T,44,m,Stranger,Self,C.bmp,0,487,No
A,2801,1,Group2,20,female,1,S,C,T,45,m,Friend,Self,C.bmp,1,701,No
A,2801,1,Group2,20,female,1,S,C,T,46,n,Stranger,Stranger,T.bmp,0,963,Yes
A,2801,1,Group2,20,female,1,S,C,T,47,m,You,Friend,S.bmp,0,689,No
A,2801,1,Group2,20,female,1,S,C,T,48,n,Friend,Friend,S.bmp,0,0,Yes
A,2801,1,Group2,20,female,1,S,C,T,49,m,Friend,Self,C.bmp,0,0,No
A,2801,1,Group2,20,female,1,S,C,T,50,n,Friend,Friend,S.bmp,1,554,Yes
A,2801,1,Group2,20,female,1,S,C,T,51,m,Friend,Stranger,T.bmp,1,704,No
A,2801,1,Group2,20,female,1,S,C,T,52,n,You,Self,C.bmp,1,518,Yes
A,2801,1,Group2,20,female,1,S,C,T,53,m,You,Friend,S.bmp,1,1165,No
A,2801,1,Group2,20,female,1,S,C,T,54,n,Stranger,Stranger,T.bmp,1,723,Yes
A,2801,1,Group2,20,female,1,S,C,T,55,n,Stranger,Stranger,T.bmp,1,425,Yes
A,2801,1,Group2,20,female,1,S,C,T,56,n,Friend,Friend,S.bmp,0,543,Yes
A,2801,1,Group2,20,female,1,S,C,T,57,m,You,Stranger,T.bmp,0,613,No
A,2801,1,Group2,20,female,1,S,C,T,58,m,Stranger,Friend,S.bmp,0,875,No
A,2801,1,Group2,20,female,1,S,C,T,59,m,Stranger,Self,C.bmp,0,537,No
A,2801,1,Group2,20,female,1,S,C,T,60,n,You,Self,C.bmp,1,463,Yes
A,2801,2,Group2,20,female,1,S,C,T,1,n,Friend,Friend,S.bmp,1,1126,Yes
A,2801,2,Group2,20,female,1,S,C,T,2,n,You,Self,C.bmp,1,612,Yes
A,2801,2,Group2,20,female,1,S,C,T,3,n,Stranger,Stranger,T.bmp,1,434,Yes
A,2801,2,Group2,20,female,1,S,C,T,4,m,Stranger,Friend,S.bmp,1,824,No
