"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC"
"1","0","Matching","Self","1",620,0.62,1
"2","0","Matching","Self","1",564,0.564,1
"3","0","Matching","Self","1",608,0.608,1
"4","0","Matching","Self","1",478,0.478,1
"5","0","Matching","Self","1",364,0.364,1
"6","0","Matching","Self","1",532,0.532,1
"7","0","Matching","Self","1",294,0.294,1
"8","0","Matching","Self","1",587,0.587,1
"9","0","Matching","Self","1",742,0.742,1
"10","0","Matching","Self","1",650,0.65,1
"11","0","Matching","Self","1",409,0.409,1
"12","0","Matching","Self","1",565,0.565,1
"13","0","Matching","Self","1",491,0.491,1
"14","0","Matching","Self","1",818,0.818,1
"15","0","Matching","Self","1",399,0.399,1
"16","0","Matching","Self","1",362,0.362,1
"17","0","Matching","Self","1",546,0.546,1
"18","0","Matching","Self","1",482,0.482,1
"19","0","Matching","Self","1",366,0.366,1
"20","0","Matching","Self","1",480,0.48,1
"21","0","Matching","Self","1",514,0.514,0
"22","0","Matching","Self","1",942,0.942,0
"23","0","Matching","Self","1",472,0.472,1
"24","0","Matching","Self","1",610,0.61,1
"25","0","Matching","Self","1",765,0.765,1
"26","0","Matching","Self","1",569,0.569,0
"27","0","Matching","Self","1",354,0.354,1
"28","0","Matching","Self","1",508,0.508,1
"29","0","Matching","Self","1",472,0.472,0
"30","0","Matching","Self","1",552,0.552,1
"31","0","Matching","Self","1",654,0.654,1
"32","0","Matching","Self","1",674,0.674,0
"33","0","Matching","Self","1",524,0.524,1
"34","0","Matching","Self","1",620,0.62,1
"35","0","Matching","Self","1",502,0.502,1
"36","0","Matching","Self","1",783,0.783,0
"37","0","Matching","Self","1",400,0.4,0
"38","0","Matching","Self","1",477,0.477,1
"39","0","Matching","Self","1",411,0.411,1
"40","0","Matching","Friend","1",617,0.617,0
"41","0","Matching","Friend","1",629,0.629,0
"42","0","Matching","Friend","1",614,0.614,0
"43","0","Matching","Friend","1",420,0.42,0
"44","0","Matching","Friend","1",535,0.535,1
"45","0","Matching","Friend","1",544,0.544,1
"46","0","Matching","Friend","1",467,0.467,0
"47","0","Matching","Friend","1",631,0.631,1
"48","0","Matching","Friend","1",635,0.635,0
"49","0","Matching","Friend","1",521,0.521,1
"50","0","Matching","Friend","1",704,0.704,0
"51","0","Matching","Friend","1",660,0.66,1
"52","0","Matching","Friend","1",529,0.529,1
"53","0","Matching","Friend","1",446,0.446,0
"54","0","Matching","Friend","1",708,0.708,1
"55","0","Matching","Friend","1",452,0.452,0
"56","0","Matching","Friend","1",530,0.53,0
"57","0","Matching","Friend","1",356,0.356,0
"58","0","Matching","Friend","1",635,0.635,1
"59","0","Matching","Friend","1",650,0.65,1
"60","0","Matching","Friend","1",691,0.691,1
"61","0","Matching","Friend","1",400,0.4,1
"62","0","Matching","Friend","1",499,0.499,0
"63","0","Matching","Friend","1",304,0.304,0
"64","0","Matching","Friend","1",796,0.796,1
"65","0","Matching","Friend","1",509,0.509,0
"66","0","Matching","Friend","1",550,0.55,0
"67","0","Matching","Friend","1",730,0.73,0
"68","0","Matching","Friend","1",223,0.223,1
"69","0","Matching","Friend","1",416,0.416,0
"70","0","Matching","Friend","1",595,0.595,0
"71","0","Matching","Friend","1",580,0.58,1
"72","0","Matching","Friend","1",784,0.784,0
"73","0","Matching","Friend","1",470,0.47,1
"74","0","Matching","Friend","1",569,0.569,0
"75","0","Matching","Stranger","1",496,0.496,0
"76","0","Matching","Stranger","1",582,0.582,0
"77","0","Matching","Stranger","1",276,0.276,1
"78","0","Matching","Stranger","1",429,0.429,1
"79","0","Matching","Stranger","1",426,0.426,1
"80","0","Matching","Stranger","1",600,0.6,1
"81","0","Matching","Stranger","1",489,0.489,0
"82","0","Matching","Stranger","1",712,0.712,1
"83","0","Matching","Stranger","1",461,0.461,1
"84","0","Matching","Stranger","1",546,0.546,1
"85","0","Matching","Stranger","1",275,0.275,1
"86","0","Matching","Stranger","1",616,0.616,1
"87","0","Matching","Stranger","1",666,0.666,1
"88","0","Matching","Stranger","1",589,0.589,1
"89","0","Matching","Stranger","1",461,0.461,1
"90","0","Matching","Stranger","1",600,0.6,1
"91","0","Matching","Stranger","1",584,0.584,0
"92","0","Matching","Stranger","1",518,0.518,1
"93","0","Matching","Stranger","1",610,0.61,1
"94","0","Matching","Stranger","1",491,0.491,1
"95","0","Matching","Stranger","1",630,0.63,0
"96","0","Matching","Stranger","1",570,0.57,1
"97","0","Matching","Stranger","1",409,0.409,1
"98","0","Matching","Stranger","1",470,0.47,1
"99","0","Matching","Stranger","1",645,0.645,1
"100","0","Matching","Stranger","1",600,0.6,1
"101","0","Matching","Stranger","1",512,0.512,1
"102","0","Matching","Stranger","1",386,0.386,0
"103","0","Matching","Stranger","1",556,0.556,1
"104","0","Matching","Stranger","1",736,0.736,1
"105","0","Matching","Stranger","1",528,0.528,1
"106","0","Matching","Stranger","1",553,0.553,0
"107","0","Matching","Stranger","1",660,0.66,1
"108","0","Matching","Stranger","1",312,0.312,1
"109","0","Matching","Stranger","1",516,0.516,1
"110","0","Matching","Stranger","1",505,0.505,1
"111","0","Matching","Stranger","1",509,0.509,1
"112","0","Matching","Stranger","1",539,0.539,1
"113","0","Matching","Stranger","1",740,0.74,1
"114","0","Nonmatching","Self","1",388,0.388,0
"115","0","Nonmatching","Self","1",314,0.314,1
"116","0","Nonmatching","Self","1",696,0.696,0
"117","0","Nonmatching","Self","1",308,0.308,1
"118","0","Nonmatching","Self","1",417,0.417,0
"119","0","Nonmatching","Self","1",546,0.546,0
"120","0","Nonmatching","Self","1",715,0.715,0
"121","0","Nonmatching","Self","1",558,0.558,1
"122","0","Nonmatching","Self","1",730,0.73,1
"123","0","Nonmatching","Self","1",518,0.518,0
"124","0","Nonmatching","Self","1",508,0.508,0
"125","0","Nonmatching","Self","1",470,0.47,0
"126","0","Nonmatching","Self","1",716,0.716,0
"127","0","Nonmatching","Self","1",461,0.461,0
"128","0","Nonmatching","Self","1",547,0.547,0
"129","0","Nonmatching","Self","1",568,0.568,1
"130","0","Nonmatching","Self","1",787,0.787,1
"131","0","Nonmatching","Self","1",529,0.529,1
"132","0","Nonmatching","Self","1",412,0.412,1
"133","0","Nonmatching","Self","1",478,0.478,1
"134","0","Nonmatching","Self","1",572,0.572,1
"135","0","Nonmatching","Self","1",880,0.88,0
"136","0","Nonmatching","Self","1",511,0.511,1
"137","0","Nonmatching","Self","1",582,0.582,1
"138","0","Nonmatching","Self","1",668,0.668,1
"139","0","Nonmatching","Self","1",383,0.383,0
"140","0","Nonmatching","Self","1",740,0.74,1
"141","0","Nonmatching","Self","1",336,0.336,0
"142","0","Nonmatching","Self","1",360,0.36,1
"143","0","Nonmatching","Self","1",526,0.526,0
"144","0","Nonmatching","Self","1",314,0.314,0
"145","0","Nonmatching","Self","1",924,0.924,0
"146","0","Nonmatching","Self","1",294,0.294,1
"147","0","Nonmatching","Self","1",243,0.243,1
"148","0","Nonmatching","Self","1",500,0.5,1
"149","0","Nonmatching","Self","1",774,0.774,0
"150","0","Nonmatching","Self","1",589,0.589,1
"151","0","Nonmatching","Friend","1",641,0.641,1
"152","0","Nonmatching","Friend","1",472,0.472,0
"153","0","Nonmatching","Friend","1",422,0.422,1
"154","0","Nonmatching","Friend","1",857,0.857,1
"155","0","Nonmatching","Friend","1",468,0.468,0
"156","0","Nonmatching","Friend","1",786,0.786,1
"157","0","Nonmatching","Friend","1",490,0.49,0
"158","0","Nonmatching","Friend","1",303,0.303,1
"159","0","Nonmatching","Friend","1",696,0.696,1
"160","0","Nonmatching","Friend","1",703,0.703,0
"161","0","Nonmatching","Friend","1",242,0.242,1
"162","0","Nonmatching","Friend","1",404,0.404,1
"163","0","Nonmatching","Friend","1",783,0.783,1
"164","0","Nonmatching","Friend","1",536,0.536,1
"165","0","Nonmatching","Friend","1",749,0.749,0
"166","0","Nonmatching","Friend","1",506,0.506,0
"167","0","Nonmatching","Friend","1",612,0.612,1
"168","0","Nonmatching","Friend","1",714,0.714,1
"169","0","Nonmatching","Friend","1",583,0.583,0
"170","0","Nonmatching","Friend","1",841,0.841,1
"171","0","Nonmatching","Friend","1",640,0.64,0
"172","0","Nonmatching","Friend","1",514,0.514,0
"173","0","Nonmatching","Friend","1",867,0.867,1
"174","0","Nonmatching","Friend","1",671,0.671,1
