Participant,Association,Scale,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
1,Happy,58,0.832762418,0.979070244,1.101871577,1.171719519,0.99907014,1.157777164,0.998037394,1.018000391,,,,,,,0.269109159,0.192649275,-0.001032746,-0.139776773
2,Happy,93,0.794117495,0.851746973,0.828680866,0.89420186,0.861570228,0.986179271,0.872610088,0.911843278,,,,,,,0.034563371,0.042454888,0.011039859,-0.074335993
5,Happy,20,0.733141694,0.885241984,0.729377139,0.871613059,0.83691151,0.914723621,0.893440526,0.804072747,,,,,,,-0.003764556,-0.013628925,0.056529016,-0.110650875
6,Happy,30,0.755401243,0.93263722,0.912122998,0.992632904,0.823757434,0.985410379,0.875741717,0.876826561,,,,,,,0.156721755,0.059995684,0.051984282,-0.108583818
9,Happy,48,0.730298027,0.776326221,0.828375619,0.787627604,0.801491169,0.798822938,0.77308664,0.767228772,,,,,,,0.098077592,0.011301384,-0.028404528,-0.031594166
10,Happy,86,0.721543914,0.800919388,0.951736343,0.991947877,0.885530843,1.002061855,0.998396107,0.919688736,,,,,,,0.230192429,0.191028489,0.112865264,-0.082373119
13,Happy,70,0.671410784,0.751797863,0.880429597,0.934554481,0.850717696,0.962005322,0.87577565,0.83951208,,,,,,,0.209018812,0.182756618,0.025057955,-0.122493242
17,Happy,85,0.939393272,1.074675475,0.983615827,1.103296338,1.084447005,1.135945551,1.006741465,1.111435647,,,,,,,0.044222555,0.028620863,-0.077705539,-0.024509904
18,Happy,82,0.674171954,0.834305412,0.842245339,0.839362576,0.840031012,1.057852729,0.875982569,0.906693755,,,,,,,0.168073385,0.005057165,0.035951557,-0.151158974
21,Happy,84,0.711347325,0.855866782,0.900655876,1.032718982,0.884286486,0.936587473,0.923481601,0.923465427,,,,,,,0.18930855,0.176852201,0.039195115,-0.013122046
22,Happy,39,0.764362479,0.926147939,1.17342116,1.167342957,1.009066198,1.202676986,1.082371174,1.036310699,,,,,,,0.409058681,0.241195019,0.073304977,-0.166366287
25,Happy,95,0.992580869,1.072965534,1.122093348,1.143811758,1.055814966,1.094958684,1.121459275,1.124034582,,,,,,,0.129512479,0.070846224,0.065644309,0.029075898
26,Happy,99,0.897953809,1.032688045,1.12153647,1.150164526,1.010803961,1.061917539,1.11181851,1.141146498,,,,,,,0.223582661,0.11747648,0.101014549,0.079228958
